footnote_no,footnote
libtech_1_footnote,"1Presumably a slip 	for “day before yesterday”; vide 	“Letter to 	Mirabehn”, January 14 	, 1929."
libtech_2_footnote,"2Year inferred from 	the allusion to the problem of Santok; vide 	“Letter to Narandas 	Gandhi”, December 19, 1928. As Gandhiji asked Narandas to see him 	on the 18th, the date of this letter could be fixed on the preceding 	Wednesday which was 16th January."
libtech_3_footnote,3Widow of Maganlal 	Gandhi.
libtech_4_footnote,
libtech_5_footnote,"1Vide 	 ”Speech on 	Constructive Programme, 	Calcutta Congress”, January 1,"
libtech_6_footnote,"2Vide 	Appendix “Congress 	Resolution on 	Non-Cooperation”, 	December  30,"
libtech_7_footnote,"2Vide “Letter 	to Jawaharlal Nehru”, January 12, 1929."
libtech_8_footnote,"1An article on this subject appeared in Navajivan, 20-1-1929."
libtech_9_footnote,"1Dated January 12, 	1929 (S.N. 15277)"
libtech_10_footnote,
libtech_11_footnote,"1Dated January 	12,1929 (S.N. 15279) and January 14 	, 1929 (S.N. 15280)"
libtech_12_footnote,"2Sir Malcolm Hailey, the then Governor of U.P."
libtech_13_footnote,"1Vide “Scheme for Boycott of Foreign Cloth Through Khadi”, 24 -1-1929."
libtech_14_footnote,"1Presumably the 	Muslim All-Parties 	Conference held under the 	presidentship  of the Aga Khan, on December 31, 1928 and January 1, 1929"
libtech_15_footnote,"1Dated January 10, 1929, which read: “I have heard from some very reliable workers in the Punjab that some of the members in charge of the Servants of the People Society have shown a distinct bias towards communalism. I hope this taint would be soon removed from a body which is primarily intended to serve the people and the country at large.”"
libtech_16_footnote,"2Dr. Zakir Husain 	(1897-1969), third President of India"
libtech_17_footnote,"1A. N. Mukerjee, a 	tent manufacturer, had referred in his letter dated December  14 	, 1928 	to an agreement 	dated July 7, 1926 	signed between himself and 	the General Secretary 	of the All-India Congress 	Committee, A. 	Rengaswami  Iyengar  	(S.N. 13798)."
libtech_18_footnote,"2Vide “Letter to Dr. M. A. Ansari”, January 6, 1929."
libtech_19_footnote,"1The letter carries 	the date January 17, 1929. From the last paragraph, however, it is 	evident that it was concluded the following day."
libtech_20_footnote,"2Vide “Telegram 	to Mirabehn”, January 16, 1929."
libtech_21_footnote,"1Vide “Telegram 	to Mirabehn”, January 17, 1929."
libtech_22_footnote,2For a special issue 	of Youth devoted 	to the subject of Indian Youth and Indian problems (S.N. 15085)
libtech_23_footnote,1In reply to a number of letters written by Mr. and Mrs. Standenath during their return journey to Europe
libtech_24_footnote,"40 OLD ORCHARD ROAD CHESTNUT HILL, MASS, U.S.A."
libtech_25_footnote,"2About the 	assessment of land revenue in the Bardoli taluk;  vide 	 “Evil Genius 	 of Government”, 22-7-1928."
libtech_26_footnote,1Name given 	to Francisca by Gandhiji; 	Frederic Standenath 	was  called Satyavan 	by him.
libtech_27_footnote,2Revashankar Jhaveri
libtech_28_footnote,
