footnote_no,footnote
libtech_1_footnote,"1The letter is not 	translated here. It referred to a garden party given by the Thakore 	Saheb of Rajkot on February 17, “where drinks were served”."
libtech_2_footnote,1The arguments are summarized here.
libtech_3_footnote,1The question is not translated here.
libtech_4_footnote,2The letter is not translated here.
libtech_5_footnote,2Daughter of Harilal 	Gandhi
libtech_6_footnote,"1Gandhiji reached 	the Ashram on 27th March 1925 after his tour of Vykom, Madras and 	other places."
libtech_7_footnote,2In reply to its address of welcome
libtech_8_footnote,3Sister-in-law of 	Harilal Gandhi
libtech_9_footnote,"1Gandhiji in his letter dated February 21, 1925, had asked the addressee to donate Rs. 50,000 to the National Muslim University of Aligarh. The addressee agreed to pay the sum and thus relieved Gandhiji of his worry."
libtech_10_footnote,2Horse sacrifices 	performed by emperors to establish their supremacy
libtech_11_footnote,1G. K. Gokhale (1866-1915); educationist and statesman
libtech_12_footnote,"1In reply to an address of welcome (in Tamil) presented by Mrs. Chinnaswami Iyengar. The speech was translated into Tamil, sentence by sentence, by S. Srinivasa Iyengar."
libtech_13_footnote,1 On the occasion of the unveiling of the portrait of S. Kasturiranga Iyengar.
libtech_14_footnote,11834-1884; editor of The Hindu Patriot
libtech_15_footnote,"1In reply to addresses of welcome presented by the Gujarati Sevak Mandir, Amarabala Vilasini Sabha and the Naoroji-Gokhale Union at Tilak Ghat (Triplicane Beach). Yakub Hasan presided."
libtech_16_footnote,1Sacrifices 	performed at the time of the coronation of Hindu kings in ancient
libtech_17_footnote,1At the Gokhale Hall where members of the Madras Inter-Hostel Debating Society presented a welcome address
libtech_18_footnote,226th was a 	Thursday.
libtech_19_footnote,"1Addresses of welcome were presented at the meeting by the Choolai Congress and the Madras Literary Academy. Gandhiji’s speech was translated into Tamil, sentence by sentence, by M. S. Subramania Iyer."
libtech_20_footnote,1From Gandhiji’s reference to the date and place of writing in the last paragraph
libtech_21_footnote,"1Mahadev Govind Ranade (1842-1901); judge, social reformer and author; one of the founders of the Indian National Congress."
libtech_22_footnote,"1In reply to the 	addressee’s telegram dated March 23, 1925 (S.N.13268 M) which 	read: “Reference your letter 18th instant. Prohibitory order will 	be withdrawn from Tuesday 7th April on your telegraphing acceptance. 	Kindly instruct Vykom satyagrahis to observe agreement from that 	date.”"
libtech_23_footnote,2In reply to its welcome address at Mount Road
libtech_24_footnote,"1Vide “Letter to W. H. Pitt”, 18-3-1925 and “Telegram to W. H. Pitt”, 24-3-1925."
libtech_25_footnote,1In reply to a welcome address presented by the Triplicane Urban Cooperative Society at Big Street
libtech_26_footnote,1An Ayurvedic medicinal preparation
libtech_27_footnote,1 At a meeting of temperance workers at the Gokhale Hall. Dr. Besant presided.
libtech_28_footnote,
libtech_29_footnote,"1In reply to an address of welcome in Hindi presented by the Hindi Prachar Samiti, Madras"
libtech_30_footnote,"1T. Prakasam, the editor, presented an address of welcome to Gandhiji on behalf of the directors and staff of Swarajya."
libtech_31_footnote,1At Peddunaikenpet
libtech_32_footnote,1Mother India
libtech_33_footnote,1Auspicious necklace
libtech_34_footnote,"1The source, however, has “40,06,062”."
libtech_35_footnote,1Vide Appendix “Extract from Dewan of Travancore’s Speech on Vykom Satyagraha”.
libtech_36_footnote,"1Vide “Discussion with Caste Hindu Leaders, Vykom”, 10-3-1925"
libtech_37_footnote,"1Vide, “Notes”, 5-3-1925, sub-title, “An Oasis in the Desert”."
libtech_38_footnote,1Life-long friend of 	Gandhiji; served as Dewan in the Princely States of Western India
libtech_39_footnote,"2Vide “Notes”, 26-2-1925, sub-title “Stoning to Death”. Subsequently, Gandhiji wrote on the subject in “My Crime”, 5-3-1925 and in “Notes”, 12-3-1925, sub-title, “No Stoning in Koran”."
libtech_40_footnote,1For the Aligarh 	Muslim University
libtech_41_footnote,"1From the reference to cow-protection and second visit to Kathiawar, the letter appears to belong to 1925."
libtech_42_footnote,"2G. D. Birla; vide 	following item and 	“Letter to G. D. Birla”, March 30,"
libtech_43_footnote,"2For Aligarh ; vide “Letter to G. D. Birla”, 30-3-1925."
libtech_44_footnote,"1Under the auspices of the Rashtriya Stree Sabha at the Congress House, Girgaum. Sarojini Naidu presided."
libtech_45_footnote,1Alms or charity
