chapter_no,date,title,content
1,,WHAT COMPRISES FOREIGN GOODS?,"
       	A gentleman asks: “Should we boycott all foreign goods or only 	some select ones?”  	This question has been asked many times and I have answered it many 	times. And the question does not come from only one person. I face 	it at many places even during my tour.  	In my view, the only thing to be boycotted thoroughly and despite 	all hardships is foreign cloth, and that can and should be done 	through khadi alone.  	Boycott of all foreign things is neither possible nor proper. The 	difference between swadeshi and foreign cannot hold for all time, 	cannot hold even now in regard to all things. Even the swadeshi 	character of khadi is due to circumstances. Suppose there is flood 	in India and only one island remains on which a few persons alone 	survive and not a single tree stands; at such a time the swadeshi 	dharma of the marooned would be to wear what clothes are provided 	and eat what food is sent by generous people across the sea. This of 	course is an extreme instance.  	So it is for us to consider what our swadeshi dharma is. Today many 	things which we need for our sustenance and which are not imposed 	upon us come from abroad. As for example, some of the foreign 	medicines, pens, needles, useful tools, etc., etc.  	But those who wear khadi and consider it an honour or are not 	ashamed to have all other things of foreign make fail to understand 	the significance of khadi. The significance of khadi is that it is 	our dharma to use those things which can be or are easily made in 	our country and on which depends the livelihood of poor people; the 	boycott of such things and deliberate preference of foreign things 	is adharma.  	A person who loves his country and has concern for the poor would 	pass in review the foreign things he uses and would use indigenous 	articles in place of those foreign articles which he liked more and 	had been using so far for his pleasure.  	On this tour itself I have observed that people place before me 	cakes of foreign soap, and never a single one produced in Madras, 	Mysore, Bombay and Bengal. Those who do this are all khadi-weavers. 	These days wherever I go for propagating khadi, I ask for a khadi-   
 clad barber. It is with some effort that such a barber is  found. Much  of his equipment is foreign-made: razor, brush, soap and mirror, and they are arranged in a foreign-made box. So I pay the barber his wages and explain to him the swadeshi dharma. I can recount many such experience. At present ink, fountain-pens, etc., are manufactured in our country. The thoughtful should be on the look out for such things and as far as possible use only those articles which are produced in the country. If it is argued that not all the things made in the country are good, that of course is true. But there are difficulties in the observance of dharma as such. What is the value of practising something which offers no trouble? Wise people can help remove the inconveniences if they use swadeshi things of their own will even putting up with hardships. If I use indigenous soap, notice its shortcomings and draw the makers’ attention to them, they may perhaps try to remove them. It is only thus that things have improved in quality and design and are still being improved.
 At this stage we have to consider one thing more. Do foreign goods mean only British goods or anything made outside India? I know there is a difference of opinion about this. I do not wish to discuss the problem from the point of view of non-violence but to put it before you from the practical point of view. We shall merely exhibit our weakness if we threaten to do something which we cannot do and will never be able to do. It is my belief that we use many British things even against our will. Those who are familiar with the  figures  of India’s imports know that the Government itself imports British goods worth crores of rupees and we use them; e.g., the rails for the track and a lot of other equipment for railways. We use English books of our own will. Another objection from the practical point of view is that, while differentiating between British and other foreign goods, there is a danger of our using British goods under the label of other foreign goods. This has happened in the past and may happen in future. Who can prevent a British manufacturer of fountain-pens from writing on his products ‘Made  in Australia’? Some traitors among cloth merchants have torn off the British labels on British dhotis and have sold them as swadeshi dhotis. Who can prevent British cloth from coming in via Japan as Japanese cloth? We are not going to benefit in the least by importing articles other than British. Then we shall have to make a second attempt to boycott this other foreign cloth and it may be difficult to do so.
Our aim is swaraj, independence. We do not want other people’s
 domination after getting rid of British rule. Considered from all angles and from the practical point of view, we can take but one decision.
 Pure khadi is pure swadeshi and one who realizes this will satisfy even his other needs by means of things produced in the country, giving up the use of those superfluous things  that  are  not manufactured here.
[From Gujarati]
 Navajivan, 12-5-1929
 "
2,"May 	13, 1929",LETTER TO MIRABEHN,"
  
 
        CHI. 	MIRA,  NELLORE,  May 	13, 1929 
  	I do hope you got the detailed programme that was sent to you. There 	is no letter from you today. I hope you  have  plenty  of congenial 	work at the Vidyapith.  	I want your criticism on my article in reply[to] de Ligt’s second 	open letter which has been published in Young India.libtech_1_footnoteI have made a change in my diet which I do not describe 	as we shall soon meet. The change has been made purely by way of 	experiment as I like it and as  I have met a man who knows all about 	it. Of course there is nothing to worry about in this. If it does 	not agree with me, I shall give it up. Love.  BAPU  From 	the original: C.W. 5375. Courtesy: Mirabehn                      
  "
3,"May 13, 1929",LETTER TO ASHRAM WOMEN,"
         NELLORE, 
     SISTERS,  Silence 	Day, May 13, 1929 
  	There are only a few days to go before we meet again. It is getting 	hotter here every day, as it must be there. I don’t feel the heat 	much. Your firmness in keeping up with the prayer classes, the 	infant- school and the kitchen is, I think, a good gesture. All the 	three are imperfect, and will remain so for ever. It will be enough 	if we remain vigilant and keep improving them. Even if we try to 	keep them going, some improvement will take place automatically. All 	of you shouldlearn the verses which make up the women’s prayers 	and understand their meaning correctly. 
    BAPU  From 	a photostat of the Gujarati: G.N. 3698  Blessings 	from 
   "
4,"May 13, 1929",LETTER TO CHHAGANLAL JOSHI,"
          CHI. 	CHHAGANLAL,     Silence 	Day, May 13, 1929 
  	Three letters from you of the 6th, the 8th and the 9th have piled 	up. It is all right if you have changed the time for prayers and 	meals; you have done nothing wrong in that. You 	must have sent an acknowledgment to Lady Ramanathan.  	Has not the sum been sent to Tiruchengodu? Has it not been 	acknowledged in Young India?  	The money which we receive from France is not from a gentleman but 	from a lady. It is the same Mirbel, who had once stayed in the 	Ashram for about a month. Shivabhai 	must have recovered.  	You need not insist on the students memorizing the verses of the 	Gita. They themselves should insist on doing that. All of us, 	of course, should know how to recite them correctly. My 	having given up breakfast is not an act of sacrifice; it was 
 rendered necessary by my travels. I feel helpless at not being able to go for morning and evening walks. When I teach the Gita, I don’t set aside a special time for it; my enthusiasm shows me the way. When I was there, I used the time allotted to spinning in discussions with inmates of the Ashram. Here I give the first half hour to Prabhavati, and the half hour in the afternoon to the workers. Since, instead of everyone joining in the recitation at the time of the prayer, a different person recited the verses every day, we could correct the pronunciation of the person who was doing his turn. In this way we could effect much improvement. People still commit mistakes, but they are getting fewer. This does not impose the slightest burden on my mind or my time; on the contrary, it gives me more peace of mind. The person who learns in this manner likes doing so. He does not feel that it is a task.
 It is only after I arrive there that I think I shall be able to write about the money received from Rangoon.
 Do you examine the cash book every day? Do you sign it daily? Do you inspect the vouchers every day? If you do not, start doing it. Follow the rule no matter who is in charge of the work.
 Sitla Sahai seems to be busy all right. I was to reach Bombay on the morning of the 23rd; instead I shall reach on the evening of the 22nd. I expect to return to the Ashram before the 28th.
    BAPU  From 	a photostat of the Gujarati: G.N. 5417  Blessings 	from 
   "
5,"May 13, 1929",LETTER TO GANGABEHN VAIDYA,"
        NELLORE, 
     CHI. 	GANGABEHN,  Silence 	Day, May 13, 1929 
  	I have your letter. You should not hesitate to write to me even if 	you misspell words. You have no reason to be ashamed of your 	spelling mistakes. If one were to devote plenty of time just for 	this task it also can be mastered. But it would not be right to 	devote so much time to it. Do therefore what you can. We value a 	letter for its ideas, not its grammar. 
 Do settle the matter relating to Kaku’s father.libtech_2_footnoteAt the same time improve your health too. Maitreyi too will benefit.
 I do believe that girls too should have education. We shall talk about this. Our separation will end soon."
6,"May 	13, 1929",LETTER TO PRABHUDAS GANDHI,"
    BAPU  	[From Gujarati]  Bapuna Patro-6: 	G.S. Gangabehnne, p. 18.          CHI. 	PRABHUDAS,  Blessings from                  May 	13, 1929 
  	I have your letter. If my health permits, I will keep the date. Be 	assured of that. Mirabehn will certainly be with me. Have I written 	that  	? Will there be difficulty if there are more persons? Are there good 	facilities for staying, etc.? Are there places cheap enough for 	persons to stay on their own? Write to me if you want minimum number 	of persons to accompany me.  	What Kishorelal writes about Chhaganlal is surprisinglibtech_3_footnote. 	There is nothing wrong in your letter. You have not been hasty. Even 	the letter I have sent, is not meant as criticism of Chhaganlal. I 	do not know that Narandas has interpreted it that way. Narandas has 	said that  Chhaganlal left because of his weakness. I suggested to 	him to stay here on rent. So, he decided to call back his luggage 	which had been sent to the station and stayed on. I do not know 	anything about Jamnadas. But do not worry. I do not see much 	difficulty  if Chhaganlal comes there. The article in Navajivanlibtech_4_footnotehad not  been written when I had raised a strong 	objection. After its publication, Chhaganlal is free to go and stay 	wherever he likes. Now we have to reckon the value of that article. 	Many persons at fault have been protected by that. I will talk to 	Kishorelalbhai when I meet him in Bombay. Send him this letter if 	you want to. I keep writing to      
 Chhaganlal as well as to Kashi. I worry about them and will keep on worrying about them and so, you may give up worrying about them. If you want to make any suggestions, certainly do so.
        	[PS.]     BAPU  Blessings 	from "
7,,FRAGMENT OF A LETTERlibtech_5_footnote,
8,"May 	13, 1929",LETTER TO PRABHUDAS GANDHI,"
  	I find from the letter I am just reading that Dadabhai’s 	grand-daughter Khurshedbehn will also be with me. Do not involve 	anyone in unnecessary expenses for my sake. For toilet there is no 	need for a western commode. A hole can be made in one of the boxes 	and a bucket kept underneath. For food, eggs and fruits you get 	there would be sufficient.  From 	the Gujarati original: S. N. 32965       NELLORE,  May 	13, 1929  	I shall reach Bombay on the 22nd evening according to the revised 	programme. There is not much difference between this and the 	original programme.  Vandemataram 	from  MOHANDAS     From 	a photostat of the Gujarati: G.N. 6782       [About 	May 13, 1929]libtech_6_footnote  CHI. 	PRABHUDAS,  	I got your letter of the 8th inst. Can all the persons accompanying 	me be accommodated in the Prema Vidyalaya?     
 As far as I can see today, the following at least will be accompanying me: Mirabehn, Khurshedbehn, Kusumbehn Desai, Ba, Pyarelal, Subbiah, Jamnadas, Purshottam and Prithuraj. This is but a rough guess. It may perhaps be too much of a burden to take all of them with me wherever I go. My own inclination is to bring as few as possible. But I will see what can be done.
 What were the points left unanswered in your previous letter? Itore it up. It will, of course, be good if you can tempt Devdas to go to Rajkot. You should go on writing to Chhaganlal that he should go to the Ashram.
You need to have self-confidence, that is, confidence in the
 rightness of what you have decided to do. Even if the whole world were to tell you that the letter you wrote was improper, you should cling to your own view. That does not mean that you should cling to an error even when you have recognised it as such. If your elders think that what you did was not right, you should certainly consider their opinion and respect it. But then, we should not hastily form an opinion that if even one elder disapproves of it, it deserves to be condemned. Unless you acquire such firmness, you will make no progress.
 You are not right in assuming that I will leave exactly on the 10th. What I meant was that I will enter the whole region connoted by ‘Almora’ on the 15th. Now I will try to leave earlier. But would not it do if I tell you the exact date after returning to the Ashram?
 Blessings from
 BAPU
 From the Gujarat original: S.N. 33026
 "
9,"May 	14, 1929",LETTER TO MAHADEV DESAI,"
          CHI. 	MAHADEV,     May 	14, 1929 
  	I write this on Tuesday at 3.30 before prayers. We must set out at 6 	and I don’t know about the postal arrangements where we are going 	to camp.  	A gist of your article about Unai (regarding khadi activities and 	drinking) ought to appear in Young India. You must have 	noticed, haven’t you, that nowadays there is no co-ordination 	between Young 
 India and Navajivan? The reason obviously is that you and I are away from each other and are both busy.
    BAPU  From 	a photostat of the Gujarati: S.N. 11434  Blessings 	from 
   "
10,"May 	14, 1929",LETTER TO MIRABEHN,"
          CHI. 	MIRA,       May 	14, 1929 
  	I have your letter of 10th. I did receive all your letters but too 	late to enable me to send any letters to Jeradai. I began the 	Sadaquat Ashram address on your wire. I hope you have all the 	letters sent there. "
