chapter_no,date,title,content
1,,"FOREWORD TO “AHAR
ANE POSHAN”libtech_1_footnote",
2,"March 	4, 1945","NOTE TO GOPE
GURBUXANIlibtech_6_footnote","
       	When Dr. Kumarappa has given such an excellent introduction, what 	more is there for me to say? But Shri Jhaverbhai’slibtech_2_footnotelibtech_3_footnotelove 	would not leave me alone. For his sake I have gone through the 	pamphlet from beginning to end. I was not inclined to argue over 	technical details. Dr. Sushila was with me. I made her read out to 	me the entire thing. She made a few suggestions which occurred to 	her. Jhaverbhai made the necessary improvements. This means that 	this pamphlet hears the stamp of Dr. Sushila and Dr.  Manu  Trivedilibtech_4_footnotelibtech_5_footnote.  I  liked  the pamphlet. Its language is simple and 	lucid. I hope that this pamphlet will be read by thousands.  M. K. GANDHI  SEVAGRAM, March 	4, 1945  From 	a photostat of the Hindi: G.N. 1358. Also Pyarelal Papers. Courtesy: 	Pyarelal       March 	4, 1945  	Conscience has to be awakened. There are rules and observances for 	the purpose. Not everyone can be said to have his conscience 	awakened.  From 	a photostat: G.N. 1320                       
  "
3,"March 	4, 1945",LETTER TO MUNNALAL G. SHAH,"
          CHI. 	MU.,     March 	4, 1945 
 See 	my revised [statement] and then speak to me.    Blessings 	from  BAPU "
4,"March 	5, 1945",LETTER TO GOPALASWAMI AYYANGAR,"
  From 	a photostat of the Gujarati: C.W. 5838. Courtesy: Munnalal G. Shah       SEVAGRAM,  March 	5, 1945   DEAR 	FRIEND,  	I was delighted to hear from you. I entirely agree with you 	regarding the States. As to foreign rule, I could not open the 	subject with Q.A. Jinnah. He has excluded the States from his 	calculation. You have not expected me to give any thought to the 	rest of your scheme. For my opinion is that when the whole of 	foreign rule goes from the whole of India, then only we shall be 	free to think with a true sense of responsibility. 
      SJT. 	GOPALASWAMI AYYANGAR 	WINDSOR 	PLACE  NEW 	DELHI  Yours sincerely,  M. K. GANDHI 
  From 	a copy : Pyarelal Papers. Nehru Memorial Museum and Library.  Courtesy: 	Beladevi Nayyar and Dr. Sushila Nayyar 
  "
5,"March 5, 1945","NOTE TO GOPE
GURBUXANIlibtech_7_footnote","
  
 March 5, 1945
 Why is it easier to go down or slip down than to rise up step by step? By subduing the flesh, i.e., the beast.
 From a photostat: G.N. 1321
 "
6,"March 	5, 1945",LETTER TO AMRITLAL V. THAKKAR,"
        SEVAGRAM, 
  March 	5, 1945    	Herewith the statement on Orissa. Whatever changes it was possible 	to make have been made. Ramabehn intends to take the responsibility. 	We have therefore to place it before the committee. Chi. Mridula 	most probably knows about it. The medical part of it will have to be 	shown to the doctors. "
7,"March 	5, 1945",LETTER TO DINSHAW K. MEHTA,"
    From 	a copy of the Gujarati: Pyarelal Papers. Courtesy: Pyarelal       BAPU         SEVAGRAM, 
     CHI. 	DINSHAW,  March 	5, 1945 
  	I have your letter. You did well in writing to Kaleswara. My visit 	to Bangalore is not going to come about. And if it does, it will be 	for those people to decide where I put up. But you simply reply to 	them: “His going there unlikely.”libtech_8_footnote  	It seems I have forgotten to write about, the teacher-student 	relationship. I am not worthy to be anyone’s teacher. But if you 	consider yourself my student and conduct yourself accordingly, how 	can I stop you from doing so?     
 You should certainly not feel disappointed if your expectations are not fulfilled. You have had glorious success. And where I am, there cannot be disappointment. Let us see what happens in April.
 Blessings from
 BAPU
 From a copy of the Gujarati: Pyarelal Papers. Courtesy: Pyarelal
 "
8,"March 	5, 1945",LETTER TO GULBEHN D. MEHTA,"
        SEVAGRAM, 
     CHI. 	GULBEHN,  March 	5, 1945 
  	I was happy to have your letter. Had Sushila not seen Dinshaw, I 	would not have known about his distress. In fact there was no cause 	at all for him to be distressed. Nothing had been lost. Now you have 	to give him courage. How can you afford to lose heart?  	You will bring Ardeshar with you in April. Won’t you? One may say 	he is now fairly grown up. It is beginning to be quite hot during 	the day here.  Blessings 	from  BAPU  From 	a copy of the Gujarati: Pyarelal Papers. Courtesy: Pyarelal   "
9,"March 	5, 1945",LETTER TO JHAVERBHAI PATEL,"
         SEVAGRAM, 
      CHI. 	JHAVERBHAI,  March 	5, 1945 
  	On the reverse is the Foreword.libtech_9_footnoteI wrote it yesterday. I remember having written 	something like it before. Are you sure it is not in your note book?  Blessings 	from  BAPU  From 	a photostat of the Gujarati: G.N. 1368. Also Pyarelal Papers. 	Courtesy: Pyarelal      
  "
10,"March 	5, 1945",LETTER TO MANZAR ALI SOKHTA,"
         SEVAGRAM, 
    BHAI 	MANZAR ALIlibtech_10_footnote,  March 	5, 1945 "
11,"March 	5, 1945",NOTE TO GOPE GURBUXANI,"
  	I have gone through the whole thing. Here the question is one of 	principle. I am sure that an intellectual can do better  than  an 	artisan. If he does not, then he cannot become an administrator. The 	entire history of England bears testimony to this. But I will not 	interfere. If your experience tells you to do otherwise, do so. The 	Trust is all right.  Blessings 	from  BAPU  From 	a copy of the Hindi: Pyarelal Papers. Courtesy: Pyarelal       March 	5, 1945  Brahmacharya plays an important role in subduing the brute 	within us. This is my definition: Brahmacharya is that path 	by which we realize the Brahman. This path lies in completely 	controlling the five sense organs, the five moter organs and the 	eleventh, the mind. I have deliberately replied in Hindustani.libtech_11_footnote  From 	the Hindi original: G.N. 1322                           
  "
