chapter_no,date,title,content
1,"September 	23, 1935",LETTER TO AMRIT KAUR,"
       Unrevised	WARDHA,  September 	23, 1935  MY 	DEAR AMRIT,  	Your letter to Choudhury has told. He has taken it in the right 	spirit. There was no occasion for apology. And if you cannot call a 	spade a spade to your own people in your own home, which Maganwadi 	is, where could you do so? You must repeat the performance, 	whenever the occasion arises. This size is especially prepared for 	you. But you will give me your criticism on it. For the stinking lot 	you have to pay nothing. Has the stink  gone  with  exposure to the 	sun and the air?  	Puri should send his detailed criticism without delay. He must not 	wait for the time when he comes here. I must not be kept in 	darkness. I 	am eating your apples with vengeance. And I needed them.  They 	and musambis have 	acted like medicine.  	Mira is free from fever. But she is still terribly weak and the 	digestive apparatus does not respond as it should. In spite of big 	doses of Eno’s Fruit Salt, she has to take the enema in order to 	get a clearance. But there is no anxiety on her behalf. You won’t 	get full marks as a good nurse, nor Shummy as a good doctor, unless 	between you two [you] make Pyarelal take milk and your excellent 	butter. Has Shummy anything to add to what I have givenlibtech_1_footnotein Harijan on snake bites? Is there an easy way 	of distinguishing a poisonous from a non- poisonous snake? Does he 	recommend any book on it?  	When does he think Kumarappa can be discharged? Here are some 	letters for your guestslibtech_2_footnote(!) Love.    BAPU       
 [PS.]
When do you descend to the plains? You may not overstay your
time in Simla for the sake of the convalescents.
 
From the original: C.W. 3551. Courtesy: Amrit Kaur. Also G.N. 6360
 
 "
2,"September 23, 1935",LETTER TO NARANDAS GANDHI,"
  
 September 23, 1935
 
 CHI. NARANDAS,
 I can see your tears of joy on your letter. If and when I close my eyes in the same condition in which I am today, you may shed more such tears.
 Blessings from
 BAPU
 
 From a microfilm of the Gujarati: M.M.U./II. Also C.W. 8475. Courtesy: Narandas Gandhi
 "
3,"September 23, 1935",LETTER TO PURUSHOTTAM GANDHI,"
  
 September 23, 1935
 
 CHI. PURUSHOTTAM,
 I have your letter. If I didn’t know you, I would be displeased to get no letter from you. I console myself thinking that you must have some good reason for not writing to me, either that you want to save my time or to save yours. According to my nature, I would rather that persons like you wrote to me frequently so that I could know them better and hence could also help.
 I have not yet been able to go through the report of the Harijan work in Kathiawar. I do wish to read it. What you write about Chhaganlal has disturbed me. The Harijan work there must not suffer. And we cant’t also afford Jivanlal losing interest in it. Can you make any suggestion? After your letter, it is not possible for me to keep still and do nothing. Can I use the contents of your letter in writing to
 Chhaganlal?
Would it be correct to say that you have completely recovered
 now?         From 	a microfilm of the Gurjarati: M.M.U./II    Blessings 	from  BAPU 
   "
4,"September 	23, 1935",LETTER TO MATHURADAS TRIKUMJI,"
        WARDHA, 
      CHI. 	MATHURADAS,  September 	23, 1935 
  	I can understand your embarrassment. I have written to Nilkanth that 	he should undertake to send the amount to Gosibehnlibtech_3_footnote.  I  hope your affairs are going on well.  Blessings 	from  BAPU  From 	the Gujarati original: Pyarelal Papers. Nehru Memorial Museum and 	Library. Courtesy: Beladevi Nayyar and Dr. Sushila Nayyar   "
5,"September 	24, 1935",LETTER TO SATIS CHANDRA DAS GUPTA,"
         WARDHA, 
     DEAR 	SATISBABU,  September 	24, 1935 
  	I have gone through your correspondence with Malkani. I enclose a 	copy of my letter to him which speaks for itself. About Sharma our 	letters have crossed each other. Biswanath has got to be helped 	against himself.libtech_4_footnotelibtech_5_footnoteI do not suppose I know him at all but from the 	correspondence with Annada I have gathered the impression that he is 	one of your faithful workers. But whether he is that or not, he must 	not be allowed to go astray for want of attention. Therefore even if 	you have to neglect your work a bit and if he would not come alone 	to me, you should bring him with you. That is of course if you think 	that his being with me is not likely to aggravate his disease. This 	is     
 merely to tell you that I am anxious about his mental condition but you should be the final judge as for the proper treatment to be given to him.
    SJT. 	SATISBABU CALCUTTA  From 	a photostat: G.N. 2730  BAPU 
   "
6,"September 	24, 1935",LETTER TO B.G. KHER,"
         MY 	DEAR KHER,       September 	24, 1935 
  	I ought to have written this to you whilst Swami was here, but I 	simply could not do it and then it escaped me altogether, till I got 	a reminder from Swami yesterday afternoon. I see no contradiction 	between what Thakkar Bapa has written and what I  conveyed to Swami, 	Harijan Sevek Sangh won’t take direct responsibility  of  owning 	the property in Pandharpur, but it will provide the majority of 	trustees and continue to do so, as vacancies occur by any reason 	whatsoever. The idea behind this arrangement is that the Sangh 	should not undertake any financial responsibility. Its burden would 	be fully discharged when it has appointed trustees who are able to 	manage property financially and otherwise. This proposition was  	adopted under my advice. The Sangh has not sufficient workers to 	enable it to take charge of properties that are being offered to it. 	This Pandharpur proposition has been entertained because you and 	Swami  are interested in it and because both of you are connected 	with the donor, who I am sure holds advanced and liberal views on 	untouchability and other matters and who wholly endorses the Sangh’s 	campaign against untouchability. I hope this is sufficiently clear 	and quite satisfactory from the point of view of the Buva. If any 	further elucidation is required please do not hesitate to write to 	me. I understand from Shri Kavde who was here for two days that the 	Buva was expected to be somewhere near Wardha during the first week 	of October. If that does happen I would like you to urge him to pass 	a few days with me at Maganwadi so that I can make his personal 	acquaintance and understand his desire about the management of the 	Dharmashala in Pandharpur. In view of the conversation I had with 	Swami and Shri Kavde I would advise that in drawing up the 	trust-deed you give the 
 trustees full powers of mortgage, alienation, etc., so long as the corpus is used for the exclusive benefit of Harijans. I have explained to  Swami why I consider the possession of this power by the trustees as a vital part of the deed.
 Yours sincerely,
 From a copy: Pyarelal Papers. Courtesy: Pyarelal
 "
7,"September 	24, 1935",LETTER TO DR. GOPICHAND BHARGAVA,"
        WARDHA, 
  September 	24, 1935     DEAR 	DR. GOPICHAND,  	I have your letter. I am conferring with Shankerlal as to what 	should be done. My own inclination is to hand the charge to Meerut 	people because they already know the working of the Kashmir Bhandar. 	If that proposition does not commend itself to Shankerlal or to the 	council, your alternate proposals will be helpful. Let us decide 	upon certain propositions as decisive, namely, that we shall not run 	any Bhandar at a loss. Secondly we shall not make purchases even in 	the open market for replenishing our stocks if we do not know what 	wages the workers at those articles have received. This applies to 	the market pattuslibtech_6_footnotelibtech_7_footnoteyou have mentioned. It is not enough for us to know, 	that the pattus come within our definition of khadi or 	swadeshi.  Yours 	sincerely,  BAPU  DR. 	GOPICHAND BHARGAVA 	LAHORE  From 	a copy: Dr. Gopichand Bhargava Papers. Courtesy: Nehru Memorial 	Museum and Library                
  "
8,"September 	24, 1935",LETTER TO VALJI G. DESAI,"
        CHI. 	VALJI,     September 	24, 1935 "
9,"September 24, 1935",MESSAGE ON BIRTHDAYlibtech_8_footnote,"
  	I couldn’t write to you because of heavy pressure of work. 	Munshi’s writing is neither seductive nor obscene. I didn’t see 	anything objectionable in his ridicule of brahmacharya. I had 	read nearly the whole of it before writing the Foreword. I had liked 	his effort. The fact is that, having come to know Munshi personally, 	I have developed a partiality for him. He has capacity for 	self-sacrifice. He seems to be a sincere man. This does not mean 	that I like everything about him. But we should regard others in the 	spirit of ahimsa, that is, with a broad mind. In other words, we 	should judge everybody according to his limitations. I hope this 	answers all your questions. I received your article. I hope all of 	you are well.  Blessings 	from  BAPU  From 	a photostat of the Gujarati: C.W. 7474. Courtesy: Valji G. Desai       	[On or after September 24, 1935] These spurts 	are no good, if one sleeps away the rest of the year; and 	now that we have a definite ideal in front of us, viz., the working  	towards a minimum wage for eight hours’ work, some of us must try 	to do eight hours’ spinning, either single or by several combining 	together, keeping a  regular record of everyone’s spinning and 	every     own, 	had 16 hours’ 	unbroken spinning on 	wheel for 	the whole period. But 	this was 	far from satisfying Gandhiji	”  
 day’s spinning, so that one can arrive at a standard average spinning
 . . . . I understand the depth of feeling behind your wishing many returns of my birthday. But as you know well, not a minute will be added by the Creator to the allotted span of my life, no matter what human effort is put forth. Nevertheless, while it lasts we shall always continue to pray and otherwise strive for one another’s good and longevity.
 Harijan, 12-10-1935
 "
10,"September 25, 1935",LETTER TO BHUJANGILAL CHHAYA,"
  
 MAGANWADI, WARDHA,
 September 25, 1935
 CHI. BHUJANGILAL,
 I am guilty of delay in replying to your letter. There is no need at all to try to see Harilal. You yourself must decide about your  future.
 Blessings from
 BAPU
 From a photostat of the Gujarati: G.N. 2605
 "
