chapter_no,date,title,content
1,"December 	26, 1913",CABLE T0 G. K. GOKHALE,"
         DURBAN, 
  December 	26, 1913    PRAY 	     ASSURE      HIS      EXCELLENCY      FROM      YOUR      	KNOWLEDGE       OF 	ME      I      WOULD      	DO      EVERYTHING       	CONCEIVABLY       POSSIBLE       FOR  ME   NOT   EMBARRASS 	  OUR   GOVERNMENT.   I   	 ASSURE    YOU    HIS UNFLINCHING 	ADVOCACYlibtech_1_footnote HAS CREATED 	SILENT SUBTLE INFLUENCE 	FAVOUR BRITISH			CONNECTION		WHICH		NO			DECLARATION 	NO	COMMISSIONS	COULD		POSSIBLY		HAVE		DONE.		HIS UNEQUIVOCAL,     	COURAGEOUS     PRONOUNCEMENT      HAD      RING      SINCE- RITY     	 WHICH      PRODUCED      PROPOUND      IMPRESSION      UPON      	EURO- PEANS         INDIANS.          AM	EXPECTING	HOURLY	REPLY 	FROM 	INTERIOR	ABOUT	PROPOSED			PRIVATE		INTERVIEW.	OTHER 	LOCAL    INFLUENCES    WORKING 	   OUR    FAVOUR.    YOU  	   KNOW     INTE- 	  RIOR’S      REPLY     	 SAYS      GOVERNMENT      INTENDED 	      MAKE       COMMIS- 	SION      IMPARTIAL;      THAT      THEY      DID       NOT       	CONSULT       PLANTERS TIME     APPOINTMENT     STOP     AT      	INTERVIEW      IF 	     GRANTED      OTHER- WISE     PUBLICLY     BEFORE      MARCHING, 	     SHALL      ASSUME      GOVERN MENT’S      IMPARTIALITY       	WITHDRAW       CHARGE 	      PARTISAN       CHARAC- TER      AND      FORSAKE      MAKING 	      GOOD       	FUNDAMENTAL       POSITION, THAT  OUR  SENTIMENT   SHOULD   BE   	FORMALLY   [OR]   INFORMALLY CONSULTED     RESPECTED     AND     FOR 	    APPEASING     COMMUNITY.     IN PRESENT   STATE    TENSION,    	SUSPICION,    INDIGNATION, 	  REQUEST 	NOMINATION     ONE 	    ONLY     ADDITION     	MEMBER      OUR      	SIDE,      PLAN- TERS        HAVING 	       RIGHT       NOMINATE       ONE       THEIRS.         APPREHEND 	NO     DIFFICULTY     REGARDING     DISCHARGE     PASSIVE     	RESISTANCE PRISONERS      	 WE       NOT       	ASKING       SO       CALLED        PASSIVE       RESISTERS, 	IF    ANY,     CONVICTED  	   VIOLENCE     STOP     EVERYBODY     ADMITS     ABSO- LUTE       	NECESSITY       DISCHARGE.       “PRETORIA        NEWS”        	STRONGLY URGES   GOVERNMENT    ACCEPT    PRAYER.    COULD    HIS    	EXCELLENCY POSSIBLY     URGE     ACCEPTANCE     THIS     MIDDLE      	COURSE      WHICH, WITHOUT 	   IMPAIRING 	    OUR     PRINCIPLE,      WOULD 	     CAUSE      GOV- 	ERNMENT   NO   LOSS   	DIGNITY  PRESTIGE,  SMOOTHS  WAY  FUTURE PERMANENT       	SETTLEMENT.       ARE        TRYING        OUR        SIDE        	AND      YOU       	“Lord 	Hardinge’s Speech, 3-12-1913. 
 SHOULD    YOURS    TO    SEE    THAT     IF     FORTUNATELY     WE     ENABLED ACCEPT  COMMISSION  AND  SUSPEND   STRUGGLE.   NO   DOUBT   LEFT COMMISSION COVERING ALL GRIEVANCES.libtech_2_footnote"
2,"December 	26, 1913","CABLE TO G.
K. GOKHALElibtech_3_footnote","
    Servants 	of India Society       GANDHI          DURBAN, 
  December 	26, 1913    OATH 	     INCLUDES      NOT      FIRST      JANUARY.      ALREADY       	PROMISED CLERGY     REASONABLE      POSTPONEMENT.      NOTHING 	     FROM      INTERIOR 	YET. "
3,"December 	26, 1913",CABLE TO G. K. GOKHALE,"
   Servants 	of India Society       GANDHI          DURBAN, 
   SERVINDIA  POONA 	CITY  December 	26, 1913 
    WEST 	   WENT     DELIVER     MY     CABLE     FOUND     YOURSlibtech_4_footnote 	    ABOUT     FUNDS AND 	     REPLIED.      REASON      FOR      ASKING      YOU      HOLD    	   FUNDS       IS NONE 	    KNOWS     LIMIT      TO      LOCAL      GOVERNMENT’S      	REPRESSIVE METHOD. 	 THEY   MAY   UNDER   MARTIAL   LAW   SEIZE   EVERYTHING EVERYBODY.  	    MARTIAL      LAW      WAS      SERIOUSLY      SUGGESTED.       	BET- TER  THEREFORE   IF   YOU   HOLD   FUNDS   AND   SEND   AS   	REQUIRED. MOVEMENT     SPREADING     BEYOND      ALL      	EXPECTATION.      REMAIN BESIEGED BY PEOPLE ALL DAY. MARCH WILL 	BE POSTPONED      
 ALMOST     CERTAINLY.      WHILST      THERE      IS      HOPE      OF      PEACE      AM NOT      FIXING       PRELIMINARIES       NECESSARY       PROVIDING       PROBABLY FIVE       THOUSAND       MARCHERS      WHOSE      RANKS      MAY      SWELL, TWENTY      THOUSAND      AS      MOURNING      BUT      DETERMINED       MEN WOMEN   PROCEED.   AM   ATTENDING   MASS   MEETINGlibtech_5_footnote   MARITZBURG SATURDAY.     ARRANGING      YOUR      CABLES      BEING      REPEATED.      WILL GIVE PROMPTEST ATTENTION CABLE INSTRUCTIONS.
    Servants 	of India Society  GANDHI "
4,"December 	26, 1913",LETTER TO MARSHALL CAMPBELL,"
       110, FIELD STREET,  DURBAN,  December 	26, 1913  DEAR 	MR. MARSHALL CAMPBELLlibtech_6_footnote,  	I learnt only two or three days ago that you had returned from 	England. Will you allow me to tell you how deeply concerned I was 	when I learnt that your men were among the first to strike on the 	coast? At an important meeting, when I was actually asked why I 	would not advocate a strike on the sugar plantations also, I replied 	that we were endeavouring to confine the area to the collieries 	only, in the hope that the strike on the collieries would be a 	sufficient demons- tration to secure relief. Whilst I was at 	Newcastle organizing relief for the collieries’ men who had come 	out, I was asked by my co-workers in Durban what answer to give to 	the coastal Indians who wanted to join the movement, and I 	emphatically told them that the time was not ripe for them to do so. 	Later, too, when I was again approached, I made the same statement 	and one of my last letterslibtech_7_footnotebefore my arrest was that, as we were so much 	indebted to you for your efforts to bring about the repeal of the £3 	tax legislation, your men should be the last to be called out; but I 	am absolutely certain that after my arrest the workers found it 	impossible to control the men and the movement became not only 	spontaneous, but it assumed gigantic proportions. I would like you 	to enter into our feelings. Had I been free and assisted in calling 	out the men, I must freely admit that I would have certainly      
 endeavoured to call out your men also; but, as I have already stated, yours would have been the last estate.
 As you know, in this struggle for honour and self-respect, and for the relief of the distress of my dumb and helpless countrymen, the indentured Indians, it was not possible for us to consider or confine the extent of our sufferings. In this struggle we have not  hesitated  to invite our own women and children to suffer and lose their all, and we could not very well be expected to consider the interests of individual friends and sympathisers. In all our strugglesof this nature the innocent as well as the guilty suffer. I hope, therefore, that neither my countrymen nor I have forfeited the valuable co-operation andsympathy which you have always extended. I may state that I am just now carrying on delicate negotiations with General Smuts, in spite of his rejection of our prayer, and if you have the leisure and could interest yourself in the negotiations, and if you would appoint a time and place, I would come over and discuss the situation.
 Both Messrs Kallenbach and Polak, who have pleasant recollec- tions of the luncheon you gave in honour of Mr. Gokhale, associate themselves in the sentiments I have expressed.libtech_8_footnote
 I am, etc.,"
5,"December 27, 1913",INTERVIEW TO REUTERlibtech_9_footnote,"
    THE 	HON. 	MARSHALL CAMPBELL 	MOUNT 	EDGECOMBE  The 	Natal Mercury, 5-1-1914       M. K. GANDHI              [DURBAN, 
  Before 	December 27, 1913]  Mr. 	Gandhi, interviewed  by  Reuter  on  the  subject 	 of  the  reply 	 received from 	Government,libtech_10_footnotesaid 	that there seemed in it a 	tone of 	conciliation of 	which he 	was trying 	to take 	advantage. He 	would not 	state anything 	beyond saying that he 	had placed 	himself in private 	communication  with 	 the  Government,  but 	 he  thought that 	 a  way  out  of  the   	deadlock  was   possible, 	  and   that, 	  without   any 	  loss   of      
 prestige or dignity, Government could respond to the earnest prayer of the Indian community for the representation of its interests. The Government’s declaration that it, at any rate, did not intend the Commission to bear a partisan character was a hopeful sign.
 He added that he wanted to assure the Europeans in South Africa that he felt just as much for the Europeans as for his own countrymen, regarding the sufferings to be undergone by them both in a struggle of this gigantic nature; and that, realizing fully his sense of responsibility, he would leave no stone unturned to avoid a revival of passive resistance.
 He claimed to rank amongst the staunchest loyalists alike to the ImperialGovernment as to the Union Government and, his loyalty being rather to the Constitution than to persons, was unaffected by acts of the Government, however harsh he might consider them to be.
 He, therefore, begged the citizens of South Africa to believe him in his declaration that he would leave nothing, short of compromising his own conscience, undone to avoid a recrudescence of the sufferings. On his release from imprisonment, he was deeply pained to learn that employers on the coast, for some of whom he entertained high regard, had to suffer losses. He only hoped that the Government would appreciate the private communication which he had made, and that the European public would lend their support even though it might be on trust.
 The Natal Mercury, 27-12-1913
 "
6,"December 	27, 1913","CABLE TO G.
K. GOKHALElibtech_11_footnote","
         DURBAN, 
  December 	27, 1913    WILL 	     CERTAINLY      	POSTPONE      TILL      ROBERTSON’S       ARRIVAL.       MAY WE    	GIVE    PUBLIC    RECEPTION    STOP    IN    EVENT     PRESENT     	NEGO- TIATIONS      FAILING      MAY       WE       ANNOUNCE      WE 	      AWAITING    ARRIVAL    
 BEFORE	RECOMMENCING.	MEANWHILE	WE	SHALL	REFRAIN GIVING EVIDENCE."
7,"December 	27, 1913",CABLE TO G. K. GOKHALE,"
   Servants 	of India Society       GANDHI        DURBAN, 
  December 	27, 1913  I 	 PROMISE  SUSPEND   MARCH   UPTO   ONE   WEEK   AFTER.   ROBERTSON’S 	ARRIVAL	PROVIDED	HE	LEAVES	TWENTY-NINTH.libtech_12_footnote MEAN- 	WHILE     HOPE 	    PRESSURE    WILL     BE     EXERCISED     PROM     INDIA ENGLAND 	      REGARDING       MY  	     PROPOSAL       SUBMITTED        YESTERDAY AND     ASKING     	GENERAL     SMUTS     GRANT      REQUEST      WITHOUT 	REFERENCE     ROBERTSON’S 	    ARRIVAL.      MISS      HOBHOUSE,      STAUNCH FRIEND     	GOVERNMENT,     HAS     JUST     WIRED     ASKING     ME     SUSPEND 	MARCH      AND      SHE      IS      INTERVENING.      SIMILARLY     	 SYMPATHY      BE- ING    GAINED 	   HERE.    THIS    	POSITION    SHOULD    NOT     BE     DISTURBED EITHER    BY    	VICEROY    OR     LORD     CREWE     UNDER     PRESSURE 	   FROM 	UNION    GOVERNMENT     AS     	HAPPENED     DURING      PASSAGE      IMMI- GRATION      BILL      	BY      EITHER      APPROVING      UNION 	     GOVERNMENT ACTION    	    OR        CONDEMNING        OURS.        ON         YOUR        	REPLY      HERETOlibtech_13_footnote    The 	second said: 	“Viceroy wires: ‘In 	view promise given 	by Gandhi 	and my 	intense desire secure 	peaceful settlement, Robertson will leave first January arriving 	Durban about eleventh. 	Have asked Lord Crewe 	endeavour arrange with Union 	Government short 	postponement meeting 	Commission.’ Viceroy 	wants you communicate 	freely with Robertson 	on arrival. 	He goes 	[to] give fullest 	assistance community. 	Viceroy, however, thinks 	it desirable you  should  	know  that  if 	community resort passive 	resistance or 	violence, Robertson 	will immediately 	dissociate himself.” 	For the full text 	of the Viceroy’s cable 	to  Gokhale, vide  Viceryo’s 	Telegram to G. K. 	Gokhale”, 28-12-1913. 
 WILL         ANNOUNCE          THAT          AT         VICEROY’S         DESIRE,	BECAUSE ROBERTSON   COMING,   WE   HAVE   SUSPENDED   MARCH    WITHOUT  COMMITTING     OURSELVES     TO     COMMISSION     AT     PRESENT     CONSTI- TUTED     AND     WITHOUT     TAKING     PART     AT     ITS     SITTINGS.		THIS ANNOUNCEMENT WILL NOT BE MADE UNTIL I HAVE DES-PAIRED  OF NEGOTIATIONS	WITH	SMUTS.	ANDREWSlibtech_14_footnote WILL			BE FULLY HONOURED. SO WILL ROBERTSON."
8,"December 	27, 1913",SPEECH AT MARITZBURGlibtech_15_footnote,"
     Servants 	of India Society       GANDHI           MARITZBURG, 
  [December 	27, 1913]    Mr. 	Gandhi, in a speech of 	noteworthy moderation, 	intimated  that 	negotiations of 	an important character 	were proceeding in 	connection with 	the grievances 	of the 	Indians. Indians 	had, he said, 	to await the final 	issue of the 	negotiations. He 	counselled them 	to be ready, 	as it might 	happen that they would 	be called 	upon to join 	in the 	march from Durban to 	the Transvaal 	to court 	arrest. He did 	not anticipate 	that the march 	would commence on January 	1. It might 	not take place 	until January 15. 	And in the 	event of 	such a 	march taking place, they 	had to 	make all 	the necessary 	arrangements for 	commissariat, which 	was a matter of very 	great importance. 	He claimed, 	in the course 	of his speech, 	that they were simply seeking to 	obtain the 	elementary rights of 	humanity and 	ordinary justice.libtech_16_footnote  Indian 	Opinion, 31-12-1913              "
9,"December 	29, 1913",TELEGRAM TO MINISTER OF INTERIOR,"
  
 
 
[DURBAN,]
  December 	29, 1913    BEG 	     THANK      MINISTER 	     FOR      WIRElibtech_17_footnote VENTURE       	SUGGEST       THAT ONE     MEMBER     BE     SELECTED     BY      	PLANTERS      AND      OTHERS      AND ONE      BY      INDIAN 	     COMMUNITY.      THIS 	     WILL       ALLAY 	      SUSPICION AND   WILL 	  BE   AN   EARNEST   OF  	 GOVERNMENT’S   INTENTION 	  NOT DISREGARD      	INDIAN      SENTIMENT 	     IN      MATTERS      VITALLY 	      AFFECT- ING      	INDIAN      COMMUNITY. 	     WE      SHALL      MAKE      PUBLIC       STATE- MENT      THAT 	     WE      ACCEPT      THE      ASSURANCE      OF       GOVERNMENT 	THAT    THEY    DID    NOT    INTEND 	    GIVE     COMMISSION   	  PARTISAN CHARACTER      BUT       THAT       AT       OUR       	EARNEST       REQUEST       THEY HAVE       APPOINTED       	ADDITIONAL       	COMMISSIONERS        TO   	     REPRESENT US     GIVING 	   THE 	    SAME     RIGHT     TO      PLANTERS      AND      OTHERS.      I 	MAY     STATE     THAT     I     SHALL     BE     PREPARED     	ADVISE     MY COUNTRYMEN     ACCEPT     A     SINGLE      MEMBER     	 COMMISSION      SIR  WILLIAM 	     SOLOMON      BEING   	   SOLE       MEMBER       IF       GOVERNMENT COULD     SEE     	THEIR     WAY     ACCEPT     MY     HUMBLE     PROPOSAL.      FROM 	THE     TONE     OF     THE     REPLY      DATED      24TH      	INSTANT      I      ASSUME THAT      THERE      WOULD 	     BE      NO      	DIFFICULTY      ABOUT       DISCHARGE- ING   BONA   FIDE   PASSIVE   	RESISTANCE    PRISONERS   	 AT    PRESENT UNDERGOING 	   IMPRISONMENT    BUT    	NOT    SO    CALLED    PASSIVE     RESIS- TERS      WHO      MAY     	 HAVE      BEEN      GUILTY 	     OF      VIOLENCE.    	   ALSO THAT      THE      REFERENCE      TO      THE      	COMMISSION      WOULD     	 BE WIDENED 	  SO 	  AS 	  TO 	  INCLUDE 	  AN 	  INQUIRY 	   INTO    ALL    THE 	GRIEVANCES      AND      TO      BRING      IT      IN      A      	LINE      WITH       SIR 	WILLIAM      SOLOMON’S 	     STATEMENT       AT       THE       OPENING       SITTING. THIS  	   CONCESSION      BEING      MADE      WE      SHALL      UNDERTAKE 	     SUS- PEND   PASSIVE   RESISTANCE   PENDING   FINDING   	COMMISSION.    IF GOVERNMENT       AT       ALL       VIEW 	      MY       SUBMISSION 	       WITH       FAVOUR 	I    STILL    RESPECTFULLY    PRESS 	   FOR     INTERVIEW 	    WHICH     WILL 	FACILITATE       	SETTLEMENT       MATTERS       OF       DETAIL.        SHORTHAND 	NOTES    MAY    BE    TAKEN     AT     THE     INTERVIEW 	    SO     AS     TO     	AVOID ANY 	    FUTURE     MISUNDERSTANDING.     IF      GOVERNMENT      COULD   	   EN- ABLE       ME       ANNOUNCE       ACCEPTANCE       PRAYER    	   BEFORE       NEW YEAR’S      EVE      IT      WOULD 	     RELIEVE       	TENSION       AND       MY      COUNTRY    
 MEN     WOULD    BE     ABLE     TO     LOOK      FORWARD      TO      NEW      YEAR WITH       HOPE       AND       FEEL       GRATEFUL       FOR       GOVERNMENT’S       ACT OF JUSTICE.libtech_18_footnote"
10,"December 	29, 1913",CABLE TO G. K. GOKHALE,"
    Colonial 	Office Records: 55l/46       GANDHI          DURBAN, 
   SERVINDIA  POONA 	CITY  December 	29, 1913 
    NO 	    FURTHER     WAY     OUT     POSSIBLE      STOP      IF      WE   	   MUST      LOSE LORD      CREWE’S      INDIA’S 	     SYMPATHY       WE    	   MUST       BE       CONTENT. ALL     I     HOPE     YOU     WILL 	   KINDLY 	    DO      IS      NOT   	   BE      OVER- ANXIOUS    ABOUT    US.     WE     HERE     ARE     	PERFECTLY     CHEERFUL  SUFFERING     IS      WHAT 	     WE      BARGAINED    	  FOR      AND      WE      SHALL  TAKE     IT     STOP     SERIOUS  	   ENOUGH      POSTPONE 	     MARCH      PEOPLE 	DESPITE   WARNINGS    	ALREADY    SELLING    FEW    BELONGINGS    ANTI- 	 CIPATION    STOP    	WHERE    SO    MUCH    EARNESTNESS    DESPITE    WITH- 	DRAWAL     OUTSIDE     	HELP     THERE     IS      HOPE      STOP      SENDING STATEMENTlibtech_19_footnote LATER.  GANDHI   National 	Archives of India: File No. 45 Courtesy: Servants of India Society                 
  "
