footnote_no,footnote
libtech_1_footnote,"1Vide “Resolution on Council-Entry”, 19-5-1934"
libtech_2_footnote,"1Gandhiji got down 	at Byree and walked to Gandhi Seva Ashram at Champapurhat. It being 	his day of silence, he wrote down his answers."
libtech_3_footnote,"2Vide footnote 	2, “Speech at A.I.C.C. Meeting, Panta- I”."
libtech_4_footnote,3Verrier Elwin
libtech_5_footnote,1The Congress had appointed a Parliamentary Board under the presidentship of Dr. Ansari for contesting elections to the Central Legislative Assembly; vide p. 8.
libtech_6_footnote,2Omission as in the source
libtech_7_footnote,3Agatha Harrison
libtech_8_footnote,"4Pierre Ceresole, Swiss Engineer, who had come to India in connection with the Bihar earthquake relief work"
libtech_9_footnote,1Muriel Lester
libtech_10_footnote,"2Sushila Pai, then head mistress of the Vanita Vishram, Rajkot, who later became Secretary of the Kasturba Memorial Trust"
libtech_11_footnote,"2That is, 	on May 	19, 1934"
libtech_12_footnote,3Umadevi Bajaj
libtech_13_footnote,
libtech_14_footnote,4An inmate of the Ashram
libtech_15_footnote,
libtech_16_footnote,"1According to the 	addressee this was an acknowledgment of a report on civil resisters 	and Harijan sevaks; vide 	“Letter to Amritlal 	Chatterjee”, 23-4-1934"
libtech_17_footnote,1Vide the 	preceding item.
libtech_18_footnote,1Inferred from the contents
libtech_19_footnote,1The message was 	conveyed in a letter of even date from Sushila Pai to the addressee.
libtech_20_footnote,2From the postmark
libtech_21_footnote,2ibid
libtech_22_footnote,1The message was 	conveyed in a letter of even date from Sushila Pai to the addressee.
libtech_23_footnote,2As given in the G. 	N. register; it is obliterated in the source.
libtech_24_footnote,1The names have been 	omitted.
libtech_25_footnote,"1The meeting took place on May 10, 1934."
libtech_26_footnote,"1In his introductory 	note to this, N. R. Malkani, who was Gandhiji’s acting secretary, 	stated that these notes had the “advantage of having been passed 	by Gandhiji”. Malkani wrote : “It was Friday, the 25th of May, 	1934, and we had to walk"
libtech_27_footnote,"2Harakhchand Motichand, a wealthy philanthropist from Kathiawar"
libtech_28_footnote,1A village 	in Cuttack District
libtech_29_footnote,"1The message was conveyed in a letter of even date from Chandrashankar Shukla, Gandhiji’s secretary, to K. M. Munshi."
libtech_30_footnote,"1Vide “Speech 	at Chittaranjan Seva Sadan, Calcutta”, 21-7-1934"
libtech_31_footnote,"2From “Weekly 	Letter” in Harijan, 	8-6-1934"
libtech_32_footnote,1The names have been 	omitted.
libtech_33_footnote,"2The addressee, 	wishing to be in Gandhiji’s company, had said in her letter that 	he had no place for an uneducated person like herself."
libtech_34_footnote,3An inmate of the Ashram
libtech_35_footnote,4Gandhiji has used the Gujarati phrase to mean that he was having new people with him.
libtech_36_footnote,1Vide the 	following item.
libtech_37_footnote,"2This paragraph was 	repeated in Gandhiji’s letter dated June 14, 1934, to the 	addressee."
libtech_38_footnote,1Vide the 	preceding item.
libtech_39_footnote,"2Held at Patna on 	May 11, under the presidentship of Acharya Narendra Dev"
libtech_40_footnote,"1Written in a handwriting other than Gandhiji’s, this is found on the reverse  of the postcard containing the letter."
libtech_41_footnote,"1Madan Mohan Malaviya, Dr. M. A. Ansari, Dr. B. C. Roy and Bhulabhai Desai of the Congress Parliamentary Board"
libtech_42_footnote,2The name is omitted in the  source.
libtech_43_footnote,1The extract is not reproduced here. The correspondent had pointed out the need to remove the indignities suffered by the so-called ‘coolies’ and those belonging to other Depressed Classes. He had requested Gandhiji to “evolve a scheme of work” to raise their standard of life and to earn them recognition in society.
libtech_44_footnote,1The source has “contraverse”.
libtech_45_footnote,2For doing Harijan work
libtech_46_footnote,"1This message was 	conveyed in a letter dated June 2, 1934 from Chandrashankar Shukla 	to K. M. Munshi. The addressee’s name, however, is not known."
libtech_47_footnote,1This and 	the following item 	appeared in the 	source as 	quoted in 	a statement  by 	Dr. B. C. Roy and Satis Chandra Das Gupta.
libtech_48_footnote,1Communal Award
libtech_49_footnote,"2Daughter and son of 	Dr. Jawaharlal Rohatagi, a leading Congressman of Kanpur, who were 	both working as house-surgeons in the King Edward Memorial Hospital 	where the addressee was operated upon"
libtech_50_footnote,1When Gandhiji was to reach Bombay
libtech_51_footnote,1A chain for the 	waist
libtech_52_footnote,"3Vide “Letter to R. V. Martin”, 16-8-1933"
libtech_53_footnote,"1In reply to the addressee’s telegram informing Gandhiji of the death of Mahendra Prasad, addressee’s elder brother"
libtech_54_footnote,"1Not decipherable in 	the source. However, from the context it is clear that the letter 	was written in June. Vide 	also the preceding 	item."
libtech_55_footnote,"1An extract from this letter appears in “ Letter to Mathuradas Trikumji”, 7-6-1934"
libtech_56_footnote,"4The message was conveyed in a letter dated June 5, 1934 from Chandrashankar Shukla to K. M. Munshi. The addressee’s name, however, is not known."
libtech_57_footnote,"1From Amrita Bazar Patrika, 8-6-1934"
libtech_58_footnote,"2The telegram was published under the date-line, “Bhadrak, June 5, 1934”."
libtech_59_footnote,3ibid
libtech_60_footnote,3Addressee’s sister
libtech_61_footnote,"4When the Ashram was closed, the younger girls were left in the care of Anasuyabehn Sarabhai."
libtech_62_footnote,1What follows is reproduced from The Bombay Chronicle.
libtech_63_footnote,2Extracted from “Weekly Letter”
libtech_64_footnote,1Addressee’s wife
libtech_65_footnote,
libtech_66_footnote,1Addressee’s name 	as given in the G.N. register
libtech_67_footnote,1Wife of Gopabandhu Babu and Secretary of the Harijan Sevak Sangh
libtech_68_footnote,"2From “Weekly 	Letter” in Harijan, 	15-6-1934"
libtech_69_footnote,3What follows is reproduced from The Bombay Chronicle.
libtech_70_footnote,
libtech_71_footnote,1What follows is 	reproduced form The 	Bombay Chronicle.
libtech_72_footnote,"1Vide also “Observation on M. R. Masani’s Socialstic Programme”, 29-5-1934"
libtech_73_footnote,"1Bhagavad Gita, II. 40"
libtech_74_footnote,"1The addressee, 	Secretary, Gujarat branch of the Harijan Sevak Sangh, was mistaken 	for a Harijan at a village in Baroda State. He was beaten up for 	drinking water from a parab, 	a place on public 	road to supply water to thirsty people."
libtech_75_footnote,1The name has been 	omitted.
libtech_76_footnote,"2Sheth Mathuradas, Dahanukar, Avantikabai Gokhale, Hansa Mehta, V. L. Mehta, P. Baloo, Narayan Kajoolkar, Dr. Solanki, S. K. Bole, J. K. Mehta and K. L. Jhaveri."
libtech_77_footnote,"1In the source, this 	is not in Gandhiji’s handwriting."
libtech_78_footnote,1This and the following item have been extracted from “Weekly Letter”.
libtech_79_footnote,1The Bombay Provincial Board had requested Gandhiji to get the Central Board to permit them to retain 75 per cent of the collections made in Bombay instead of 50.
libtech_80_footnote,"1A gentleman who wanted to remain anonymous had donated in June 1933 a sum of Rs. 25,000 to be paid in instalments of Rs. 2,000 per month for constructing wells for Harijans all over the country. The amount was called under this name after it was fully paid up."
libtech_81_footnote,2What follows is reproduced from The Bombay Chronicle.
libtech_82_footnote,1The first and last paragraphs are from The Bombay Chronicle.
libtech_83_footnote,"2This appeared under the title “At the Maidan” with the following introductory note by Valji G. Desai : “On 16th instant, punctually at the advertised time, Gandhiji came in spite of rain to address the public meeting. Sheth Mathuradas [Vissanji, Chairman Harijan Sevak Sangh] presided. The following is the substance of his speech.”"
libtech_84_footnote,"1G. V. Naik, 	Amritrao Khambe and Baburao Gaekwad"
libtech_85_footnote,"1With M. M. Malaviya who, along with M. S. Aney and some other members, had been pleading for the rejection of the Communal Award by the Parliamentary Board which met in Mani Bhuvan on June 15 and 16. The nationalist muslims had been supporting the view of the Ranchi Conference, that the Award should be neither accepted nor rejected, until an agreement was brought about between Hindus, Muslims and Sikhs. The Board, therefore, sought Gandhiji’s advice. The Congress Working Committee, which met in Mani Bhuvan on June 17 at the parliamentary Board’s request, accepted Gandhiji’s view. For the Working Committee Resolution, vide “Letter from N. C. Kelkar”, 22-6-1934"
libtech_86_footnote,"1From May 8 to 29, 1933, undertaken “for the purification of self and associates”; vide “Statement of Fast”, 30-4-1933"
libtech_87_footnote,"1At the conclusion 	of the meeting, Gandhiji auctioned several articles which were 	presented to him."
libtech_88_footnote,"1It consisted of Lalubhai Samaldas, K. M. Munshi, Mrs. Raiji, J. A. D. Naoroji, S. A. Brelvi, Vaikunth L. Mehta, B. G. Kher, Maganlal, Purushottamdas and Dhirajlal Modi."
libtech_89_footnote,"2Vide also “Letter to Parikshitlal L. Majmudar”, 11-6-1934"
libtech_90_footnote,"1Abul Kalam Azad, Dr. B. C. Roy and Jamnalal Bajaj met Gandhiji early in the morning in connection with the reported intention of M. S. Aney and M. M.  Malaviya to resign from the Congress as a protest against the Working Committee’s resolution on the Communal Award (vide Appendix II). Gandhiji, who was observing silence, gave them this and the following letter to be delivered to the addressees."
libtech_91_footnote,"2The telegram 	was in 	reply to 	the addressee’s 	dated June 16, 	1934, which 	read : 	“Regarding the 	Working Committee 	resolution expecting the 	Congress workers 	to render assistance 	to the 	Parliamentary Board 	kindly wire opinion 	whether those Congressmen 	who refuse to take part 	in elections should 	remain on  Congress  	executive bodies.”"
libtech_92_footnote,3ibid
libtech_93_footnote,1Popularly known as 	Loknayak Bapuji Aney
libtech_94_footnote,2From The Bombay Chronicle
libtech_95_footnote,"1The addressee 	had sought 	an appointment 	with Gandhiji 	on June 	21, 1934, to discuss 	with him Ramdas’s treatment."
libtech_96_footnote,1Romain Rolland and Madeleine Rolland
libtech_97_footnote,1Vide “An 	Autobiography”
libtech_98_footnote,
libtech_99_footnote,2Vide also 	the preceding item.
libtech_100_footnote,"1The addressee’s elder brother Mahendra Prasad who had been in charge of all domestic responsibilities had died earlier in the month; vide “Telegram to Rejendra Prasad”, 5-6-1934"
libtech_101_footnote,"2In Bapu’s 	Letters to Mira, Mirabehn 	explains : “I accompanied Bapu"
libtech_102_footnote,
libtech_103_footnote,2Efy Aristarchi
libtech_104_footnote,"3According to the 	source, these were written after Abul Kalam Azad, Dr. B. C. Roy and 	Jamnalal Bajaj had reported to Gandhiji at about 10.30 a.m. that 	Aney and Madan Mohan Malaviya were not prepared to withdraw their 	resignations; vide 	also the two 	preceding items."
libtech_105_footnote,"4The telegram was 	published under the date-line, “Coimbatore, June 17, 1934”."
libtech_106_footnote,5Of the death of 	addressee’s wife
libtech_107_footnote,1Held under the auspices of Anjuman-i-Fide-e-Islam. Gandhiji spoke in Hindi
libtech_108_footnote,2In their address 	the students had expressed their willingness to render Harijan 	service and asked Gandhiji to guide them in the matter.
libtech_109_footnote,"1This message 	was conveyed 	in a 	letter dated June 	24, 1934 from Prabhavati 	to Narandas Gandhi."
libtech_110_footnote,1 This and the following two items have been extracted from ‘‘Weekly Letter’’.
libtech_111_footnote,2Son of Mahendra Prasad
libtech_112_footnote,3This and the following item have been extracted from “Weekly Letter”.
libtech_113_footnote,"4The source has this 	paragraph in 	Hindi.  According  to  Chandrashankar 	Shukla, what 	follows was 	written when 	“Bhulabhai Desai, who 	had just dropped in, 	strongly supported the 	plea of 	the other three leaders”."
libtech_114_footnote,11856-1915; American Negro educator who was born a slave; founded the Tuskegee Institute for the training of Negroes in trades and professions.
libtech_115_footnote,2The District Local 	Board presented Gandhiji with an address in which they had given an 	account of the Harijan service they were rendering.
libtech_116_footnote,1The source has ‘‘June 27’’. But Gandhiji had left Poona on June 25.
libtech_117_footnote,3Arranged under the auspices of the Tilak Maharashtra Vidyapith; a questionnaire was presented to Gandhiji by the workers.
libtech_118_footnote,2The names are omitted in the source.
libtech_119_footnote,1Madan Mohan Malaviya
libtech_120_footnote,3ibid
libtech_121_footnote,"1Home Secretary, 	Government of Bombay"
libtech_122_footnote,"2A locality in 	Poona, now known as Shivajinagar"
libtech_123_footnote,"1A character in the 	Shrimad Bhagavat 	Puran, whose name  	‘Usha’  was corrupted 	into ‘Okha” by 	medieval story tellers. 	She was a daughter 	of Banasur 	and, having 	seen Shri Krishna’s grandson, Aniruddha in 	a dream, fell in 	love with him 	and persuaded 	her friend 	Chitralekha, to abduct 	him from Dwarka 	and bring him to 	her palace. 	Aniruddha was discovered 	in the palace 	by Usha’s 	father and in the war 	which followed, 	Banasur was defeated by Shri Krishna."
libtech_124_footnote,"2This paragraph has 	been reproduced from The 	Hindu, 26-6-1934."
libtech_125_footnote,"3Vide ‘‘Letter 	to Nanabhai I. Mashruwala’’, 25-6-1934"
libtech_126_footnote,1Purushottamdas 	Tandon
libtech_127_footnote,"1A bomb was thrown 	on what the assailant believed was the car carrying Gandhiji on his 	way to the Municipal Building. Gandhiji arrived at 7.30 p.m. little 	knowing what had occurred. When informed of the incident, he 	received the news calmly and agreed to the suggestion that the 	programme should be carried out. Accordingly the address was 	presented and Gandhiji left the hall at 8.30 p.m. This appeared 	under the title ‘‘Providence Again’’."
libtech_128_footnote,"1From May 8 to 28, 1933"
libtech_129_footnote,2Held in the morning on his arrival from Poona en route to Ahmedabad
libtech_130_footnote,"1This paragraph has been translated from Harijanbandhu, 1-7-1934."
libtech_131_footnote,"1Organized by the local Harijan Sevak Sangh, the meeting was held at the railway station."
libtech_132_footnote,1Held in the Krishna Cinema under the auspices of sevn women’s associations
libtech_133_footnote,"4Vide “Letter to Mirabehn”, 20-6-1934"
libtech_134_footnote,3Vide “My 	Reward”
libtech_135_footnote,"2The message was published under the date-line, ‘‘Lahore, June 27’’."
libtech_136_footnote,3Of Gujarat and Kathiawar
libtech_137_footnote,
libtech_138_footnote,"1At the Harijan 	Ashram (Satyagraha Ashram), Sabarmati"
libtech_139_footnote,"2Vide “Letter to Jawaharlal Nehru”, 14-9-1933 and “Letter from Jawaharlal Nehru”, 13-9-1933"
libtech_140_footnote,
libtech_141_footnote,"1The source 	had reported 	: ‘‘This 	definition was found 	by some 	of the workers 	as not 	entirely practicable, and 	the Gujarat Swadeshi 	Sangh suggest a change 	in the 	definition which should 	be : ‘Goods 	which are manufactured 	in India 	in all 	its stages, and under 	the direction 	of the Management 	with labour and capital 	75 per cent 	Indian, with 	Indian material as 	far as 	possible, shall 	be considered 	as swadeshi. 	But in manufacture of 	goods, yarn—cotton, 	silk and 	woollen—should 	necessarily be 	Indian.’’’ Vide 	also pp. 87-9."
libtech_142_footnote,"1At this point the writer of the leaflet was permitted to speak and he said that Gandhiji had done nothing for the workers when they had gone on strike at Bombay, Sholapur, Kanpur, etc. All that Gandhiji tried to do was to isolate labourers from Harijans."
libtech_143_footnote,1An association of women started by Mridula Sarabhai and run mainly by women with a view to creating interest in public life among women and giving them training in home industries and crafts so as to increase their earning capacity. The speech is extracted from ‘‘Weekly Letter’’.
libtech_144_footnote,1Duty at the time of an emergency
libtech_145_footnote,2Weavers
libtech_146_footnote,
libtech_147_footnote,"1Vide also 	“Answers to Correspondents”, 8-10-1933,"
libtech_148_footnote,"2President, 	All-India States’ People’s Conference"
libtech_149_footnote,"1At the Harijan Ashram, Sabarmati"
libtech_150_footnote,1This and the 	following item are extracted from ‘‘Weekly Letter’’.
libtech_151_footnote,2This speech is 	extracted from ‘‘Weekly Letter’’
libtech_152_footnote,
libtech_153_footnote,1What follows is reproduced from The Bombay Chronicle.
libtech_154_footnote,1This a”Notes” sub-title Communal Representation” peared under the title ‘‘Limits of Untouchability’’.
libtech_155_footnote,1Vide “Notes” sub-title Communal Representation”
libtech_156_footnote,"1The  letter 	  was  in   reply 	 to   the   addressee’s 	  dated  June   22,   	1934; vide"
libtech_157_footnote,"1Lakshman Balwant 	Bhopatkar, Advocate and Municipal Councillor, Poona, who had 	sustained injuries during the bomb explosion at Poona on June 25, 	1934; vide “Statement 	on Bomb Incident”, 25-6-1934"
libtech_158_footnote,"1Yusuf Meherally, 	socialist leader of Bombay"
libtech_159_footnote,"1The meeting was 	held in the morning. Ramjibhai of the Khadi Department, Kathiawar, 	submitted a report on progress of khadi in Kathiawar."
libtech_160_footnote,1This and the two following items are extracted from ‘‘Weekly Letter’’.
libtech_161_footnote,"1Lalnath had 	met Gandhiji in 	the afternoon 	and took his permission 	to speak 	at the 	meeting. He, 	however, reached the 	place before Gandhiji had 	arrived there and 	staged a 	black-flag demonstration, 	which led to a scuffle 	and assault 	on the sanatanist 	leader."
libtech_162_footnote,1Vide the 	preceding item.
libtech_163_footnote,2Gandhiji decided to 	undergo a week’s fast from August 7; vide 	‘‘Statement on
libtech_164_footnote,"1The letter was 	published under the date-line, ‘‘Cawnpore, July 6’’ 1934."
libtech_165_footnote,"1At Homestead 	Hall, which was 	mainly occupied 	by women 	while the rest 	remained outside the 	hall. A 	purse of Rs. 3,188 was 	presented by  Jairamdas  Doulatram. 	Gandhiji could not 	address the 	people outside the 	hall due to noise 	and rush."
libtech_166_footnote,2A prominent 	Congress Worker of Kanpur
libtech_167_footnote,"1Gandhiji had 	alighted at Mirani, five miles from Hyderabad station."
libtech_168_footnote,1The superscription 	is in Urdu in the source.
libtech_169_footnote,"2Presented by 	Jamshed Mehta, Mayor of Karachi"
libtech_170_footnote,1The speech is extracted from ‘‘Weekly Letter”.
libtech_171_footnote,1For the Karachi Indian Merchants’ Association
libtech_172_footnote,1Wealth
libtech_173_footnote,"1Secretary, Karachi District Congress Committee"
libtech_174_footnote,2This appeared under the title “To the Businessmen of Karachi”.
libtech_175_footnote,1The addressee’s 	reply telegram 	read : 	“Personally hold 	such a long 	fast unwarranted. Will 	give unnecessary shock 	to country 	which hope Lalnath 	does not 	desire. Request showing 	this telegram to Lalnath. Hope you will agree reducing period 	 of fast. 	Step rather drastic. Finally your discretion” (Birla Papers).
libtech_176_footnote,1Vide also 	the following item.
libtech_177_footnote,2The supreme good
libtech_178_footnote,"1Anandshankar 	Bapubhai Dhruva (1869-1942), Sanskrit scholar and Gujarati writer; 	Pro-Vice-Chancellor, Benares Hindu University"
libtech_179_footnote,1The superscription 	is in Urdu in the source.
libtech_180_footnote,"2This paragraph is extracted from “Weekly Letter”. What follows is reproduced from The Tribune. The Bombay Chronicle, 9-7-1934, had reported : “Coaxing a small child. . .Gandhiji quietly removed its ornaments from its neck, while he struggled with an old woman. . . to part with her ring when one of the bidders. . . gave a fifty- rupee note towards the price of an article which was . . .for Rs. 15. . .Gandhiji. ."
libtech_181_footnote,"3Various newspapers 	referring to Gandhiji’s visit to Kanpur had stated that Kanpur 	workers resented the action of the All-India Spinners’ Association 	in selling khadi hundis, 	as it was apprehended that it would injure the cause of collection 	of Harijan Fund."
libtech_182_footnote,"3The speech is 	extacted from ‘‘Weekly Letter’’ in Harijan, 	27-7-1934."
libtech_183_footnote,"4The source had 	reported that according to D. Majumdar, Secretary of the U. P. 	Congress, a statement was issued by the Kanpur Spinners’ 	Association, which inter 	alia read : ‘‘. . 	. khadi work is not against Harijan work. In the case of organizing"
libtech_184_footnote,5The source has 	‘‘him’’.
libtech_185_footnote,
libtech_186_footnote,"2Vide “Letter 	to N. R. Malkani”, 6-7-1934"
libtech_187_footnote,1Addressee’s 	daughter
libtech_188_footnote,1This appeared under the title “Gandhiji’s Impending Fast”.
libtech_189_footnote,"2Tribhuvan 	Purushotamdas Luhar, a Gujarati poet"
libtech_190_footnote,"2Presumably 	addressee’s daughter, 	herself and 	other women 	working for 	Harijan uplift"
libtech_191_footnote,"3Vide “Speech 	at Public Meeting, Ajmer”, 5-7-1934 and, “Statement on Fast”, 	10-7-1934"
libtech_192_footnote,1Vide the 	preceding item.
libtech_193_footnote,"1For the addressee’s 	telegram, vide 	“Telegram to G. D. 	Birla”, 9-7-1934"
libtech_194_footnote,"2For Gandhiji’s 	statement on the 	bomb incident of 	June 25, vide 	 “Statement on 	bomb Incident”, 25-6-1934"
libtech_195_footnote,"1A Gujarati saying 	which means : ‘Having reached the goal, why should I go"
libtech_196_footnote,2Associated Press of India released the statement from Karachi on this date.
libtech_197_footnote,1This appeared under the title : “To the Students of Karachi”.
libtech_198_footnote,"2Vide “Statement 	on Fast”, 10-7-1934"
libtech_199_footnote,2This is extracted 	from “Weekly Letter”.
libtech_200_footnote,"4Vide footnote 	1, “Letter to Mirabehn”, 20-6-1934"
libtech_201_footnote,1Vide “Students and Vacation”
libtech_202_footnote,"2After the 	speech, an 	auction of 	rings and 	bangles given by 	women students 	 of the college 	fetched a considerable amount."
libtech_203_footnote,1A Gujarati saying 	which means : ‘There will be no improvement.’
libtech_204_footnote,2ibid
libtech_205_footnote,1The names are 	omitted in the source.
libtech_206_footnote,"1Manibehn Patel was 	released from the Belgaum Jail on July 8, 1934."
libtech_207_footnote,"2Mahadev Desai was 	released from the Belgaum Jail on July 9, 1934."
libtech_208_footnote,1These two sentences 	are reproduced from Pilgrimage 	to Freedom.
libtech_209_footnote,2The source had 	reproduced the interview from Sind 	Observer.
libtech_210_footnote,"1Vide “Speech at Public Meeting, Ajmer”, 5-7-1934"
libtech_211_footnote,2The meeting was held at Jahangir Rajkotwala Gardens. This appeared under
libtech_212_footnote,"1What follows is reproduced from The Tribune, 13-7-1934, which had reported that a sum of Rs. 30 was collected on the spot and presented to Gandhiji."
libtech_213_footnote,
libtech_214_footnote,1 A Parsi religious ceremony where a boy  or a girl is invested with the sacred
libtech_215_footnote,"1Which Gandhiji was 	to undertake from August 7 to August 13. For his statement on the 	fast, vide “Statement 	on Fast”, 10-7-1934"
libtech_216_footnote,"2The telegram, as 	received by the addressee, had appeared under the date-line, 	“Santiniketan, July 13”, 1934."
libtech_217_footnote,3Vide the 	following item.
libtech_218_footnote,"4This was entitled, 	“Our objective : A Constituent Assembly”. The last two 	paragraphs of the article read : “Thus the Constituent Assembly 	has come to play an important part in modern political life. The 	Congress stands for such an Assembly, for, it alone can be the 	symbol of India’s freedom and the source of her people’s 	strength. Through it India hopes to attain the dignity of an 	enfranchised nation, fashion its will to self-determination and find 	its own soul to express it through fundamental laws."
libtech_219_footnote,1Gandhiji was 	interviewed in the train by the special correspondent who travelled 	with him from Samasta to Lahore.
libtech_220_footnote,"2Vide “Speech at Dayaram Jethamal Sind College, Karachi”, 10-7-1934"
libtech_221_footnote,1This appeared under 	the title : “Knowledge for Service”.
libtech_222_footnote,"1This paragraph is translated from Harijan Sevak, 20-7-1934."
libtech_223_footnote,"3He was released 	from the Nasik Jail on July 14, 1934 on grounds of health."
libtech_224_footnote,1Opposite of dharma
libtech_225_footnote,2 The telegram was in reply to the addressee’s of even date which read : “Most
libtech_226_footnote,"3Dated July 7, 1934"
libtech_227_footnote,"1 The addressee was released on health grounds form Nasik Jail on July 14,"
libtech_228_footnote,2Vide also 	the preceding item.
libtech_229_footnote,"3Editor, Sind 	Observer, and 	President of Sind Journalists’ Association"
libtech_230_footnote,1Vide the 	following item.
libtech_231_footnote,2It was made by 	stringing the cones of yarn together.
libtech_232_footnote,"3R. K. Sidhva, Secretary, Parsi Rajkiya Mandal. He gave an account of the activites of the Mandal."
libtech_233_footnote,1Wardha Kanya Ashram
libtech_234_footnote,
libtech_235_footnote,"1Vide “Telegram 	to G. D. Birla”, 14-7-1934"
libtech_236_footnote,"1Vide “Speech at Students Meeting, Lahore”, 13-7-1934"
libtech_237_footnote,"2What follows is reproduced from The Tribune, 16-7-1934."
libtech_238_footnote,3A. V. Thakkar
libtech_239_footnote,1By the members of 	Rashtriya Stri Samaj and other women’s organizations of Lahore.
libtech_240_footnote,"1According to the 	source, “About 50 Sikhs representing all progressive elements of 	the community” met Gandhiji at 9.15 a.m. Sardul Singh Caveeshar 	was also present."
libtech_241_footnote,"1The source had reported : “The deputation, which was led by Raja Narendranath, waited on Gandhiji in the afternoon to convey to him the resentment of the Hindus and the Sikhs of the Punjab in respect of the non-committal policy of the Congress about the Communal Award.”"
libtech_242_footnote,2Jairamdas Doulatram
libtech_243_footnote,
libtech_244_footnote,1The source had reported that this was a summary of Gandhiji’s speech obtained from his secretary by one of its representatives. Gandhiji was inaudible at the meeting.
libtech_245_footnote,1The name is omitted 	in the source.
