chapter_no,date,title,content
1,"December 	3, 1927","SPEECH AT PUBLIC MEETING, CHICACOLE","
       December 	3, 1927  	You seem to be dividing all the good things with poor Utkallibtech_1_footnotelibtech_2_footnote. I flattered myself with the assumption that my 	arrival here is one of the good things, for I was going to devote 	all the twenty days to seeing the skeletons of Orissa; but as you, 	the Andhras, are the gatekeepers of Orissa on this side, you have 	intercepted my march. But I am glad you have anticipated me also. 	After entering Andhra Desh, I have been doing my business with you 	and I know God will reward all those unknown people who have been 	co-operating with me who am a self- appointed representative of 	Daridranarayana. And here, too,  you have been doing the same 	thing. Last night, several sister came and presented me with a 	purse. But let me tell you this is not after all my tour in Andhra. 	I am not going to let you alone so easily as this, nor will 	Deshabhakta Konda Venkatappayya let me alone, because I have toured 	in some parts of Ganjam. I am under promise to tour Andhra during 	the early part of next year, and let me hope what you are doing is 	only a foretaste of what you are going to do next year.  	You have faith in true non-co-operation. There is  the  great drink 	evil, eating into the vitals of the labouring population. I would 	like you to non-co-operate with that evil without a single thought 	and  I make a sporting proposal, viz., that those who give up drink 	habit should divide their savings with me on behalf of 	Daridranarayan. Then I see that many of you are making 	chimneys of your mouths by the vicious smoke habit. You, who smoke, 	do not know what a filthy habit it is. I saw that many of the 	people, when I made the appeal, threw away their cigars and 	cigarettes. The elderly people  by indulging in this vicious habit 	do not know what a legacy they are leaving to their children. You 	know, as I know, that many children steal money in order to satisfy 	their curiosity to somke. I ask you therefore to non-co-operate with 	the smoke habit, and again divide you savings with me.  	So also must Hindus non-co-operate with the devil of un- 	touchability. I give you my assurance that devil is keeping us from 	God, and it is a barrier created for our own destruction.      
 Mahatmaji then proceeded to answer some questions handed to  him  by someone in the audience. The first question was: “What are the means now to be adopted by young men for the uplift of the Mother country?” Mahatmaji said:
There are many things that I can suggest, but there is one thing
 which is the easiest for them to do and that is khadi work. They can set apart a certain sum every month or every year to be devoted for khadi work. If they have the time, they can devote it to organizing khadi work in their own district. If they cannot do so or if they have given what is best in them. If they cannot do so or if they have not confidence enough to be able to do organizing work, they can give half an hour a day to spinning and their yarn to  the  All-India Spinners’ Association and become a member.
 The second question dealt with the educational and other qualifications required for a public worker. Mahatmaji said:
So far as educational qualifications are concerned, besides
 knowing the provincial vernacular, they must know also the Rashtrabhashalibtech_3_footnote—Hindi. But the other qualifications are even far more important. They must be strictly honest and their private character must be pure. Men whose eyes are not straight and whose heart is full of animal passion are not fit for doing political work. And in my opinion, unless he believes in truth and non-violence at any cost, he has no business to be a politician.
 Answering the third question, Mahatmaji said :
 Whilst all our leaders are conceiving and cooking all kinds of schemes, we, the rank and file, cannot do better than achieving the message of khadi to its fullest extent. It is not a small thing for you and me to take part in an effort to save sixty crores of rupees. You and I cannot pack the Councils, Assembly and Municipalities. Even if we would, we could not have all the qualifications. But every one of us is born with the qualification for khadi. It requires not much training except the training of the heart. By doing khadi work you will find that the power is descending upon you.
 The Hindu, 9-12-1927
 
 
 
 
 "
2,,ESSAY ON KHADI,"
  
 Readers will recall that essays in English were invited on the subject of khadi, in view of the prize announced by Shri Revashanker Jagjivanlibtech_4_footnotelibtech_5_footnote.    Accordingly,   the   essay    written    jointly    by    Professor Puntambekar and Shri Varadachari was awarded the prize. As this is well worth study, it has been translated [into Gujarati] for  the Jamnadas Bhagwandas Memorial Series. Shri Chhaganlal Joshi of the Satyagraha Ashram has done the translation and it has now been published. It is priced at Re. 1. The total number of pages is 260. The translation runs into 215 pages, the rest being appendices. All the apppendices are useful. The last appendix gives a short history of khadi in Gujarat; in other words, it shows where khadi was formerly produced in Gujarat and how that priceless industry came to be ruined. The language used in the translation is  simple.  Gujarati  readers will have no difficulty in understanding it. Those who wish to understand well the secret underlying the activity of spinning must positively go through this book.
 [From Gujarati]
 Navajivan, 4-12-1927
 "
3,,"SPEECH AT WOMEN’S
MEETING, BERHAMPURlibtech_6_footnote","
  
 Decembr 4, 1927
 SISTERS,
 You have presented two purses for the khadi work. I acknowledge your present with gratitude. You must not think that I consider some of you as Oriyas and some as Telugus. You should feel that all are Indians. Some say that they belong to Andhra and some say that they belong to Orissa. Let all of you belong to India. Let all of you share each other’s misery and happiness. Only thus can you become like Sita. Sita did not consider herself a citizen of Ayodhya. She always considered hereself as belonging to the whole of India. I am really glad that you have written this welcome address in the national language, that is, Hindi. Let all of you give up foreign saris. Let all of you use only khadi. There is no necessity for a woman to wear beautiful saris and ornaments. The only thing a woman needs is purity. Let all of you wear khadi. Let all of you be pure and truthful.
 
 You should not consider anyone as untouchable. In India, that is, Bharatvarsha, it is a great sin to consider anyone as an untouchable. For heaven’s sake do not commit that sin. Love those who are poor, diseased and hungry. Let all of you prove that you love them by spinning yarn on the charkha for at least half an hour every day. I appeal to those who have not contributed anything towards this Khadi Fund to contribute money or ornaments.
[From Oriya]
 The Samaj, 10-12-1927
 "
4,"December 4, 1927","SPEECH AT STUDENTS’ MEETING, BERHAMPUR","
  
 December 4, 1927
 PROFESSORS, STUDENTS AND BROTHERS,
 Our programme in this meeting will be unlike the programmes followed in other meetings. In our Satyagraha Ashram, for many years now, at 4.15 a.m. in the morning and at 7 p.m. in the evening, we hold congregational prayers. When the Ashramites go to other places this schedule is observed even there. Knowing that it is difficult to hold prayers at 7 p.m. in the evening regularly [during tours], we have ruled that prayer must be held at night before going to bed.
 On Friday, December 2, it was very late in the night when we entered into Ganjam district. I forgot to pray before going to bed due to heavy work. When I woke up in the dawn, I trembled in fear. I could see that I had committed a great mistake before the Lord. So we decided that anyone forgetting to offer prayers must do some kind of penance. We also decided that wherever we were, we must remember the name of Rama at least once in the evening. I was scheduled to come to this meeting at 7 p.m. and we were supposed to  pray together; but while coming the motor car from Chhatrapur I found that it was already 7 p.m. So I prayed by myself in the motor-car; but when we have decided on collective prayer, I beg you to pray here and now. Those students and others who have faith in prayer, let them pray with closed eyes. After the prayer, I will try to explain its utility. Those who are unwilling to pray, I request them to sit quietly.libtech_7_footnote
 
 As food is necessary for the body, prayer is necessary for the soul. A man may be able to do without food for a number of days,— as MacSwiney did for over 70 days—but believing in God,  man cannot, should not, live a moment without prayer. You will say that we see lots of people living without prayer. I dare say they do, but it is the existence of the brute which, for man, is worse than death. I have not the shadow of a doubt that the strife and quarrels with which our atmosphere is so full today are due to the absence of the spirit of true prayer. You will demur to the statement, I know, and contend that millions of Hindus, Mussalmans and Christians do offer their prayers. It is because I had thought you would raise this objection that I used the words ‘true prayers’. The fact is we have been offering  our  prayers with the lips but hardly ever with our hearts, and it is to escape,  if possible, the hypocrisy of the lip-prayer, that we in the Ashram repeat every evening the last verses of the second chapter of the Bhagavad Gita. The condition of the ‘Equable in Spirit’ that is described in those verses, if we contemplate them daily, is bound slowly to turn our hearts towards God. If you students would base your education on the true foundation of a pure character and pure heart there is nothing so helpful as to offer your prayers every day truly and religiously.
 The Samaj, 10-12-1927 and Young India, 15-12-1927
 "
5,"December 	5, 1927",TELEGRAM TO JAMNALAL BAJAJ,"
         BERHAMPUR, 
    JAMNALALJI 	BAJAJ, 	ASHRAM 	SABARMATI  December 	5, 1927 
  MOHANLAL	DID		MEET.	SENT	HIM	HOME	BEFORE 	WIRES	FROM	YOU	JAYADAYALJI. 
    Panchven 	Putrako Bapuke Ashirvad, p. 	68  BAPU "
6,"December 5, 1927",LETTER TO ASHRAM WOMEN,"
  
 
 
BERHAMPUR,
     SISTERS,  Silence Day [December 5, 1927]libtech_8_footnote "
7,"December 	5, 1927","LETTER TO MANILAL AND SUSHILA
GANDHI","
  	I got your letter written by Manibehn. I have very little time to 	write today. I am convinced that we should not permit jewels in the 	Ashram. As long as there is terrible starvation in our land it is a 	sin for us to keep or to put on a ring weighing even a grain. Our 	clothes must be just sufficient to cover our nakedness and to 	protect us against heat and cold. All of you should try to reach 	this ideal.  	I shall not write today about how the desire for ornaments arises. 	It looks as though you have also not understood my question 	properly. How 	is it that Lakshmibehn is ill? She never used to fall ill.  Blessings 	from  BAPU  From 	a photostat of the Gujarati: G.N. 3679       December 	5, 1927  CHI. 	MANILAL AND SUSHILA,  	I missed one mail this time. I could not  attend  to  things 	regularly while I was in Ceylon. There was plenty of travelling to 	do. When, however, I miss a mail you should not feel worried or 	followed my example. You will be free to miss a mail when both of  	you become as busy as I am if you have not learnt by then to get 	over my weaknesses. Truly speaking, however, a real heir is one who 	enhances the legacy he has inherited.  	Sushila is right when she says that in the realm of art there can be 	no distinction between indigenous and foreign, but her statement 	calls for some reflection. Lovers of art take a superficial view of 	art and use it as a cover for many weaknesses. We should, therefore, 	examine what we mean by art. Not everything which appeals to the eye 	is art. What is accepted as art by many expert may not be art. I 	have read conflicting opinions about many paintings and statues    
 expressed by art-critics who have become famous in the world. We should, therefore, think what art means. The book What Is Art? libtech_9_footnotehas been translated [into Gujarati]. Sushila should read it. If you cannot get it there, Please write to me.
 Devdas suffered very much during his illness. There is some affection in the nose. There was temperature again. He is better now. Ba has gone to stay with him. I am in Utkal today.
 Blessings from
 BAPU
 From a photostat of the Gujarati: G.N. 4731
 "
8,"December 6, 1927",SPEECH AT CHHATRAPURlibtech_10_footnote,"
  
 [On or before December 6, 1927]
 I am pining for a day when all this unhealthy competition between sister languages of India will have ceased. Why should we not love all of them equally, as a brother holding a number of sisters in the same affection? The result of the wretched competition has been that we forget our vernaculars and are jealous of others, and fondly believe that English would take the place of the common language of India, and even of the vernaculars. Indeed a suggestion had come to me to address the meeting here in English. Well, I take this as disaffection towards the daughter language of the motherland, and an unhealthy affection for a foreign tongue. Not that I hate English, but I love Hindi more. That is why I am beseeching the lettered classes of India to make Hindi their common language. It is through Hindi that we can get into touch with and promote the growth of  the  other vernaculrs of the provinces. If our intellects and hearts had not been atrophied owing to our having to learn through a foreign medium, there would be no reason why we should not all be knowing five or six vernaculars. And my remarks regarding the competition  betw-  een languages apply also to our narrow provincialism. It is that provi-
 
 ncialism that has prevented the full growth of nationalism in us. The golden rule for the promotion of nationalism is that the stronger should help and sacrifice for the weaker as much as is possible. And now you will understand the rationale of khadi, which is intended to promote a healthy nationalism, and which embraces within its fold the poor and the downtrodden.
 Young India, 15-12-1927
 "
9,"December 6, 1927",LETTER TO MAGANLAL GANDHI,"
  
 Tuesday [December 6, 1927]libtech_11_footnote
 CHI. MAGANLAL,
 I got your letter. I look forward to a letter from you on the due dates; if, however, I don’t get one, I understand. Your name is always on my lips. When it becomes necessary to say anything unpleasant like a note out of tune, even then it will, in fact, be perfectly in tune since it will be the truth and truth is always in tune. Do not, therefore, omit to tell me what you think I must be told. I did not receive the letters which you mention. Letters addressed to me do not generally get lost, but these ones at any rate did not reach me. I am sure many errors remain in My Experiments with Truth. I exercise great care but, when memory betrays me, to whom shall I complain about the misfortune? Please to not omit to draw my attention to any fact, whether important or unimportant.
 “So tenacious is life, it does not leave even now.”libtech_12_footnoteI  do  fear this. Mahadev, of course, sang the line for his own purpose. You may hear the history behind it when he narrates it to you. You have done very well in absorbing yourself in your present work.libtech_13_footnoteIt is also a good thing that you get an opportunity to visit the Ashram form time to time. Do continue to send your suggestions and criticisms. Give your very life in making a model village a really model one; men with real life will then come and live in it.
 Ba has gone there, that is, to live with Devdas. There is no time to write more.
 Blessings from
 BAPU
 From the Gujarati original: C.W. 7769. Courtesy: Radhabehn Chaudhri
 "
10,,DISTORTION OF TRUTH,"
  
 A correspondent has been endeavouring with the help of the head master of a high school to introduce the teaching of the Gita among its boys. But at a recent meeting convened to organize Gita readings a bank manager got up and disturbed the even tenor of the proceedings by saying that students had not the adhikara, ‘qualification’, for studying the Gita; it was not a play-thing to be placed before students. The correspondent sends me a  long  and argued letter about the incident and sends in support of his contention some apt saying from Ramakrishna Paramahamsa from which I cull the following :
 Boys and youths should be encouraged to seek God. They are like unpecked fruits, being totally untainted by worldly desires. Once such desires have entered their minds, it is very difficult to make them tread the path to salvation.
 Why do I love young men so much? Because they are masters of the whole (16 annas) of their minds which get divided and sub-divided as they grow up. One half of the mind of a married man goes to his wife. When a child is born it takes away one-fourth (four annas), and the remaining one-fourth (four annas) is scattered over parents, wordly honours, dress, etc. Therefore a young mind can easily know God. It is very difficult for old people to do so.
 The parrot cannot be taught to sing if the membrane of its throat becomes hardened with age. It must be taught while it is young. Similarly, in old age it  is difficult for the mind to be fixed on God. It can be easily done so in youth.
 If a seer of adulterated milk contains a chhatank (sixteenth part of a seer) of water, it can be thickened into kshira (condensed milk) with very little labour and consumption of fuel. But should there be three paos (quarter seer) of water in a seer, the milk cannot be easily thickened and a large consumption of fuel will be required. A young mind, being but slightly adulterated with worldly desires, can be easily turned towards God; this cannot be done with the minds of old people which are highly adulterated with such desires.
 The tender bamboo can be easily bent, but the full-grown bamboo breaks when an attempt is made to bend it. It is easy to bend young hearts towards God, but the heart of the old escapes the hold when so drawn.
 The human mind is like a package of mustard seed. As it is very difficult to gather the seeds that escape out of a torn package and are scattered in all directions, so when the human mind runs in diverse directions and is occupied with many worldly things, it is not a very easy task to collect and concentrate
 it. The mind of a youth, not running in diverse directions, can be easily fixed on anything; but the mind of an old man being totally occupied with worldly things, it is very hard for him to draw it away from them and fix it on God.
I have heard of adhikara in connection with the Vedas, but I
 never knew that the Gita required the qualifications that the bank manager had in mind. It would have been better if he had stated the nature of the qualifications he required. The Gita clearly states that it is meant for all but scoffers. If Hindu students may not read the Gita they may not read any religious works at all. Indeed the original conception in Hinduism is that the student life is the life of a brahmachari who should begin it with a knowledge of religion coupled with practice so that he may digest what he learns and weave religious conduct into his life. The student of old began to live his religion before he knew what it was, and this conduct was followed by due enlightenment, so that he might know the reason for the conduct prescribed for him.
 Adhikara then there certainly was. But it was the adhikara of right conduct known as the five yamas or cardinal restraints—ahimsa (innocence), satya (truth), asteya (non-stealing), aparigraha (non- possession), and brahmacharya (celibacy). These were the rules that had to be observed by anybody who wished to study religion. He may not go to religious books for proving the necessity of these fundamentals of religion.
 But today the word adhikara like many such potent words has suffered distortion, and a dissolute man, simply because he is called Brahmin, has adhikara to read and expound Shastras to us, whereas a man, if he is labelled an untouchable because of his birth in  a  particular state, no matter how virtuous he may be, may not read them.
 But the author of the Mahabharata of which the Gita is a part wrote his great work for the purpose of meeting this insane objection, and made it accessible to all irrespective of the so-called caste, provided, I presume, that he complied with the observances I have described: I add the qualifying expression “I presume” for, at the time of writing, I do not recall the observance of the yamas as a condition precedent to a person studying the Mahabharata. Experience however shows that the purity of heart and the devotional frame of mind are necessary for a proper understanding of religious books.
 The printing age has broken down all barriers and scoffers read
 religious books with the same freedom (if not greater) that the religiously-minded have. But we are here discussing the propriety of students reading the Gita as per of religious instruction and devotional exercise. Here I cannot imagine any class of persons more amenable to the restraints and thus more fitted  than  students  for  such instruction. Unfortunately, it is to be admitted that neither the students nor the instructors in the majority of cases think anything of the real adhikara of the five restraints.
 Young India, 8-12-1927
 "
