chapter_no,date,title,content
1,"November 16, 1932","1. STATEMENT ON
UNTOUCHABILITYlibtech_1_footnotelibtech_2_footnote-VII","
       POONA, 
  November 16, 1932 Though the questions that I shall 	endeavour to answer in this statement have been more or less covered 	by the previous statements, as 	they continue to recur, I thought it would be well to collect as 	many  	as possible and to deal with them in one single statement. “Are 	you not forcing people to do things against their will?” is one 	such quest- ion. At least, such is not my intention.  	The contemplated fastlibtech_3_footnoteis 	intended  to  stengthen  the  weak,  to energize the sluggards and 	to give faith to the sceptics.  	It should be clear to anyone who will give a little thought to it 	that those who are hostile to the reform will not only be unaffected 	by the fast, but will probably and perhaps rightly, from their own 	standpoint, welcome it, if only it ends fatally. An angry 	correspondent does not hesitate to say it in so many words, but says 	another correspondent, “it is all very well for you to say, you do 	not intend to do such and such a thing. There are many orthodox 	people who will follow the multitude for fear of personal injury 	from your over-zealous followers.”  	An argument like this can be advanced under almost any con- ceivable 	circumstance. I have led many movements in my lifetime where there 	has been no fast necessary, but the charge I am now answering has 	been brought against me often enough, in order to turn me away from 	my purpose.  	Whatever the intended consequences of the contemplated fast may be, 	apart from its being a question of honour, it must be taken up, if 	the occasion arises, for the additional reason that it is certain to 	stir to worthy effort tens of thousands of people who have faith in 	me. Such must be the case in every movement of a religious 	character. The 	second question is:     
 Are you not setting one section of the Hindus against another?
 Most emphatically not. Some opposition is inevitable in every reform. But up to a point. Opposition and agitation in a society are a sign of healthy growth. I have no fear whatsoever of a permanent cleavage between the sanatanists and the reformers. Far be it from me either to underrate the sanatanist opposition or to disregard their senti- ment. I have no doubt whatsoever that some of them feel strongly that sanatan dharma is in danger. Nevertheless it is astonishing how narrow at least in theory is the difference between the sanatanist and the reformer.
 Almost every letter that I have received from the sanatanists makes these startling admissions:
 1. We admit that there is much to be done for the amelioration of the condition of the Harijans; 2. we admit that many caste Hindus are ill-treating the Harijans; 3. we admit that their children should receive education and that they should have better quarters to live in;
  we 	admit that they should 	have proper arrangement for 	bathing and 	drawing water for 	them-selves; 5. 	we admit that 	they should have 	full political 	rights; 6. we admit 	that they should 	have ample 	facilities for worship 	and 7. 	we admit that 	they should have 	all the civic rights 	that the others have. 
 But, say these sanatanists, “we must not be compelled to touch them or associate with them, especially whilst they are in their present condition.”
 Then I say to them, since you admit the necessity for putting them on the same level with you, why are you agitated that other caste Hindus will go a step further and believe on strength of the same Shastras that you believe in, that is, their duty is not to regard the Harijans as untouchables, but to have them share with themselves all those rights and privileges which you concede to them, but which you would have them to enjoy and exercise in isolation from you? Surely you who want to guard your own liberty of action and rightly resent the very idea of coercion, will not desire that the reformers should be coerced into carrying out schemes of amelioration which you hold to be necessary in exactly the same manner as you would like.
 I venture to suggest a better way. Since you are at one with the reformers in conceding the desirability of ameliorating the condition of the Harijans and since you have not hitherto done anything  tangible in that direction, subscribe liberally to the funds that the
 reformers are collecting, and use them as your agents for carrying out the common scheme and respect their interpretation  of  Hindu religion, as you would have them to respect yours. Hitherto, in pra- ctice, you have not resented the reformer’s action in associating with the Harijans. You have suffered him to go his own way. You have not boycotted him. There is, then, no meaning in your opposition now simply because the movement has become more active and more universal than before.
 One difficulty is still standing in the way. Who is to have the use of public temples and other public institutions that are in existence, and from which Harijans are at present debarred, in some cases legally and in other far more numerous cases, illegally? There is a very  simple way out of the difficulty. If only each party will shed anger and mutual disrespect, a referendum can easily be taken for each village or a group of villages and each city or each division of a city, and whichever party has the majority in favour of its view should make use of the public institutions, including the temples. And if the sanatanists carry the majority with them, they should  defray  their share with the reformers of the cost of providing equal services for the reformers and the untouchables.
 I bracket the reformers with the Harijans, for if they are worth their salt and will work up to their convictions, as time progresses, the duty must dawn upon them of denying to themselves the use of a single service which the Harijans cannot enjoy with the caste Hindus on absolutely equal terms.
 Following out this train of reasoning the sanatanists will see that in justice they should bear the whole cost of bringing into being parallel services, because as I have understood the correspondence and as I have explained above, the sanatanists agree that the Harijans are entitled to the same services that they have hitherto enjoyed, and of which the Harijans have hitherto been deprived. Let not the sanatanists run away with themselves by picturing a condition of  things  as existing but which in reality does not exist.
 Let them clearly understand that the removal of untouchability in accordance with the Yeravda Pactlibtech_4_footnote, and with the declaration of the
 
 recently formed All-India Anti-Untouchability League includes no more than I have narrated. It does not include inter-dining and inter- marriage. That many Hindus including myself would go muchfurther ought not to disturb the sanatanists. They will not want to stifle private judgment or private action, and if they have deep faith in what they believe, they should not take fright, in anticipation of what is to come. If a particular reform has an inherent vitality and has  come  in response to the needs of the time, no power on earth can stem its irresistible march.
The third question is:
 Are you not retarding political emancipation by forcing on public attention your views on social and religious questions, and springing upon the public a hurricane agitation for their acceptance?
 I cannot answer this question at length without trespassing upon the limits which, as a prisoner, I have accepted for conducting the anti-untouchability campaign. But this much I can say that those who know me at all should understand that I draw no hard and fast line of demarcation between political, social, religious and other questions. I have always held that they are inter-dependent and that the solution of one brings nearer the solution of the rest. This does not exhaust the questions which I have collected from the correspondence which is already proving more than I can handle with the very limited  assistance which only naturally I can have. I must deal with the rest to the best of my ability in the statementlibtech_5_footnotelibtech_6_footnoteto follow.
 I would here like to urge the correspondents to be merciful. Hitherto, I have punctiliously acknowledged almost all the letters that have reached me. But the correspondents will henceforth please be satisfied with whatever answers I can give through the series of statements I am issuing, and they will help themselves and me, if they will be brief and write only when they have something original to say or when they have questions to which they must have answers from me, before they can form their judgment on any issue arising in connection with the movement.
 The Bombay Chronicle, 17-11-1932
 
 
 "
2,"November 16, 1932",FOREWORD TO “HAMARA KALANK”,"
    
 November 16, 1932
 This venture of Sasta Sahitya Mandal is laudable. As there is such a rigorous movement afoot for the eradication of untouchability, everyone  must,  as  a  matter  of  course,  know  what  is  being  done in this direction and how. We want, through enlightenment, to do away with this sin. It is, therefore, essential for the Hindu public  to  re- alize the implications of untouchability and our duty in this matter.
 MOHANDAS GANDHI
 [From Hindi]
 Hamara Kalank
 "
3,"November 	16, 1932",TELEGRAM TO JAMNALAL BAJAJ,"
          POONA, 
    SHETH 	JAMNALAL 	BAJAJ 	PRISONER  DISTRICT 	JAIL 	DHULIA  November 	16, 1932 
  WIRE	RECEIVED.	KEEP	ME	INFORMEDlibtech_7_footnote	IF	NECESSARY	DAILY 	BY WIRE . 
   Panchven 	Putrako Bapuke Ashirvad, p. 98  BAPU "
4,"November 	16, 1932",LETTER TO S. M. MICHAELlibtech_8_footnote,"
         November 	16, 1932  	I do not claim ability to give satisfaction to anybody. I can only 	try. Sjt. Kelappan’s fast was without notice and therefore began 	with an initial flaw. That will not apply to the contemplated fast. 	If the temple is opened to the Harijans it will not be due in fact 	to any coercion used against the trustees, but it will be opened 	because of the irresistible demand of the temple-goers who are the 	real owners. Take the converse case. If  the   temple-goers  are   	not  converted,  can   any     
 pressure brought to bear on the trustees ever result in the admission of Harijans to the temple?
 Mahadevbhaini Diary, Vol. II, p. 251
 
 "
5,"November 16, 1932","LETTER TO K.
NATARAJANlibtech_9_footnote","
    
 November 16, 1932 I have both your letters. I am delighted that the doctor has got a suitable job in Delhi. Your second letter is an appeal to reason, and
rightly so. But there are two difficulties about appeals to reason in a
 case like mine. In the first place, though the reasoning may  be perfectly sound, it may not be based on the same premises, and there- fore may fail to carry conviction. Secondly, as you yourself have justly remarked, a case like mine transcends reason. Nevertheless I have always desired in such cases to compare notes with kindred spirits. For I do believe that with fallible human beings there is no such thing as absolute surety, even about promptings of the inner voice. God requires the purest instruments to speak through, but poor mortals can only make an approach to perfection. And whilst they are confined in their bodies, they can never attain perfection. What I therefore want is with the utmost freedom to discuss with you whatever has been actuating me in the hope that either you will see my  viewpoint and find perfect justification for my action, or some argu- ment or a word coming from you may discover to me a flaw that might have escaped me. I confess however I have no doubt in my mind about the ethics of the proposed fast. I am therefore suffering from no mental disturbance and therefore I do not want you to hasten back to Bombay. Do carry out all your private and public program- mes in the North and when in due course you come back to Bombay I would like you when you can spare a few hours to run up to Poona to have a brief interchange of views.
 Mahadevbhaini Diary, Vol. II, pp. 248-9
 
 
 
 
 "
6,"November 16, 1932",LETTER TO CHAMAN KAVI,"
    
 November 16, 1932 If, on the one hand, hundreds of self-seeking men have misused mosques, temples and churches, on the other, millions have made
good use of them. If you wish to test the truth of this statement, use
 your wonderful gift of imagination and suppose that a reformer razes to the ground in a single day all the churches, temples and mosques. Then picture to yourself the condition of those millions of simple good souls when they discover that the temples and mosques from which they daily derived consolation and support were no more. I see the truth of this every day. Devotees who visit even the most unholy temples with pure heart certainly feel the presence of God in those temples, so wonderful is the mystery of His Nature, or say His maya. But some great bhakta was inspired and sang: “Maya casts a spell on all, but she is helpless before a God-lover”. If, therefore, you realize through your imagination that so long as temples exist they should be open for Harijans too, your own reason will convince you of the necessity of the fast. My fast is not aimed against the sanatanists; it is aimed against the thousands or rather the millions who are bound to me [by the tie of love]. If the fast shocks them out of their slumber, the temples are bound to be thrown open to Harijans.
 I have infinite patience as regards the spinning-wheel. Your experience of villages is limited to Kutch. But conditions in the thousands of other villages are far different from those in the villages of Kutch. And even in Kutch no cloth can be cheaper than what is produced by the cultivator with his own labour from cotton growing in his own fields. If there is any such cloth, you may say that it is a shroud rather than cloth which protects the weaver against cold and heat or covers his shame. Suppose somebody offers me, instead of water, a poisonous liquid which looks like water, gives it free and even offers to me the glass which contains it as a gift, and another person offers real water but pours it from his jug into my folded palms and asks four pice for the service, whose offer should I accept? You are impatient, your mind is very much unsteady and your  faith is short-lived. That is why you get irritated every now and then. But this is not your true nature. It is a disease in you. Get rid of it, Your truenature is capable of patience and iron firmness of mind. One need not put faith in anything too readily, but once we have put faith in a thing after the most careful thought, we must cling to it as tenaciously
 as does a black ant to a jar of jaggery. “Better lose one’s life rather than break one’s plighted word.” I think I have written enough now.
[From Gujarati]
 Mahadevbhaini Diary, Vol. II, pp. 250-1
 "
7,"November 16, 1932",LETTER TO NARASINHRAO B. DIVATIAlibtech_10_footnote,"
    
 November 16, 1932
 SUJNA BHAISHRI,
 I hope I did not worry you by writing to you. If a beggar hides his begging bowl, his cause would be lost. Though you are advanced in age, I can put no limit to your capacity. Will you kindly send me the names of other persons whom you think I can approach for help?
 Vandemataram from
 MOHANDAS
[From Gujarati]
 Narasinhraoni Rojnishi, p. 548
 "
8,"November 16, 1932",A LETTER,"
    
 November 16, 1932
 I got your letter. I felt unhappy to see you unhappy. I can un- derstand your anger. I know that you have suffered beyond limit. Still, I do not repent the advice which I gave to you and to others. Suffering undergone voluntarily for a good cause is not known to have harmed anybody in the world. Having to bear suffering is not an evil. But in your present condition of mind I shall not be able to explain anything to you. May God give you peace of mind and bless you. I will welcome your letters written even in anger. What do you do in Bulsar?
[From Gujarati]
 Mahadevbhaini Diary, Vol. II, p. 247
 
 
 
 
 
 "
9,"November 	17, 1932",STATEMENT ON UNTOUCHABILITY-VIII,"
    
 
 
POONA
  November 	17, 1932 Here 	is another question that many correspondents have asked:  You 	say you believe in the Shastras. We do not understand what you mean 	by them, for you seem arbitrarily to reject many things which are 	supported by the Shastras. Even the Gita 	that you swear by 	requires one to follow the Shastras. I 	must repeat what I have said in a previous statementlibtech_11_footnotelibtech_12_footnotethat 	for  	me, nothing that is inconsistent with the main theme of the Gita 	is Shastra, no matter where it is found printed. If I do not 	shock my orthodox friends, I would like to make my meaning clearer 	still. Nothing that is inconsistent with the universally accepted 	first prin- ciples of morality has for me the authority of the 	Shastras. They are designed not to supersede, but to sustain the 	first principles, and the Gita is all-sufficing for me, 	because it not only conforms to the first principles, but gives you 	reasons for adherence to them at any cost. But for this Golden Rule 	that I have suggested, laymen like me would flounder in the midst of 	a forest of conflicting texts and a pile of nicely printed and 	equally nicely bound Sanskrit volumes, for which rival pundits claim 	divine authority.  	Thus, there are many Smritis, some of which are unknown 	outside the little areas in which, by a few hundred men they are 	held in veneration. No one can give their origin or the dates of 	their com- position. I saw one such volume in the South. When I 	inquired of the learned scholar friends about this volume, they told 	me that they had no knowledge of it.  	There are numerous  Agamaslibtech_13_footnotewhich when examined, contradict one another and which 	have no binding effect outside the little areas where they find 	acceptance.  	If all these books were to be held as binding on the Hindus, there 	is hardly an immoral practice for which it would be difficult to 	find Shastric sanction, and even in the hoary Manusmriti from 	which if the verses of doubtful authenticity are not expurgated, one 	would discover several texts contradicting the loftiest morals and 	teachingsto     
 be found spread throughout that great book. Therefore the meaning I have given to the word ‘Shastras’ in the Bhagavad Gita, wherein it occurs only in one context, is not any book or set of laws outside the Gita itself, but it means right conduct embodied in a living authority.
 I know that this is not likely to satisfy the critic, and as a layman I can give no lead to anybody, but I can satisfy the curiosity of my critics by telling them what I mean exactly by the Shastras.
Another question put with equal persistence is this:
 What do you mean by divine guidance or the inner voice, and how would you and for that matter the world, fare, if every one claimed such guidance for himself and each acted in a manner wholly different from his neighbours?
This is a fair question, and we would come to a pretty pass if
 divinity had made no provision by way of self-protection. Whilst, therefore, all may lay the claim, some alone will be able to justify it. A person falsely claiming to act under divine inspiration or the promptings of the inner voice without having any such, will fare worse than the one falsely claiming to act under the authority of an earthly sovereign. Whereas the latter on being exposed will escape with injury to his body the former may perish body and soul together.
 Charitable critics impute no fraud to me, but suggest that I am highly likely to be acting under some hallucination. The result for me, even then, will not be far different from what it would be, if I was laying a false claim. A humble seeker that I claim to be has need to be most cautious and to preserve the balance of mind. He has to reduce himself to zero before God will guide him. Let me not labour this point.
 The claim I have made is neither extraordinary, nor exclusive. God will rule the lives of all those who will surrender themselves with- out reservation to Him. In the language of the Gita, God acts through those who have acquired complete detachment, i.e., self- effacement here.
 There is no question of hallucination. I have stated a simple sci- entific truth, thus to be tested by all who have the will and the patience to acquire the necessary qualifications which are again incredibly simple to understand and easy enough to acquire where there is deter- mination.
 Lastly, no one need worry about my claim. What I am asking the people to do is capable of being verified by reason. Even when
 I disappear from the scene, untouchability will have to be removed. Whether the fast is divinely inspired or not, need not be a matter of concern even to my closest associates. They may, out of affection for me, work with double zeal in the cause. That would [not] be a  calamity, even if it was found that the fast was the foolish act of a self-willed friend. Those who have neither affection for, nor faith in, me will remain unmoved by it. Constant harping, therefore, on the contemplated fast or my claim in regard thereto, is calculated to befog the public mind and the attention from the great work before the nation.
 I would therefore conclude this statement by drawing the readers’ attention to a few pictures that I have picked up from the voluminous correspondence in my possession.
 Here is one from Vile Parle, suburb of Bombay, inhabited by well-to-do Hindus among others. The suburb has in round figures, 1,700 villas or houses; the Municipality has an income of Rs. 70,000 of which Rs. 31,000 are spent for conservancy. The scavengers are accommodated in quarters where there are no roads, no arrangement for water-supply and no sanitary convenience. The land itself is low-lying, the huts are hovels constructed from dilapidated tins which were once used for conservancy work. There is no lighting,  and nearby is the dumping ground for all the suburban rubbish which gives an eternal stench. Next to it is a structure for housing con- servancy; attached to this is a water-pipe for washing dirty tins, and if the overseer is well disposed he would allow the scavengers to help themselves to water from the pipe; on the other side, is a row of carts that receive the buckets collected from the privies of households. It is in these surroundings that the scavengers have to pass their life. These quarters are surrounded by fields which are often under water, bree- ding mosquitoes, harbouring scorpions, snakes, field-rats. Thirty- one families live in this condition, they are composed of 35 men, 25 women, 34 boys and 15 girls.
 Of this population of 109, only 9 boys can at all read and write with difficulty. The rest are utterly illiterate. This is a suburb where if the inhabitants, if they had any thought for these fellow-beings of theirs, could well afford to provide for them decent accommodation in decent quarters with lighting and water and other conveniences which are part of city life. There is work here for both the sanatanists and the reformers. It would be no answer to my complaint that the Vile Parle
 Municipality has an income of only Rs. 70,000 out of which it spends the princely sum of Rs. 31,000 on conservancy. I know that the inhabitants of Vile Parle are well-to-do enough to tax themselves specially on behalf of these useful servants of society. But I would regard that as a slow process. It is the primary duty of the Hindu habitants to make decent collections overnight and provide suitable quarters and other conveniences for the scavengers. If they did so, even then it would be a tardy performance of a simple duty done to fellowmen. When they have done this, there would be a point in their moving the Municipality to take up the burden of additional annual expenditure that would undoubtedly have to be incurred in order to enable the scavengers to live in comparative comfort.
 An almost identical picture has been drawn by Sjt. A.  V. Thakkar, the tireless Secretary of the All-India [Anti-] Untouchability League, of scavengers’ quarters he has inspected during his travels undertaken on behalf of the League. He gives a harrowing tale about the condition of such quarters in Danapur and other places about Patna in Bihar. Now I wish that instead of engaging in fruitless contro- versy about what is not contained in the Shastras about untouchability, everyone of us would apply ourselves to ameliorating the conditions of the so-called untouchables. There is work enough and to spare for all my learned correspondents who almost without exception have assured me that they yield to no one in their desire to better their material and moral conditions.
 The Bombay Chronicle, 18-11-1932
 "
10,"November 	17, 1932",LETTER TO MIRABEHN,"
        CHI. 	MIRA,libtech_14_footnote         November 	17, 1932 
  	Not that I cannot use the right hand but it is better to use the 	left. I have begun this before the morning prayer just making use of 	the odd minutes before the little family gathers together. You 	should not be surprised if you find my letters shorter than usual. 	The Harijan work has become too heavy to allow of anything else 	being done. The mere reading of the voluminous correspondence takes 	over two hours. The (here comes Mahadev) (I resume after the prayer) 	interviews take    
 from two to three hours. Therefore I must reduce the other work. Since the doctors here are firmly of opinion that the elbows have nothing wrong about them except that they require rest from the spinning motion, I have cut off the wheel altogether and just do the takli forabout half an hour. The takli requires the use of other muscles. This compulsory saving of time has come when it was just wanted. (There was another interruption here for the drink and fruit, dressing and eating.)
 I do not mind your omission of salt. Take it again when the benefit of abstention has been exhausted. I do not know if juwari or bajri chapati will suit you. Is there no prison-ground whole-wheat meal? Anyway one juwari or bajri chapati ought not to do you any harm at all. But you will fare all right by taking dried and fresh fruit liberally.
Kisanlibtech_15_footnotelibtech_16_footnotemust attend to her eyes and become strong and well.
 For me I have still progress to report. Another increase of 1_ lb. total 103_ lb. ! This is due to a dietetic discovery as I imagine. It syn- chronizes with the untouchability work. But the latter has little to do with the increase. I am taking nearly an ounce of fresh, dried milk. This is called mavolibtech_17_footnotelibtech_18_footnotein Marathi and Gujarati. You evaporate the water. It should prove heavy. But for me it seems to have come as a godsend. It is too late to pronounce upon its efficacy. That the present increase is due to it, there is no doubt.
 What you say about Amir Ali’s introduction is too true. He is safe when he talks of Islam itself.
 Ba is still at the Ashram. There has been the usual crop of sicknesses there. Kusum Gandhi is rather bad, fever won’t leave her.
We are all well and send you both a cartload of love.
   [PS.]  BAPU   It is 	now after 5.30 a.m. I must now go to the ‘library’ and then 
 to 	the walk till the goats come, i.e., about 6.30.    From 	the original: C.W. 6250. Courtesy: Mirabehn. Also G.N. 9717         
 
 
 
 
 
 DEAR COL. DOYLE,"
