chapter_no,date,title,content
1,,¬˝ÊÃ— S◊⁄ÊÁ◊ qÁŒ ‚¢S» È⁄ŒÊà◊Ãûfl◊˜˜,"
 Early in the morning I call to mind that Being which is felt in the heart, which is sat (the eternal), chit (knowledge) and sukham (bliss), which is the state reached by perfect men and which is the super-state. I am that immaculate Brahma which ever notes the states of dream, wakefulness and deep sleep, not this body, the compound made of the elements—earth, water, space, light and air.
 2"
2,,"¬˝ÊÃèÊ¸¡ÊÁ◊
◊Ÿ‚Êflø‚Ê◊ªêÿ◊˜","
 In the early morning I worship Him who is beyond the reach of thought and speech and yet by whose grace all speech is possible. I worship Him whom the Vedas describe as neti neti (not this, not this). Him they, the sages, have called God of gods, the unborn, the unfallen, the source of all.
 7-5-1930
 
 
 In 1934 George Allen & Unwin Ltd. brought out an adaptation of the work by John S. Hoyland. (For Gandhiji’s permission for its publication, vide “Letter to J. S. Hoyland”, 15-12-1933.) But in order to make the poems acceptable to English readers, Hoyland omitted a great deal, “chiefly Indian names and symbolism” but also much else so that at places it is difficult to recognize the original in the adaptation. See for instance Gandhiji’s translation of verse 8 and Hoyland’s adaptation of it (p. 388).
 The version reproduced here is taken from a photostat of the original work in Gandhiji’s hand (C. W. 4903).
 3"
3,,¬˝ÊÃŸ¸◊ÊÁ◊ Ã◊‚— ¬⁄◊∑ ¸flÁÊ¸◊˜,"
 In the early morning I bow to Him who is beyond darkness, who is like the sun, who is perfect, ancient, called Purushottama, (the best among men) and in whom (through the veil of darkness) we fancy the whole universe as appearing even as (in darkness) we imagine a rope to be a snake.
 8-5-1930
 4"
4,,"‚◊Èº˝fl‚Ÿ
 ŒÁfl ¬fl¸ÃSÃŸ◊Á«‹ –","
 O! Goddess Earth with the ocean for thy garment, mountains for thy breasts, thou consort of Vishnu (the Preserver), I bow to thee; forgive the touch of my feet.
 NOTE. Bowing to the earth, we learn to be humble as the earth which supports the beings that tread upon it. Earth therefore is rightly the consort of the Preserver.
 9-5-1930
 5"
5,,"ÿÊ ∑ ãŒãŒÈÃÈcÊ⁄„Ê⁄äÊfl‹Ê ÿÊ
‡ÊÈèÊ˝flSòÊÊflÎÃÊ","
 May the Goddess Saraswati (of learning), the destroyer com- pletely of black ignorance, protect me. She who is white as the mogra flower or the moon and a garland of snow, who has worn white robes, whose hands are adorned with the beautiful bamboo of her veena (a kind of violin), who is seated on a white lotus and who is always adored by Brahma, Vishnu, Siva and the other gods.
 10-5-1930
 6"
6,,"flRÃÈá«
◊„Ê∑ Êÿ ‚Íÿ¸∑ ÊÁ≈‚◊¬˝èÊ –","
 O God with a curved mouth, big body, refulgent like ten million suns, keep me ever free from harm whilst doing beneficent acts.
 NOTE. This is addressed to God represented by the mystic letter ‘ ˙’ pronounced ‘Om’. Mark its curved mouth and big   body.  Its mystic splendour has been sung by the Upanishads.
 11-5-1930
 7"
7,,ªÈL ’¸sÊ ªÈL ÁflcáÊÈªÈ¸L Œ¸flÊ ◊„‡fl⁄—,"
 Guru (teacher) is Brahma, he is Vishnu, he  is  Mahadev,  he  is  the geat Brahman itself. I bow to that guru.
 NOTE. This refers of course to the spiritual teacher. This is not a mechanical or artificial relationship. The teacher is not all these in reality but he is all that to the disciple who finds his full satisfaction in him and imputes perfection to him who gave him a living faith in a living God. Such a guru is a rarity, at least nowadays. The best thing is to think of God Himself as one’s Guru or await the Light in faith.
 12-5-1930
 8"
8,,"[≥ÊÊãÃÊ∑ Ê⁄¢ èÊÈ¡ª≥ÊÿŸ¢ ¬kŸÊèÊ¢
‚È⁄≥Ê◊˜]","
 I bow to Vishnu, who is peace incarnate, who lies on a snaky bed, from whose navel grows the lotus, who is the supreme lord of the gods, who sustains the universe, who is like unto the sky, who has the colour of clouds, whose body is blissful, who is the lord of Lakshmi (goddess of good fortune), who has lotus-like eyes, who is knowable by the yogis through meditation, who dispels the fear of the wheel of birth and death and who is the sole Ruler of all the worlds.libtech_248_footnote
 13-5-1930
 9"
9,,"[∑
⁄ø⁄áÊ∑ ÎÃ¢ flÊÄ∑ Êÿ¡¢ ∑ ◊¸¡¢ flÊ]","
 Forgive, O merciful and blessed Mahadev, all those sins of mine, of commission or omission, mental or actual and whether done
 
 
 The universe is stayed in place by Thee;
 To those who seek Thee Thou dost show Thyself; Known in the heart’s most secret meditation: Thou drivest far the fear of death, the fear of life: And Thou, Thou only,
 Commandest by Thy sovereign sway all worlds; To Thee I bow, O Saviour-God.
 through the hands or the feet, the speech, the ears or the eyes. Let Thy will be done.
 14-5-1930
 10"
10,,"[Ÿàfl„¢
∑ Ê◊ÿ ⁄ÊÖÿ¢ Ÿ Sflª¸ ŸÊ¬ÈŸèÊ¸fl◊˜]","
 I desire neither earthly kingdom nor paradise, no, not even release from birth and death. I desire only the release of afflicted life from misery.
 15-5-1930
 11"
