chapter_no,date,title,content
1,"January 	16, 1929",TELEGRAM TO MIRABEHN,"
           MIRABEHN        January 	16, 1929 
  CARE 	KHADI 	BHANDAR 	MUZAFFARPUR  WROTE	FULLY	YESTERDAYlibtech_1_footnote.	NOT	LEAVING	TILL 	THIRTYFIRST.		LOVE. "
2,"January 16, 1929",LETTER TO NARANDAS GANDHI,"
     From 	the original: C.W. 5331. Courtesy: Mirabehn; also G.N. 9386        BAPU 
           CHI. 	NARANDAS,  SATYAGRAHA 	ASHRAM, SABARMATI,  Wednesday [On or before January 16, 1929]libtech_2_footnote 
  	You seem to have been hurt. I would have been happy to respect your 	wishes in regard to Chi. Santoklibtech_3_footnote, but I did not approve of your plan. For the manner of 	living of the mother and the daughters is so expensive that they 	would always have been a cause of discontent in the Ashram. Santok 	never liked the common kitchen, nor the inmates of the Ashram.  	About the khadi training section, I have already stated my view that 	neither suggestions can be supported. I see nothing wrong in the 	view that the Ashram and not an individual should have the agency. I 	shall decide finally on the 18th at the latest. I want you to take 	interest in all activities and participate in them. Trust 	Chhaganlal. He is a sincere and hard-working man. Do not mind his 	errors, but consider his motive.  	About Sannabhai, I have simply said that Chhaganlal Joshi’s 	decision should be final. For no one of whom the secretary does not 	approve should remain.       
 You may write to me anything you wish to. If you can come over for the 18th, do so. If you think that both of you should come, do that. If you do not, I shall reach the decision which seems best to me.
 Blessings from
 BAPU
 [From Gujarati]
 Bapuna Patro–9: Shri Narandas Gandhine—Part I, p. libtech_4_footnote7
  "
3,,AMERICAN PATRIOTISM,"
  
 Sjt. C. V. Rangam Chetty writes:
 Rev. . . . is the head of the American Mission Schools at . . . He deputed Mr. . . . , who was an Indian teacher in the Mission School at . . . and who knows mechanism, to go to . . . and bring materials for his motor-car. Mr. . . . purchased German material which is cheaper and better than the American. Rev.       refused to touch it and said that he would not like to pay
 his money so far as possible to any nation except America. Mr.	then sold
 the material to a Brahmin  gentleman at	and purchased American material.
 Mr.	who was indifferent to my repeated requests to wear khaddar has now
 come forward to confess his folly and has resolved to wear khaddar in future after this incident. I hope our educated and rich countrymen will take a lesson from the American and set an example to others.
 I have purposely omitted names and places as they are not germane to my theme. The point is quite clear. Whether the Reverend gentleman referred to did not overstep the limit of patriotism is not the point to be examined. The lesson Sjt. Rangam Chetty wishes to draw from the incident is quite legitimate. We, in our country, are in honour bound to prefer handspun khaddar to foreign cloth, no matter how inconvenient it may be to us. It is flimsy philosophy that teaches us to go to the cheapest market irrespective of what happens therethrough to our next-door neighbours. Free donations of fine wheat from Australia or America will be poison to us, if that meant a workless India with her soil growing weeds instead of golden grain. Similarly a free gift of cloth from Manchester would be too costly a bargain for India to accept. I repeat, therefore, that khaddar is cheap at any price so long as it serves to utilize the idle hours of the nation and there is nothing else immediately in view to occupy them as usefully.
 Young India, 17-1-1929
  "
4,,THEN AND NOW,"
  
 Some   critics   of   the   constructive   resolutionlibtech_5_footnotelibtech_6_footnotepassed   by   the Congress think that it is something new sprung by me upon a Cong- ress that was eager for a vigorous, forward policy. In the first place I claim no originality for my resolution, for, it closely follows the pres- idential address. In the second, it is identical with the now much lauded programme of 1920-21,libtech_7_footnotelibtech_8_footnotewith certain desirable addi-tions. In 1921, as now, we had prohibition with picketing, we had kha-ddar and boycott of foreign cloth with the burning demonstrati-ons and we had untouchability campaign and Hindu-Muslim unity. The present pro- gramme adds the amelioration of the status ofwomen and removal of kindred social abuses. It also adds village reconstru-ction and organization of city labour—surely, items that must find place in any constructive programme for the attainment of swaraj.
 Is there not excitement enough in the programme, if Congres- smen are serious about it? Picketing of liquor shops, foreign cloth shops and collection and burning of foreign  cloth  are  exciting enough for any worker and are enough to evoke all the resource fuln- ess that the best workers may be capable of.
 What, indeed, we have not in my resolution of the programme of 1920-21 is the boycott of legislatures, law-courts and educational institutions and titles. Nothing would please me better than to find these institutions that sustain the Government abandoned  by  the nation or at least Congressmen. I know that then we should have swaraj and, what is perhaps more, we should have less corruption in the Congress than we now have. But that time is not yet. Congressmen assist legislatures, law-courts and schools as much as any other, and perhaps during this year when the Congress works for the attainment of a constitution in accordance with the Nehru Report it must function through the legislatures. In any event one year is not too much even for the most impatient independencewallah to organize for the quadruple boycott assuming, of course, that the Nehru Report status is not attained during the twelve months. And if we are serious about
  
    1929.    1920.      
 complete severance of British connection, we shall, when the year is over, certainly cease to patronize the very institutions that are the emblems of British power and instruments for holding us under sub- jection.
 And is the present programme quite so tame as it is made to appear? Was the picketing of liquor traps a tame affair? Let  Dr. Kanuga and his band of volunteers who were assaulted by angry  liquor dealers and their myrmidons answer. Let the hundreds of the prisoners in Assam answer who were mercilessly clapped into the Assam jails because they had the audacity to picket opium dens. Was the burning of foreign cloth a tame affair? Let Sarojini Devi who gave her very beautiful costly foreign scarf and many girls who gave up their rich foreign silks and other fineries they had learnt to treasure answer. There is nothing to prevent Congressmen now from picketing liquor traps or opium dens or from collecting and burning foreign cloth. Apart from the great social and economic value of these two very powerful items they have a political value of the very first order. If we achieve boycott of foreign cloth we remove from Britain’s path the greatest incentive to greed, and if we stop the liquor and drug revenue, we force the rulers to reduce the ever-growing military exp- enditure. These two things so easy to accomp-lish, so well suited to employ the energy of a vast mass of people, I hold, will go a long way towards the fulfilment of the national purpose, if we can but accomplish them.
 I claim that the programme is so catholic as to satisfy all tastes and to occupy the whole nation. If we are many workers, we can take up all the items at once, if we are few, we may take up one item at a time.
 There is, I admit, one important condition necessary to make the programme palatable, and that is, a living belief in non-violence for the establishment of swaraj or Dominion Status or Independence, whichever the name we may give to our object. It is not difficult to think out a programme that would immediately precipitate violence. That however is beyond my ken or capacity.
 Young India, 17-1-1929
  "
5,,NOTES,"
  
 REPORTED THREAT
 It is reported that the Government propose to take legal pro- ceedings against those who strive for complete independence carrying severance of British connection with it. It has further been suggested that organizations working for complete independence should be suppressed. I am not aware of any law enabling the Government to punish the active advocacy of independence. I wish the Gov-ernment would take steps against the promoters of independence. It will clear the political atmosphere and show what the Government mean by Dominion Status. If it does not carry with it the power to sever con- nection with the British, it is a form of bondage be it so mild. An India, impatient of servitude and waiting to come to her own, will never be content with any form of bondage. No national assembly can possibly be permitted to be the custodian of national honour, if it does not strive for the best that the nation is entitled to. Any move on the part of the Government, therefore against the propaganda of indepen- dence cum severance of British connection will precipitate the issue and undoubtedly give added strength to the severance movement. As I have already remarked, we must have the power to sever the con- nection even though we may never exercise that power. Whether we should and would exercise that power or not will depend wholly upon how British rulers behave towards us during these critical times. The school of severance must have the fullest liberty to vow and carry on its propaganda unhampered by any Governmental act, direct or indirect, open or secret. The only honourable way to prevent the school from growing is to make the connection worthwhile for us to retain. That can only be whenthe imperialistic spirit, the spirit of exploitation is killed and partnership on absolutely equal  terms  offered in the place of present bondage.
 GUJARAT VIDYAPITHlibtech_9_footnote
 This National Institution held its seventh convocation on 11th instant. Acharya Ramadeva delivered the convocation speech in the place of Sardar Vallabhbhai Patel who could not attend, but who sent his blessings and a spirited message reminding the graduates that their
  
 education had only just begun. Acharya Ramadeva’s was an impa- ssioned address to show that the British educational  system  was devised to manufacture clerks, not statesmen, to make students ‘black Englishmen’ according to Macaulay, but not better Indians. He had no difficulty in showing that the foreign method, grafted by foreig- ners on the Indian, had resulted in terrible increase of illiteracy.
 The Registrar’s report which was a businesslike document sho- wed that the Vidyapith was still doing pruning work and strengthening its foundation. Nevertheless it was able to show a literary output of no mean order in the shape of text books and research work done by the Puratatva Mandir with whose activity were identified scholars  like Muni Jinvijayaji and Prof. Dharmananda Kosambi and Pandit Sukh- lalji. The Vidyapith hopes inside of three months to furnish the Guja- ratis with an authorized spelling dictionary, a want that is being increa- singly felt. Great stress is being laid upon manual training which is superstitiously believed to interfere with the development of the intellect.
 The occasion was utilized by the graduates to present Acharya Kripalani with the khadi purse which the students had intended to collect and present to their popular Principal when he retired last year. The purse contained over Rs. 6,000. Acharya Kripalani in thanking the students for their purse reiterated his promise to visit Gujarat from time to time and by citing his experience of the solid work being done by the old students among untouchables and Raniparaj showed that the Vidyapith had more than justified its existence. Whilst he was proud of all the menial labour that these workers were doing with zest, he warned them against neglecting brainwork after leaving college. He added that the marvellous work done by the Sardar of Bardoli could not have been done, if he had not combined great brain capacity with rare courage and equally rare powers of endurance.
 The ‘old boys’ had their own function over which Sjt. Kishor- elal Mashruwala presided. His thoughtful address reminded the stu- dents of their serious responsibility and enjoined upon them the nece- ssity of becoming true soldiers of swaraj.
 I must not omit to notice the work being done by the students among the untouchables in the shape of night schools in the villages round Ahmedabad. Through these night schools they are dealing with social evils, the drink curse and giving medical relief. All honour to the boys who are thus patiently building brick by brick the swaraj structure.
 LALAJI MEMORIAL AND SIND
 Sjt. Jairamdas and other Sind friends pressed me whilst I was in Calcutta to go to Sind for the Lalaji Memorial collection. I could not resist the temptation. Though being pledged to tour for khadi I could not go to many places for this collection, I would not refuse the spor- ting offer from Sind. The collections for the Lalaji Memorial are creeping in, not pouring as they should have. It would be a shame if the five lacs are not forthcoming within a reasonable time. The donors have no excuse now for delaying, as they know exactly the purpose to which the collections are to be devoted. I am hoping therefore that the response from Sind will be generous enough to serve as guide to the other provinces.
 Nor must Sind forget khadi. My visit to Sind has, I know, been long overdue. Khadi lovers have been inviting me ever since my release from Yeravda to visit Sind for khadi propaganda and collecti- ons. Let them now prepare their offering for  Daridra narayana. And I expect the silk-bedecked Sindhi ladies to think of their poor sisters as also to render me an account of their connection with the evil custom of deti-leti. Many of them promised to exert themselves to do away with it root and branch. I hope that they will prove as good as their word.
 Young India, 17-1-1929
  "
6,"January 	17, 1929",TELEGRAM TO MIRABEHN,"
           MIRABEHN        January 	17, 1929 
  CARE 	KHADI 	BHANDAR 	MUZAFFARPUR  NO	ANXIETY.		HOT	WATER	BOTTLE		ABDOMEN.		MAY 	TAKE		FOUR          OUNCES          BOILING		RICE		WATER	PREPARED 	FROM			HALF	OUNCE		UNBOILED		RICE			DAILY.			SUN 	BATH ADVISABLE. REPORT DAILY PROGRESS. LOVE. 
     From 	the original: C. W. 5332. Courtesy: Mirabehn; also G. N. 9387  BAPU 
  "
7,"January 	17, 1929",LETTER T0 ZAFAR-UL-MULK,"
                 DEAR 	FRIEND,     SATYAGRAHA 	ASHRAM, SABARMATI,  January 	17, 1929 "
8,"January 	17, 1929",LETTER TO JAWAHARLAL NEHRU,"
  	I have kept the letter you left in Calcutta all this time. I was 	sorry indeed that I was silent when you came. I had not thought of 	the silence when I asked you to come again. I was none the less 	sorry than you were that we could not talk. Do please write to me 	whatever you want to say and if you get the time do come and pass a 	few days when  I am at the Ashram. At the present moment I am 	preparing to go to Sind.  Yours 	sincerely,  ZAFAR-UL-MULK, 	ESQ. 	LUCKNOW  From 	a microfilm: S.N. 1libtech_10_footnote986        SATYAGRAHA 	ASHRAM, SABARMATI,  January 	17, 1929  MY 	DEAR JAWAHAR,  	I have your letterlibtech_11_footnote. 	About the tour in the U.P. I have written to you already.libtech_12_footnoteI write this about Kripalani. Jamnalalji tells me 	that you want Kripalani to take up organization under you, that is 	to say, to take up the work that Sitla Sahai was doing and add to it 	as much as he can. Your letter under reply does not quite give me 	that impre- ssion. Kripalani himself, I understand, has written to 	you already, because on the strength of Jamnalalji’s letter, I had 	begun to talk to him before receipt of your letter and so had 	Shankerlal. You will now write to me therefore what you exactly 	intend in this matter.  	If I do not tour in the U.P. in the near future and if you can come 	over to Sabarmati even for a day or two, we can discuss many things. 	I utterly distrust doctors’ reports about Kamala whether they      
 are favourable or unfavourable. I wish you and Father and Kamala will make up your minds for her to take the natural treatment, that means Kuhne’s bath and sun baths. Sun baths are now in vogue even amongst the medical profession and very extraordinary results are claimed for them.
 You will telegraph if necessary about Kripalani.
 Yours sincerely,
 BAPU
 Gandhi-Nehru Papers, 1929. Courtesy: Nehru Memorial Museum and Library; also S. N. 15276
  "
9,"January 	17, 1929",LETTER TO MOTILAL NEHRU,"
                 DEAR 	MOTILALJI,     SATYAGRAHA 	ASHRAM, SABARMATI,  January 	17, 1929 
  	I have both your letterslibtech_13_footnotelibtech_14_footnote. No apology whatsoever is necessary for taking me to 	Calcutta. Of course I had never expected to have to take such an 	active part in the deliberations as circumstances forced me to take. 	But it was as well. I was quite happy over it and it gave me an 	insight into the present working of the  Congress  organization 	which I certainly did not possess. And after all, we have to battle 	both within and without.  	The big Darbhanga case is a very heavy responsibility and it must 	take up a great deal of your time which would otherwise have been 	available for the constructive programme. Nevertheless, I am glad 	you have this case and if it relieves you of all financial burdens, 	it will be possible for you then to give much more time to public 	work and that without a load of anxiety behind you.  	Now as to the second letter. If I am to finish the European 	programme, I may not put off the visit till May and I dare not keep 	the many friends who have invited me in a state of suspense up to 	the very time of my sailing. And if I go at all I have to go to 	Germany, Austria, Russia, possibly Poland, France, England and I 	would like to add Italy, Turkey and Egypt though I have no 	invitations as yet from the last three places. There are also 	pressing invitations from America     
 to include America if I go to Europe. All these things I must settle now or not at all. And your letter leads me to think that I must not think of undertaking the European tour this year at all. The next will take care of itself. Subject therefore to your reply, I propose to announce cancellation of the tour and make no promise for next year.
 I have been asked to draw up a scheme for boycott of foreign cloth.libtech_15_footnoteI hope to do so in a day or two, unless I can be ready to send it even with this letter.
 About the Lalaji Memorial Fund I personally do not think it is necessary for you to sign the local appeal. Let the local people make vigorous collections if they will. Purushottamdas Tandon  is  now taking charge of the affairs of the Society and that ought to inspire confidence.
 If I do not go to Europe, I would gladly include the U.P. in my tour programme, when I would like you to join me at least in some places.
 It is quite like Jawahar that he should give up smoking, a fine preparation to face Haileylibtech_16_footnote. I do not know that Hailey will lay   his hands upon Jawahar quite so easily as you think.
 Yours sincerely,
  
 From a photostat: S.N. 15281
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  "
10,"January 	17, 1929",LETTER TO NIRANJAN SINGH,"
                 DEAR 	FRIEND,     SATYAGRAHA 	ASHRAM, SABARMATI,  January 	17, 1929 
  	I have your letter. Your idea commends itself to me and you are at 	liberty to translate my other works. I hope that all your 	translations will be full and not of parts of the books you may 	translate. I am obliged to write this because some translators have 	taken such liberty with my writings and that too in a manner so as 	to give  almost  different meaning to them. 
     SJT. 	NIRANJAN SINGH 	PROFESSOR 	OF CHEMISTRY 	KHALSA 	COLLEGE 	AMRITSAR  From 	a microfilm: S.N. 15289  Yours 	sincerely, 
    "
