footnote_no,footnote
libtech_1_footnote,"1The Parliamentary 	Board was formed in May 1934, with Dr. M. A. Ansari as President “to 	run and control” elections to the Legislative Assembly."
libtech_2_footnote,2Madan Mohan 	Malaviya and M. S. Aney had formed a separate party to carry  on 	agitation against the 	Communal Award.
libtech_3_footnote,3Daughter of 	Shankarbhai Patel
libtech_4_footnote,4The addressee 	had asked 	for permission 	to marry 	a boy 	of her 	own Choice not 	belonging to 	her caste.
libtech_5_footnote,1The address is 	supplied from the manuscript of Mahadev Desai’s
libtech_6_footnote,"1Vide “Letter 	to Dunichand”, 16-9-1934."
libtech_7_footnote,2From the manuscript 	of Mahadev Desai’s Diary
libtech_8_footnote,"3Vide “Letter 	to G.V.Malvalankar”, 15-9-1934."
libtech_9_footnote,"4Stanley Jones, an 	American missionary"
libtech_10_footnote,4 ibid.
libtech_11_footnote,5Elder brother of 	Abdul Ghaffar Khan
libtech_12_footnote,
libtech_13_footnote,2The name has been 	omitted.
libtech_14_footnote,"1Vide “Speech at A.I.C.C. Meeting, Patna-II”, 19-5-1934."
libtech_15_footnote,2The Congress Socialist Party was formed at Patna in May 1934.
libtech_16_footnote,3 ibid.
libtech_17_footnote,"1Vide “Resolution on council-entry”, 19-5-1934."
libtech_18_footnote,
libtech_19_footnote,"2Vide “Statement to the press”, 2-4-1934."
libtech_20_footnote,1Not available
libtech_21_footnote,"2Harijan tour which 	began on November  7, 1933  and  concluded  on  August 	2, 1934"
libtech_22_footnote,"1Vide “Congress 	constitution adopted at Nagpur session”, december 1920."
libtech_23_footnote,1Of the Harijan 	Sevak Sangh
libtech_24_footnote,2The superscription 	in this and other letters addressed to Mary Barr is in the 	Devanagari script.
libtech_25_footnote,1Vide “Letter to P. N. Rajbhoj”. 31-8-1934.
libtech_26_footnote,1Son of Parsee Rustomji
libtech_27_footnote,2Sonja Schlesin
libtech_28_footnote,3Vide the 	preceding item.
libtech_29_footnote,3Son of Harilal Gandhi
libtech_30_footnote,1Jal Khambhatta
libtech_31_footnote,2Kishorelal 	Mashruwala and his wife
libtech_32_footnote,1Widow of Maganlal 	Gandhi
libtech_33_footnote,4Son of Narandas Gandhi
libtech_34_footnote,1Daughter of 	Srinivasa Iyengar.
libtech_35_footnote,"2Prabhavati, wife of 	Jayaprakash Narayan"
libtech_36_footnote,3ibid.
libtech_37_footnote,4Addressees’ 	daughter
libtech_38_footnote,"1Gandhiji’s    	birthday    according    	to     the     Vikram   Era,    celebrated	as 	Spinning Day"
libtech_39_footnote,2Weapon of Lord 	Krishna
libtech_40_footnote,2Prabhavati’s 	father
libtech_41_footnote,"3Vide 	“Gandhi-Aney 	Statement”, 20-9-1934."
libtech_42_footnote,
libtech_43_footnote,"1Vide “Statement 	to the press”, 17-9-1934."
libtech_44_footnote,1A Swiss engineer 	who founded the International Service
libtech_45_footnote,1Daughter of Sitla 	Sahai
libtech_46_footnote,2Daughter of 	Dalbahadur Giri of Nepal and Krishnamaiyadevi
libtech_47_footnote,1Karsandas Chitalia
libtech_48_footnote,"1(1869-1942); Sanskrit scholar and Gujarati man of letters; Pro-Vice, Chancellor, Benares Hindu University"
libtech_49_footnote,"2Vide “Letter 	to Laksmi Gandhi”, 19-9-1934."
libtech_50_footnote,"1The letter was 	presumably written in reply to the adressee’s, replying to"
libtech_51_footnote,"3A two-spindle wheel 	plied with foot, invented by Maganlal Gandhi"
libtech_52_footnote,2The name has been omitted.
libtech_53_footnote,3Omission as in the 	source
libtech_54_footnote,"3Of the Ashram and the Vidyapith books to the Maneklal Jethalal Municipal Library, Ahmedabad; vide “Letter to Narandas Gandhi”, 8-3-1933."
libtech_55_footnote,1Maganwadi
libtech_56_footnote,"2Margarete Spiegel, 	a German lady"
libtech_57_footnote,"1Vaman Gopal Joshi 	alias  Veer 	Vamanrao, Marathi playwright and 	President of 	Berar Pradesh Congress Committee"
libtech_58_footnote,"2Editor, The 	Hindu"
libtech_59_footnote,3A metrical 	rendering of the Gita 	into Marathi by 	Vinoba Bhave
libtech_60_footnote,"1S. Salivati, correspondent of The Hindu"
libtech_61_footnote,"2Vide “Telegram to S. Salivant”, 18-1-1933 and “Letter to A. Rangaswami Iyengar”, 21-1-1933."
libtech_62_footnote,"3A. Rangaswami 	Iyengar, former editor of The 	Hindu"
libtech_63_footnote,"1Vide “Statement 	to the press”, 17-9-1934."
libtech_64_footnote,2The letter is not 	available.
libtech_65_footnote,"3Vide “Statement to the press”, 5-9-1934."
libtech_66_footnote,1Of the Bhavnagar State
libtech_67_footnote,1Addressee’s wife
libtech_68_footnote,"2Vide also “Letter to Vallabhbhai Patel”, 16-9-1934."
libtech_69_footnote,3The source has 	‘Sir’ which is obviously a slip.
libtech_70_footnote,"1After a discussion 	regarding the selection of candidates by the Parliamentary Board and 	the Nationalist Party for elections to the Assembly, Gandhiji and M. 	S. Aney issued this joint statement."
libtech_71_footnote,2Addressee’s son
libtech_72_footnote,3Omission as in the source
libtech_73_footnote,"1Reported by Mahadev Desai, this appeared in Harijan under the title “The Wrong Way”. The Hindu Sabha of Morsi, in C. P., had arranged with one of its preachers to hold a kirtan and issued handbills inviting Hindus. The kirtan was held in  a temple where Akarte, a Harijan worker, and other Harijans were not allowed. The preacher also declined to hold the kirtan outside for the benefit of the Harijans but offered to go to the Harijan quarters and give them a special kirtan. Akarte later held a protest meeting and passed a resolution condemning the preacher. Akarte then sought Gandhiji’s guidance."
libtech_74_footnote,2Formed by Madan 	Mohan Malaviya and M. S. Aney
libtech_75_footnote,
libtech_76_footnote,1The worker had described the-cholera epidemic in these villages and the steps he had taken to control it.
libtech_77_footnote,4Ramdas Gandhi’s 	son
libtech_78_footnote,
libtech_79_footnote,5Nirmala Gandhi. 	Ramdas Gandhi’s wife
libtech_80_footnote,
libtech_81_footnote,
libtech_82_footnote,
libtech_83_footnote,"6Ramdas Gandhi’s 	mother-in-law. The 	source, however, has 	“Savita”, obviously a misprint."
libtech_84_footnote,7Ramdas Gandhi’s 	daughter
libtech_85_footnote,1The source has 	“Narayandas”.
libtech_86_footnote,"1Editor, Harijan"
libtech_87_footnote,2Addressee’s daughter
libtech_88_footnote,3Addressee’s son
libtech_89_footnote,1The address is from 	Pyarelal Papers.
libtech_90_footnote,"2Vide “Letter to Vaman G. Joshi”, 20-9-1934."
libtech_91_footnote,1Radhakrishna Bajaj
libtech_92_footnote,
libtech_93_footnote,"1Madan Mohan 	Chaturvedi, addressee’s secretary"
libtech_94_footnote,1From the reference 	to the intended departure of Madan Mohan for Bombay.
libtech_95_footnote,1Where Harijans were forbidden the use of the public reservoir
libtech_96_footnote,"1Addressee’s wife,"
libtech_97_footnote,"1Issued to the Press on September 20, 1934"
libtech_98_footnote,"1Fiancee of Balbir, 	addressee’s son"
libtech_99_footnote,"1Vide “Letter to Vallabhbhai Patel”, 20-9-1934."
libtech_100_footnote,1Addressee’s wife
libtech_101_footnote,1Mahadev Desai’s 	son; Gandhiji offers to add the honorific “rao”.
libtech_102_footnote,"1Ramacharitamanasa, Balakanda"
libtech_103_footnote,2Jaisukhlal Gandhi’s 	daughter
libtech_104_footnote,"3Vide “Gandhi-Aney statement”, 20-9-1934."
libtech_105_footnote,1Omissions as in the 	source
libtech_106_footnote,2Lord Vishnu
libtech_107_footnote,"4C. Y. Chintamani, Editor, The Leader"
libtech_108_footnote,3Wife of Gulam 	Rasool Qureshi
libtech_109_footnote,5H. N. Kunzru
libtech_110_footnote,4This and the 	following sentence are from Harijanbandhu.
libtech_111_footnote,2Name of a bird known for chattering incessantly
libtech_112_footnote,
libtech_113_footnote,2ibid.
libtech_114_footnote,1The words “or believed in the Vedic dharma” are from Harijanbandhu
libtech_115_footnote,"2Vide “Letter 	to Govindbhai R. Patel”, 24-9-1934."
libtech_116_footnote,3This sentence is 	from Harijanbandhu.
libtech_117_footnote,1The   Gujarati    original   of    what    follows    appeared    in  Harijanbandhu
libtech_118_footnote,"1The   Gujarati   original   appeared   in   Harijanbandhu,   23-9-1934.   The text reproduced here, except the last paragraph, is from the abridged version in Harijan."
libtech_119_footnote,1What follows is translated from Gujarati.
libtech_120_footnote,"1Not translated here. It described the harassment of Harijans in Sajod, in Ankleshwar taluka, consequent on the insistence of the authorities that the Harijan pupils in the local school should be permitted to sit with the other pupils."
libtech_121_footnote,2Kasturba Gandhi’s 	brother’s wife
libtech_122_footnote,1The superscription 	is in Gujarati.
libtech_123_footnote,2Maganlal Gandhi’s 	daughter
libtech_124_footnote,1Kasturba Gandhi’s 	brother
libtech_125_footnote,"1Vide “Letter 	to Khurshedbehn Naoroji”, 24-9-1934."
libtech_126_footnote,"2Literally, ‘a dealer in silver’"
libtech_127_footnote,"3Vide “Letter to Radha Gandhi”, 24-9-1934."
libtech_128_footnote,
libtech_129_footnote,
libtech_130_footnote,3Addressee’s wife
libtech_131_footnote,
libtech_132_footnote,1From the postmark
libtech_133_footnote,"1Acquiring complete self-mastery through austerities. Vide also “Letter to Dwarkanath”, 1-10-1934."
libtech_134_footnote,1Non-possession
libtech_135_footnote,1Kasturba Gandhi
libtech_136_footnote,"1A similar letter without the last but one sentence was sent to the addressee  on October 9, 1934."
libtech_137_footnote,1Vide the 	preceding item.
libtech_138_footnote,1The name has been 	omitted.
libtech_139_footnote,"2Vide “Statement 	to the press”, 17-9-1934."
libtech_140_footnote,1Omission as in the 	source
libtech_141_footnote,"2Vide also 	“Letter to Matilda B. Kallon”, 19-9-1934."
libtech_142_footnote,"1Bhagavad Gita, I. 41"
libtech_143_footnote,2Addressee’s wife
libtech_144_footnote,"1Vide “ Introduction to Varnavyavastha”, 23-9-1934."
libtech_145_footnote,"1Vide “The Fiery Ordeal”, 4-10-1928; “The Tangle of ahimsa”, 11-10-1928; “A conundrum”, 18-10-1928; “Jain ahimsa”,25-10-1928 and “More about ahimsa”, 1-11-1928."
libtech_146_footnote,"1This appeared in 	Harijan, 	7-9-1934. Vide also 	“Letter to P. N. Rajbhoj”, 31-8-1934 ."
libtech_147_footnote,3Addressee’s daughter
libtech_148_footnote,2This appeared under 	the title “More Talks on Swadeshi”. Mahadev Desai has summarized 	here the discussion Gandhiji had with a number of persons.
libtech_149_footnote,"3Vide “Broadcast 	to America”, 13-9-1931."
libtech_150_footnote,"4K. M. Munshi,s wife"
libtech_151_footnote,1Valji G. 	Desai’s son
libtech_152_footnote,2Not reproduced here
libtech_153_footnote,
libtech_154_footnote,2Valji G. 	Desai’s son
libtech_155_footnote,1The names have been 	omitted.
libtech_156_footnote,1Younger brother of 	Raja Avadhesh Singh of Kalakankar who had just died
libtech_157_footnote,2ibid.
libtech_158_footnote,1 Shepherds
libtech_159_footnote,"2Vide “Robbery 	in the Name of Religion”, 23-9-1934."
