chapter_no,date,title,content
1,,CARDING OR ARCHERY,"
       	The  word  pinjanlibtech_1_footnotelibtech_2_footnotehas  become  disagreeable  in  our  language. Even in 	figurative language, it is a term implying censure. When a person 	keeps on pointlessly repeating the same thing, we say of him that he 	is doing pinjan. This usage of the word has become so established   	that   we   do    not    like    the    word    'pinjanshastra'libtech_3_footnotelibtech_4_footnoteor 	'pinjanvidya'libtech_5_footnotelibtech_6_footnote. A new form of the tool used in carding,which is known 	as the ""Bardoli Bow"", is made of a bow-shaped bamboo, and 	looks like  a bow too. Hence I have made bold to use a word which 	has become endeared in  the  terminology  of  the  Kshatriyas,  	i.e.,  'dhanurvidya'libtech_7_footnoteinstead of the word ‘pinjanshastra’. I apologize to 	the intellectual class for doing this. If other lovers of the 	language also get enraged at me for taking such liberties with a 	word with such an established usage, I beg their forgiveness too.  	I feel, however, that at a time when our language is developing, 	when new ideas are being brought into it, new discoveries are being 	made, when the scope for courage, etc., is being enlarged, we should 	be accommodating in the usage of those words.  	The reader is not unfamiliar with the liberties I have been taking 	with words for many years. I have given a new definition of the word 	Kshatriya. The latter is not a person who knows how to kill others 	but rather one who acquires the art of sacrificing his own life so 	that others may live. A Kshatriya is one who has well mastered the 	mantra of never retreating in the battle between gods and demons 	which is raging in this world. A Kshatriya is one who is the very 	embodiment of compassion. What knowledge of archery should such a 	Kshatriya possess? While reflecting on this problem, just as a 	carpenter invariably thinks of a babul tree, is it any wonder if my 	mind turns towarding carding? If we learn the craft of carding, if 	the young people acquire mastery over it, they would by daily 	devoting some time to it, serve hundreds of thousands of women. 	Those who have mastered the science of spinning repeatedly declare 	that, if carding is properly done, if the strands in a sliver are 	separated and         
 symmetrically arranged, the resulting yarn will easily be good, even strong and fine. If someone makes slivers free of charge, that will berendering great service to those of our women who do not card today and are not likely to do so. And if this is done, it will go a long way towards helping make khadi cheap. The activity of spinning is progressing at snail's pace. The same is not true of carding or what we may now call ‘dhanurvidya’. Moreover, this vidya presupposes both physical and spiritual strength. Let anyone who wishes, have a look at a carder's chest. Every carder's chest is something that would make another envious. It is round, expanded and beautiful. The muscles of his arms too are likewise well developed. If one carder is earnest, he can surely serve at least twenty women because he cards at least ten pounds [of cotton] in ten hours. This amount of cotton is more than what is required by twenty women working ten hours, who spin yarn of ten to twelve counts. From this it is clear that anyone who acquires this skill can find work to his satisfaction.
 Moreover, the activity of spinning has been carried on as an independent trade from ancient times, and has been able to compete with other trades. Today a carder demands and gets thirty rupees a month. In the beginning the Ashram had engaged a carder on a wage of seventy rupees a month. Even an ordinary carder can make eight annas a day today. One has to have a book in order to acquire easily a knowledge of such a beautiful form of archery. This has been included in Maganlal Gandhi’s book entitled “The Science of Weaving”. However, that contains only the basic principles. Again, this vidya has taken great strides since then. The Gujarat Vidyapith has given a proper place to this great science, which is a prop of the nation and sustainer of millions of men and women. It has laid down the examinations to be held and is realizing and increasing its importance day by day. Hence the necessity has been felt for having a textbook on this subject. In order to see to it that the text is a very useful one, a questionnaire has been issued by the Principal to those who have mastered the art. The questions go into minute detail and occupy a fair amount of space and as only a particular section of readers would be interested in it, I do not publish them here. However, those who are interested in this subject should write to the Principal, Gujarat Vidypith, Ahmedabad, and obtain a copy of the question- naire. His office will find it convenient if the words ‘Regarding dhanurvidya’ are written on the left-hand side of the address.
 Perhaps, it is necessary to add that the term has been accepted by the Vidyapith. I have coined it for the very first time for this article. I alone am responsible for its use. Kakasaheb or the other office-bearers can reject it. The reader who does not like this use of the word may suggest any other sonorous word instead. A carder is also known as a tanti. Since a tantilibtech_8_footnoteis the principal factor involved in carding, the term ‘tantvidya’ or ‘tantshastra’ may also be employed. But I must admit that I like the word ‘dhanurvidya’.
[From Gujarati]
 Navajivan, 1-9-1929
 "
2,,MY NOTE,"
  
 SHRI HIRALAL'S SCHEME
 Three experienced persons have independently pointed out the same defect in Shri Hiralal’s scheme published in Young India and Navajivan for a new type of spinning-wheel. Since others who are giving thought to this scheme also find this and other defects in it, I publish below one letter from among the many that I have here with me:libtech_9_footnote
 Let Shri Hiralal and others interested  in  innovations  give thought to this. Even if Shri Hiralal’s scheme is regarded as faulty and considered useless, his efforts will still be dear to me. Such efforts are very necessary. Although the farmer’s heirs did not discover in his field the golden egg mentioned in his will, they got by digging it up untainted wealth in the form of a golden harvest which proved even more valuable than the golden egg and the heirs learned  the importance of body labour.
[From Gujarati]
 Navajivan, 1-9-1929
 
 
 
 
  "
3,,FIT FOR ALL TO READ,"
  
 The Navajivan Prakashan mandir has just published Shri Mahadev Desai’s “History of Bardoli Satyagraha”libtech_10_footnotelibtech_11_footnote. As it has been written by Shri Mahadev Desai, it is indeed authoritative  and  the reader can rest assured about the authenticity of each event mentioned in it. At a time when the fragrance of a gigantic satyagraha has filled the air and people are eagerly looking forward to the coming year, everyone who desires to secure swaraj should know what kind of weapon satyagraha is, what its limits are, how Bardoli, the Sardar and the people of Bardoli employed it, what kind of triumph they achieved thereby, what fine after-effects flowed from it and how far- reaching they have been. Hence this history is very opportune. Everyone should make a detailed study of it. Considering its subject- matter, it is neither too long nor too short and it occupies 389 demy octavo pages. It contains six illustrations the most useful of which is the one giving a map of Bardoli, showing all its principal villages. The inquiry committee had visited 47 villages, which are indicated with the help of numbers. Other useful details are also given. Among other useful illustrations, that of a women’s meeting attracts special attention. This history has been priced at only twelve annas.libtech_12_footnotelibtech_13_footnoteI  hope that all will get a copy of this book, read it carefully, reflect upon it, and derive some inspiration from it regarding the kind of sacrifice they may in their turn be able to make at the altar of swaraj.
[From Gujarati]
 Navajivan, 1-9-1929
 
 
 
 
 
 
 
 
 
  "
4,,SCHEME OF SELF-RELIANCE,"
  
 Of course, I did publish  Shri  Shivabhai’s  articlelibtech_14_footnotebut  I  have received three articles contradicting it. The last one is from Shri Jethalal. It is not easy to oppose him because he writes from his experience and adheres firmly to his  views.  His  rejoinderlibtech_15_footnoteruns  as follows.
 All lovers of khadi who have made a study of its science should consider this reply carefully. If those who do not know this science master the arithmetic behind it, they will find it interesting and enjoymable. Having said this, I may add that I cannot deviate from my basic statement. I still feel that, in the widespread propaganda for khadi, the principle that those who spin should also weave cannot work. That certainly is not the ideal situation. At the very basis of this scheme lies lack of faith in human beings. As weaving is a complete and independent activity, it cannot be carried on in every house and in attempting to do so, one would run counter to the previling principle of division of labour. Man is as independent as he is dependent. And he must be so in order that he may be able to preserve his humility. If he can be visualized as a totally independent being, he will cease to be social animal and if, in turn, he ceaes to be that, he will cease to be non-violent and will be unable to achieve a sense of unity with all living beings.
 It has been said that, if all those who spin do not weave, they will not turn out good yarn. This amounts to maligning the human race. If those textile mills which only produce yarn can make fine yarn, why should not persons who merely spin on the spinning-wheel do likewise? Love will make them spin fine yarn. The reader should bear in mind that it is a different matter that, in order to have a complete knowledge of spinning, it is necessary to have a knowledge of weaving also. There should certainly be no need for every spinner to weave for himself in order to improve the quality of the yarn spun by him. I am becoming increasingly convinced day by day of the need to make anindpendent effort to improve the quality of yarn. The spinner
 
 stands to gain by such improvement. Let us take full advantage of this and bring about an improvement in the quality of yarn. We shall never be able to make innumerable women take to weaving. Even at present we have been able, with some effort, to make the women produce better yarn. The improvement that has taken place in yarn in the course of the last seven years is a hopeful sign.
 Moreover, there are hundreds of thousands of expert weavers in the country and it is our duty to make use of their skill. They too form a section of the people. We have yet to win them over with ove. We have still to convince them that in the reform of their trade lies the welfare of the country. And it is through such mutual trust and dependence alone that we are going to march ahead.
 I regard the question of competing with cloth made in textile mills…whether foreign or Indian…as a temporary and futile one. When farmers store their own cotton, carry on all the activities up to that of spinning in their own homes, they will certainly get their own khadi made by paying the proper wage to the weaver and not touch mill-made cloth. The economics of khadi is unique. It has  soul whereas the economics of textile mills is soulless. Hence the two difer in kind. Just as the waters of the ocean and those of the Ganges being qualitatively different cannot be compared to each other, similarly there can be no comparison between cloth produced in textile mills and hand-made cloth produced in villages.
 However, no one should interpret my article to imply that, where the farmer is well-to-do and has a large family, he  should  not introduce weaving into his house; he certainly should do so. My emphasis is on keeping the activity of spinning separate; there is a danger of suffocating it by combining it with weaving or of slackening the pace of the widespread use of the spinning-wheel. For the purpose of propaganda for the spinning-wheel, it is necessary to realize and demonstrate the limits of weaving. Whereas crores have to spin, only lakhs have to weave; while spinning will always remain primarily a subsidiary occupation, weaving will always remain chiefly an independent one. On the revival of spinning depends the economic and, consequently, the oral upliftment of crores of people and in  order to make the activity successful, it is necessary to bring about development in all sections of society such as weavers, business men and others. Spinning is an activity which awakens religious sentiment and purifies the soul.
[From Gujarati]
 Navajivan, 1-9-1929
 
 
 
 
 DEAR BHUR-R-Rlibtech_16_footnote ,"
5,"September 1, 1929",LETTER TO ABBAS TYABJI,"
  
 [September 1, 1929]libtech_17_footnote
  	The check is being duly acknowledged. What does it matter what 	others think of it so long as your conscience and your doctor tell 	you, you dare not go far from home? But you must soon be a young man 	of seventeen and not an old mare of seventy. 
     [PS.]       I shall tell Raihana 	your message when she comes.  Yours,  BHURRR       M. 	K. G. 
  ABBAS 	TYABJI, 	ESQ. 	CAMP, 	BARODA  From 	a photostat: S.N. 9567   "
6,"September 	1, 1929",LETTER TO RAMPRASAD VYAS,"
        SABARMATI, 
     BHAI 	RAMPRASAD,  September 	1, 1929 
  	I have your letter. Herewith the acknowledgment. Both the items of 	work are good. That relating to Daridranarayana is wider in 	scope. Whatever  others  may  do,  you  cannot  offer  a   bribe.   	I   would  see nothing 	wrong in entering  in   the   accounts  such  expenditure  as  is incurred 	purely in connection with the business.  	The problem of those with large families is not one to be discussed 	in Navajivan. It raises many other questions. It is of no 	importance compared to the great misfortune of India’s slavery.  From 	a copy of the Gujarati: Kusumbehn Desai’s Diary. S.N. 32577/145       
  "
7,"September 	2, 1929",LETTER TO SAM HIGGINBOTTOM,"
         SABARMATI, 
     DEAR 	FRIEND,  September 	2, 1929 "
8,"September 	2, 1929",LETTER TO THAKORESAHEB OF GONDAL,"
  	Your frank and free letter does my soul good. But I had expected 	nothing less from you. My rule always is never to criticize even 	strangers about anything said or done by them without first 	verifying facts through them whenever they are within reach.  	As for the girl she is the most difficult problem we have. The 	attention of our best men and women is given to her. We are trying 	the method of no corporal punishment regarding her, though the 	temptation is often great. But we have not lost hope. I have 	personally tested the method for over 20 years with growing 	confidence. Of course it does not apply to infants though even in 	their case, punishment is rare.  	Don’t you think the quotation from Hebrews is irrelevant? 	May we copy God Who is infallible in His judgments and Who creates 	if He also destroys?  Yours, 	etc.,  SAM 	HIGGINBOTTOM  From 	a copy: Kusumbehn Desai’s Diary. S.N. 32577/147       SABARMATI,  September 	2, 1929  MEHERBAN 	THAKORESAHEB,  	I learn from Chandulal that after many years you have released the 	political prisoners. I congratulate you on that. I feel it would 	have been more becoming if you had released them without making them 	tender apology.libtech_18_footnoteSaints 	have sung that the adornment of a king lies not in forcing his 	subjects into submission but in forgiving them.  	I also like your efforts towards bringing  out an  encyclo- paedia. 	But I must confess that I was greatly pained by what I heard    
 about you from trusted friends. I tried to seek a meeting with you about what I had heard, but I failed and received a negative reply.
 I believe myself a friend of the native States, and am therefore constantly on the look-out for rulers whose rule may,  in  some  measure at least, approximate to the ideal of Ramarajya. When I find such a ruler I feel happy; when I do not, I am distressed. I had expected that quality in you, and so when I was studying in England and you also were studying there I had tried to meet you. I had built hopes on you even when I met you in Gondal. I still hope that your administration is faultless or will become so, and that you yourself will be and remain free of any stigma.
 Your well-wisher,
 
From a copy of the Gujarati: Kusumbehn Desai’s Diary. S.N. 32577/146
 "
9,"September 	2, 1929",LETTER TO BEHRAMJI KHAMBHATTA,"
        SABARMATI, 
     BHAI 	BHAMBHATTA,  September 	2, 1929 
  	I have your letter. I expect to reach Revashankerbhai’s place at 	two in the afternoon of the 7th. I shall get down at Dadar by the 	first morning train reaching there and then go to Vile Parle. From 	there I shall reach Bombay at 2 p.m. The programme you have drawn up 	is all right. It would be good if you can begin at 5.30 and still 	better if at  6 o’clock. Being forbidden by doctors to speak much, 	I shall speak for a few minutes only. Can you not manage to go 	through the programme in an hour and a half? Of course I do not wish 	to put you to inconvenience. You need not do anything else for me. 	Arrange to take me to the place. If you wish, you may see me at 	Dadar.  Blessings 	from  BAPU   From 	a photostat of the Gujarati: G.N. 6595 
  "
10,"September 2, 1929",TELEGRAM TO THAKURDAS BHARGAVAlibtech_19_footnote,"
  
 SABARMATI,
 [On or after September 2, 1929]
 MY	OPINION	EIGHTEEN	YEARS	GIRLS	TWENTY-FIVE	BOYS.
 
From a photostat: S.N. 15523
 "
