footnote_no,footnote
libtech_1_footnote,1Vide “Letter 	to The Star” 8-6-1907
libtech_2_footnote,"1(1207-73), Sufi poet of Persia."
libtech_3_footnote,"1The Chinese Association later submitted a petition, protesting against the Act, to the Chinese Ambassador in London. Vide Appendix II."
libtech_4_footnote,2Vide “What Should the Brave Do?” 1-6-1907
libtech_5_footnote,"1Vide “A Prize of £1”, 1-6-1907"
libtech_6_footnote,1Here followed in the original the text of the prize-winning poem.
libtech_7_footnote,1Vide “Hejaz Railway: Some interesting information” 11-5-1907
libtech_8_footnote,"1The original has 1907, evidently a slip; vide “Johannesburg Letter”, 26-6-1907."
libtech_9_footnote,"2Vide “Petition to Natal Legislative Assembly”, 28-6-1894 & “Deputation of Natal Premier”, 29-6-1894."
libtech_10_footnote,"3Vide “Indentured Indian Labourers”, 15-6-1907"
libtech_11_footnote,"3Vide “Letter to Prime. Minister’s Secretary”, 1-6-1907"
libtech_12_footnote,"2Pan-lslamic Society, London."
libtech_13_footnote,1The translation given here is collated with the original in English.
libtech_14_footnote,"2Not reproduced here; vide “Letter to The Star”,8-6-1907"
libtech_15_footnote,"1Vide “Petition to Lord Elgin”, 8-10-1906"
libtech_16_footnote,"1These are not reproduced here. The instalments appeared in the successive issues of Indian Opinion between July 6 and August 17. The series was, however, discontinued after a part of chapter six had been published. Vide “Why Was The Life of Prophet Mahomed Discontinued?”, 31-8-1907"
libtech_17_footnote,1A barrister.
libtech_18_footnote,2Nominated member of the Transvaal Legislative Council.
libtech_19_footnote,"3Vide “Letter to Colonial Secretary”, 22-6-1907"
libtech_20_footnote,1Assistant Colonial Secretary.
libtech_21_footnote,2This has been reproduced from the original in English.
libtech_22_footnote,"3(1874- ), British statesman and writer. Under-Secretary of State for the Colonies, 1905-8, Prime Minister of Great Britain, 1940-5, 1951-5."
libtech_23_footnote,"1Lieutenant-Governor of the Transvaal, 1902-5,  appointed  Governor  of Madras in 1905; vide “Address to Lieutenant-Governor”, 18-5-1904 and “Sir Arthur Lawley as Governor of Madras”, 2-12-1905"
libtech_24_footnote,1God.
libtech_25_footnote,"2What follows is the original English text of the letter, with some changes needed to bring it into conformity with the Gujarati version."
libtech_26_footnote,"1Interview took place after the announcement in the Government Gazete, 28-6-1907, that the Asiatic Law Amendment Act would take effect from July 1, 1907, and the publication of the Regulations made under the Act. The report in the Rand Daily Mail carried the headlines: “Will go to Jail: Indians on the Ordinance: 8,000 Passive Resisters: Law to take effect on Monday: Starting with Pretoria.”"
libtech_27_footnote,2What follows is the original English text with some changes needed to bring
libtech_28_footnote,
libtech_29_footnote,"1The report concluded with the note: “In the Transvaal there are, according to the last census, 9,986 Indians, of whom 8,647 were males. In Pretoria’s municipal area, there were 1,681 Indians, of whom 1,445 were males. There were also 31 Chinese, all males.”"
libtech_30_footnote,"1High Commissioner in South Africa and Governor of the Transvaal and Orange River Colony, 1905-10."
libtech_31_footnote,"2An episode from the Indian epic, the Ramayana."
libtech_32_footnote,"1Vide “Chamney’s Report”, 13-4-1907"
libtech_33_footnote,1Not reproduced here.
libtech_34_footnote,"1Gandhiji spoke 	at a meeting 	of Indians 	held to  protest 	 against  the Regulations 	under the Asiatic 	Act. This is a brief 	report of his speech; 	vide also 	“Mass Meeting 	at Pretoria”, 6-7-1907"
libtech_35_footnote,"1This was reproduced 	in Indian Opinion, 	6-7-1917."
libtech_36_footnote,"1Vide “Mass Meeting at Pretoria”,6-7-1907"
libtech_37_footnote,"2The reference is to the Women’s Suffrage Movement for Parliamentary  rights. Under the leadership of Mrs. Emmeline Pankhurst (1858-1928), the Suffragettes adopted militant tactics which included picketing, hunger-strike and courting imprisonment."
libtech_38_footnote,1This was published as “From Our Representative at Johannesburg”.
libtech_39_footnote,"2Vide “Fat in the Fire”,6-7-1907"
libtech_40_footnote,2For the text vide Appendix III.
libtech_41_footnote,"1Vide “Mr. Gandhi’s Pledge”, ”, 30-4-1907 & “Hejaz Railway: Some Interesting Information”, 11-5-1907."
libtech_42_footnote,2Vide “Letter to Rand Daily Mail” 1-7-1907
libtech_43_footnote,"2(1859-1925), Viceroy and Governor-General of India, 1899-1905; vide"
libtech_44_footnote,"1Vide “The Transvaal Struggle”, 25-5-1907."
libtech_45_footnote,"1These lines are from the prize-poem, “Gaol-going”."
libtech_46_footnote,"1The translation given here has been collated with the English text of the Regulations, vide Appendix IV."
libtech_47_footnote,"2Vide “Johannesburg Letter”, 26-6-1907"
libtech_48_footnote,1The English text has the words “the birth-place of each”.
libtech_49_footnote,"2The Act, however, reads, “applying for the renewal of the certificate of registration”."
libtech_50_footnote,1Particulars in this form are as in form “F” above.
libtech_51_footnote,"3(1838-1923), Secretary of State for India, 1905-10."
libtech_52_footnote,
libtech_53_footnote,1The report in Gujarati carried the headlines: “Huge Mass Meeting of Pretoria Indians: Spirited Opposition to Obnoxious Law: Everyone Ready for Gaol” and was published as a “Special Report for Indian Opinion”.
libtech_54_footnote,"4(1845-1914), Viceroy and Governor-General of India, 1905-10."
libtech_55_footnote,"2Vide “Interview 	to Rand Daily Mail”, 	28-6-1907"
libtech_56_footnote,31905-8.
libtech_57_footnote,3The English text has: “the full name and the age of the minor (if the application is made by a guardian on behalf of a minor)”.
libtech_58_footnote,"4Vide “Cable to S.A.B.I. Committee”, 22-2-1907."
libtech_59_footnote,
libtech_60_footnote,"1What follows, however, is a summary. Vide “Interview to Rand Daily Mail”, 28-6-1907"
libtech_61_footnote,"1Vide “Interview to Rand Daily Mail”, 28-6-1907"
libtech_62_footnote,"2Printer of Indian Opinion and inmate of Phoenix Ashram. Vide “Our Trial”, 31-12-1904. Satyagraha in South Africa, Ch. XXIII, XLVII and Autobiography, Part IV Ch. XVI, XVIII, et seq."
libtech_63_footnote,"3The reference is to the edition with Mrs. Besant’s English translation published in 1905. Vide “Letter to Annie Besant”, 13-5-1905."
libtech_64_footnote,"4It was suggested that Indian Opinion should bring out a book on the  hardships of Indians in South Africa; vide “Omar Haji Amod Zaveri’s Resignation”, 13-4-1907."
libtech_65_footnote,"1Here followed in the original a translation of “Letter to Rand Daily Mail”, 1- 7-1907"
libtech_66_footnote,1This was 	published under 	the title 	“Indian   Picketing”  	 and  reproduced  in
libtech_67_footnote,1The original has “Legislation”.
libtech_68_footnote,"1Vide “Letter 	to The Star”, 	4-7-1907"
libtech_69_footnote,2Presents are given by parents to their daughter at a religious ceremony during the seventh month of her first pregnancy. A legend has it that God came to the poet’s help in the guise of a merchant.
libtech_70_footnote,"1In the petition actually presented, this paragraph was deleted by William Hosken, a member of the Transvaal Legislative Assembly, through whom it was submitted. Vide “Johannesburg Letter”, 15-7-1907"
libtech_71_footnote,
libtech_72_footnote,1This was obviously written prior to his letter of July 11; vide the following item in which Gandhiji refers to the printing of the Ramayana.
libtech_73_footnote,1A German 	theosophist who was attached to Gandhiji and was for some time in 	charge of the school at Phoenix; he died at Sevagram in 1960.
libtech_74_footnote,1Saint-poet of Gujarat.
libtech_75_footnote,"1This was Gandhiji’s reply to the following letter dated June 19 from M. H. Ugat, Norwood, referring to “The Wisdom of the East” (15-6-1907): “In your issue of the 15th ultimo, you drew attention to books like The Wisdom of the East, Jalaluddin Rumi, The Essence of the Koran, The Way of the Buddha and The Way of Zoroaster, and advised people to buy them, which was a good thing. But our community being more or less familiar with Gujarati, I believe these books will sell to some extent if they are available in Gujarati. I hope you will give some information on the point.”"
libtech_76_footnote,"1Vide “Prophet Mahomed and His Caliphs”, 22-6-1907"
libtech_77_footnote,1Commissioner of Mines for the Transvaal.
libtech_78_footnote,2Gandhiji spoke at a meeting of the Hamidia Islamic Society held in the Indian Location. This is a brief report of his speech.
libtech_79_footnote,"2Vide “Petition to Transvaal Legislative Assembly”, 9-7-1907"
libtech_80_footnote,1This was sent by “special telegram”.
libtech_81_footnote,"2The letter as published in Indian Opinion is undated, but official records in the archives of the Transvaal Legislative Assembly point to this date."
libtech_82_footnote,"1Vide “Cable to “India”, 28-8-1906 & “The Mass Meeting”, 11-9-1906 “Interview to “the Tribune”, 20-10-1906, “Interview to “the Morning Leader”, 20-10-1906 & “Letter to the Timess”, 22-10-1906 “Presentation to Lord Elgin”, 31-10-1906."
libtech_83_footnote,"1Vide “Letter to The Times”, 12-11-1906 Patrick Duncan was Colonial Secretary from 1903 to 1906."
libtech_84_footnote,1Barristers.
libtech_85_footnote,"2A farce staged in 	the Victoria Indian Theatre, Durban, on July 13, 1907."
libtech_86_footnote,"3Vide “Petition to Transvaal Legislative Assembly’’, 9-7-1907"
libtech_87_footnote,4The words in square brackets are missing in the original.
libtech_88_footnote,
libtech_89_footnote,1A Gujarati proverb.
libtech_90_footnote,"1A general meeting 	of the Natal Indian Congress was held on Saturday, with Dawad 	Mahomed in the chair. Gandhiji spoke on the implications of the 	Asiatic Act."
libtech_91_footnote,"1Vide “The Mass Meeting”, 11-9-1906."
