chapter_no,date,title,content
1,"May 	29, 1945",TELEGRAM TO RAMESHWARI NEHRU,"
       MAHABALESHWAR,  May 	29, 1945  RAMESHWARI 	NEHRU 	WARRIS 	ROAD 	LAHORE  IF	THEY	WENT		FOR	VACATION	YOU	NEED	NOT 	GO    BUT	USE		YOUR	JUDGMENT.   
    From 	a copy: Pyarelal Papers. Courtesy: Pyarelal  BAPU 
   "
2,"May 	29, 1945",LETTER TO C. RAJAGOPALACHARI,"
         MY 	DEAR C. R.,     May 	29, 1945 
 Yours 	written on the train.  	I am overwhelmed with work. Hence the delay, if delay it may be 	called.  	I agree with you about the existence of the evil. My diffculty is as 	to the way to deal with it. I want you to depend upon me to do so as 	soon as I see the way. Nothing will then stop me. Nor am I 	unvigilant. I 	am glad you liked your stay in Mahabaleshwar.  	I hope Papa and Narasimhan came to you at once and that you are 	doing well.  	I am on your latest pamphletlibtech_1_footnote. Love.  BAPU  From 	a photostat: G.N. 2106                  
  "
3,"May 	29, 1945",LETTER TO POTTI SRIRAMULU,"
       DEAR 	SRIRAMULUlibtech_2_footnote,    May 	29, 1945 
  	It is more honest to sell your yarn for the required quantity of 	khadi and take your food from your beggings and devote the rest to 	the Harijan cause. Let the people know your worth. 
     [PS.]  Yours,  BAPU    	Temple entry is not the only way to remove untouchability; it is "
4,"May 	29, 1945",NOTE TO AMRITLAL V. THAKKAR,"
 one 	of the many ways all of which have to be taken.  From 	a photostat: G.N. 106         May 	29, 1945 
   BAPA,   This 	telegram  has  been  received.  I  have  given  the  replylibtech_3_footnotelibtech_4_footnoteas 
 above.     From 	the Gujarati original: Pyarelal Papers. Courtesy: Pyarelal    BAPU "
5,"May 	29, 1945",LETTER TO SITA GANDHI,"
       May 	29, 1945   CHI. 	SITA,  	Your handwriting is good. write to everybody in the same way. 	Equally good handwriting for everyone.  Shivir agnilibtech_5_footnoteseems all right.      V. 	Thakkar”.  
 You can say that on that day we had lighted shivir agni all over the place.
     CHI. 	SITA GANDHI  NANABHAI 	MASHRUWALA’S 	BUNGALOW 	AKOLA, 	BERAR  From 	a photostat’ of the Gujarati: G.N. 4951  Blessings 	to all from  BAPU 
   "
6,"May 	29, 1945",LETTER TO JAYAKUNVAR V. DESAI,"
        CHI. 	JAYA libtech_6_footnote,     May 	29, 1945 "
7,"May 	29, 1945",LETTER TO KRISHNAVARMA,"
 I 	have your letter.  	You may, by all means, marry away Chi. Chandulibtech_7_footnote. Both seem to be worthy of each other. I cannot, 	however, welcome this marriage. I feel for that abandoned lady. How 	will she take it? Manilal is in Bombay.  Blessings 	from  BAPU  From 	a microfilm of the Gujarati: M.M.U./23      
       BHAI 	KRISHNAVARMA,  MAHABALESHWAR,  May 	29, 1945 
  	I have your letter of the 20th. You can certainly let uncle read my 	letters. We all wish that he should get well. For that he should 	live under your care till he recovers completely and should do 	whatever you ask him to do. I hope his health is fast improving.  	Sailen should come to you in a few days. He will write directly to 	you. 
      DR. 	KRISHNAVARMA NATURE 	CURE 	CLINIC 	MALAD  Blessings 	from  BAPU 
  From 	a copy of the Gujarati: Pyarelal Papers. Courtesy: Pyarelal     
  "
8,"May 	29, 1945",LETTER TO NANJI KALIDAS,"
          BHAI 	NANJI,       May 	29, 1945 
  	I have your letter. Shantabehn had been here. Now she has gone to 	Panchgani to make preparations. Neither you nor anyone from your 	family need come here for my sake. Shantabehn is quite capable of 	managing everything all by herself. Then, too, I have a big party 	with me. I leave here on the 31st. Do not worry about me. Look after 	your health. 
      SHETH 	NANJI 	KALIDAS 	MAHARANA 	MILLS 	PORBUNDAR, 	KATHIAWAR  Blessings 	from  BAPU "
9,"May 	29, 1945",LETTER TO RANCHHODDAS,"
  From 	a copy of the Gujarati: Pyarelal Papers. Courtesy: Pyarelal       MAHABALESHWAR,  May 	29, 1945  BHAI 	RANCHHODDAS,  	I have gone through your English letter. I do not want to get 	involved with the questions raised therein. Had you met me I would 	have spent some time in talking to you. How can I prevent you from 	sending to the Press the questions you have raised? What is the 	significance of those questions without my replies? Hope you are 	well.  Yours,  M. K. GANDHI  From 	a copy of the. Gujarati: Pyarelal Papers. Courtesy: Pyarelal 
  "
10,"May 	29, 1945",LETTER TO AMRITLAL V. THAKKAR,"
            BAPA,     MAHABALESHWAR,  May 	29, 1945    I 		 have  your  letter.   I   cannot 		  fall   in   line   		with  Sir Puru-  "
