footnote_no,footnote
libtech_1_footnote,"1This was Gandhiji’s 	contribution to Madhpudo, 	the manuscript 	magazine of the Ashram School, Sabarmati."
libtech_2_footnote,2By Pritamdas (c. 	1720-1798); a 	Gujarati poet and Vedantin
libtech_3_footnote,"1Released on this date through the Associated Press of India; vide The Bombay Chronicle, 2-7-1920"
libtech_4_footnote,"2It contained a scheme of voluntary repatriation of Indians from South Africa to be carried out under Section 6 of the Indians’ Relief Act, 1914; vide “Uncanny”, 14-7-1920."
libtech_5_footnote,3Appointed by the South African Government to enquire into the question of Asiatics trading and holding land in South Africa. The Commission was assisted by Sir Benjamin Robertson on behalf of the Government of India.
libtech_6_footnote,1The office copy of 	the letter has been damaged in many places by termites.
libtech_7_footnote,1Reception Committee
libtech_8_footnote,2The word “Congress” 	in Gandhiji’s hand indicates the file in which the letter was to 	go.
libtech_9_footnote,41872-1947; 	political leader of Maharashtra; author and journalist
libtech_10_footnote,3The consitution 	referred to in this letter was passed in 1920. Vide 	 also
libtech_11_footnote,"11865-1928; social reformer and journalist; president, Calcutta session of the Indian National Congress, 1920; founder of Servants of the People Society"
libtech_12_footnote,2All-India Congress 	Committee
libtech_13_footnote,2A village in Saurashtra
libtech_14_footnote,3Enclosure
libtech_15_footnote,"4Iyengar 	  and Sen;  Vide	“Letter 	to N. C. Kelkar and Others”, 	about 15-6-1920.."
libtech_16_footnote,51892-1942; 	Gandhiji’s secretary for 25 years
libtech_17_footnote,6This paragraph is 	in Gandhiji’s hand.
libtech_18_footnote,
libtech_19_footnote,"1The letter is not given here. It said that, on the Id  day, about 300 Muslims  had resolved not to use foreign articles so long as the khilafat question remained unsolved."
libtech_20_footnote,"1The letter which is not given here, complained that Navajivan had not fulfilled the hopes it had raised when it was started but, on the contrary, it had been deteriorating day by day."
libtech_21_footnote,"21878-1931; orator, journalist and politician; led the khilafat delegation to England in 1920; president of the Indian National Congess, 1923. This cable was sent to the addressee at London."
libtech_22_footnote,"3In Saurashtra. Navajivan, 27-6-1920, had published an account of D. B. Kalelkar and Narahari Parikh’s visit to the village."
libtech_23_footnote,"3Vide, Appendix “Muslim Leaders’ Representation to Viceroy”, 22-6-1920."
libtech_24_footnote,1As alleged in the letter under comment
libtech_25_footnote,"1 The size was reduced, first from 16 to 12 and then to 8 pages; vide"
libtech_26_footnote,1This note is unsigned.
libtech_27_footnote,"1Henry David Thoreau (1817-1862); American recluse, naturalist and writer"
libtech_28_footnote,2Vallabhbhai Patel (1875-1950); Congress leader from Gujarat; first Deputy Prime Minister of free India
libtech_29_footnote,"3In its issue of June 29, 1920."
libtech_30_footnote,"4Among the signatories were Yakub Hasan, Mazharul Haq. Maulana Abdul Bari, Hasrat Mohani, Shaukat Ali and Dr. Kitchlew."
libtech_31_footnote,"5Vide “Letter to Viceroy”, 22-6-1920."
libtech_32_footnote,"1Of 22-6-1920; vide “Muslim Leaders’ Representation to Viceroy”, 22-6-1920."
libtech_33_footnote,"2vide “Letter to Viceroy”, 22-6-1920."
libtech_34_footnote,11863-1945; British statesman; Prime Minister 1916-22
libtech_35_footnote,1Joseph Baptista; Congress leader from Bombay
libtech_36_footnote,"1Lieutenant-Governor of the Punjab, 1913-9"
libtech_37_footnote,1Wife of Pandit Rambhuj Dutt Chaudhry and grand-niece of Rabindranath Tagore. She and her husband became followers of Gandhiji in 1919 and sent their son Dipak to be educated at Sabarmati.
libtech_38_footnote,"2Deputy Commissioner, Ambala; one of the martial law officers, known for his tryanny."
libtech_39_footnote,1Sages
libtech_40_footnote,3Other martial law officers
libtech_41_footnote,"4The reference here is to Col. O’Brien, Deputy Commissioner of Gujranwala."
libtech_42_footnote,1Members of a community of Saurashtra
libtech_43_footnote,"1Under the presidentship of Mrs. Jaiji J. Petit, wife of Jehangir B. Petit of Bombay; vide “Duty of Women”, 18-7-1920."
libtech_44_footnote,"2Published on March 25, 1920; vide “Congress Report on the Punjab Disorders”, 25-3-1920."
libtech_45_footnote,"1On Thursday, 	July 8, 1920, 	Gandhiji was in Bombay 	and he went to Ahmedabad for a day (as stated in the last paragraph) on Monday, July 12."
libtech_46_footnote,21891-1957; 	member of Gandhiji’s 	team of constructive 	workers in Sabarmati 	since 1917
libtech_47_footnote,"1Deliverance from phenomenal existence, regarded as supreme end of life"
libtech_48_footnote,"1The message was addressed to the Executive Committee of the Rajakiya Mandal (Political Conference) which was to meet on July 11. The Conference took place on August 27, 28 and 29."
libtech_49_footnote,3Psycho-physical 	control
libtech_50_footnote,2Vide the following item.
libtech_51_footnote,"4Physician 	practising Ayurveda, 	an indigenous system 	of medicine"
libtech_52_footnote,"3Indulal Yagnik, an active political worker. Gandhiji took over Navajivan"
libtech_53_footnote,"5Acharya Vinoba 	Bhave (1895-); Gandhiji’s greatest disciple; founder of Bhoodan 	and Gramdan movements; author of Talka 	on the Gita, etc."
libtech_54_footnote,"4Vide “Gujarat’s Duty”, 11-7-1920."
libtech_55_footnote,6Yogic exercises
libtech_56_footnote,1Vide the 	preceding item
