footnote_no,footnote
libtech_1_footnote,"1Secretary, District 	Congress Committee, Mirpurkhas (Sind), who 	in his letter dated 	April 28, had sought 	Gandhiji’s veiws on 	Mirpurkhas cloth 	merchants’ decision to 	sell sealed foreign cloth 	against the Congress 	directive and the 	counter-decision of 	satyagrahis to 	resort to 	picketing and 	hunger strike."
libtech_2_footnote,"2From The 	Hindu, 30-4-1931"
libtech_3_footnote,"3Dated 19-4-1931; 	vide “To 	The Satyagrahi Farmer”, 19-4-1931"
libtech_4_footnote,4In a translation of 	the item found in Home Department Political file the word “Khatedar” 	has been used.
libtech_5_footnote,1Gandhiji was at 	Borsad up to May 11 when he left for Simla. This address was given 	in this and in other letters for convenience of reply.
libtech_6_footnote,2Written from the 	United States and England
libtech_7_footnote,"1Of Bhagat Singh, 	Sukhdev and Rajguru"
libtech_8_footnote,1A word here is illegible in the source.
libtech_9_footnote,"1Gandhiji went to 	Simla on May 13 and thereafter to Nainital on May 18,"
libtech_10_footnote,2A few words here are illegible in the source.
libtech_11_footnote,"1Vide “Message to Bomba Citizens”, 14-9-1921"
libtech_12_footnote,"2Vide “Letter 	to C. Vijayaraghavachariar”, 29-4-1931"
libtech_13_footnote,"1Vide “Interview to the Press”, 18-4-1931"
libtech_14_footnote,"2Held on September 22, 1921; vide"
libtech_15_footnote,"1From The 	Hindu, 1-5-1931"
libtech_16_footnote,"1Following the 	agitation over the execution of Bhagat Singh the Governor of the 	Punjab, on April 25, 1931, had issued a warning that the ordinary 	law about incitement to violence would in future be vigorously 	enforced against Congressmen as well as others."
libtech_17_footnote,1From the 	addressee’s reply of May 9 on behalf of Home Department Government 	of Bombay
libtech_18_footnote,1This was issued to 	contradict certain reports which had appeared in a Bombay newspaper.
libtech_19_footnote,2A noted business 	man of Delhi
libtech_20_footnote,1Mahatma Gandhi’s 	Ideas (1929) and 	Mahatma Gandhi : His 	Own Story (1930)
libtech_21_footnote,"2Vide “Letter 	to Haribhau Upadhyaya”, 6-5-1931."
libtech_22_footnote,"1Ghose  was  	President  of  the   Indian   National 	  Congress   of 	  America, New York city"
libtech_23_footnote,2Prof. P. A. Wadia
libtech_24_footnote,"3Vide also 	“Bahadurji Committee’s Report”, 23-7-1931."
libtech_25_footnote,1In this the 	addressee had pleaded the case of the Garhwali soldiers who had 	disobeyed orders and had been sentenced to various terms of 	imprisonment.
libtech_26_footnote,"1The Gujarati original of this appeared in Navajivan 3-5-1931. This is a translation by Pyarelal, with the following introductory note : “A lady correspondent from Ghatkopar having invited Gandhiji to express his opinion on an alleged case of sati that was recently reported in a Bombay vernacular paper Gandhiji has delivered himself on the subject in an article in the Navajivan as follows.” Vide also"
libtech_27_footnote,1Seven steps
libtech_28_footnote,"1A similar item “To Private and Personal Correspondents,” under “Notes”, also appeared in Young India, 7-5-1931."
libtech_29_footnote,"1Not translated here. The correspondent had pointed out the  artificial separation of Hindus and Muslims in various fields and suggested that these barriers be broken. For the first question, vide “Power of Ahimsa”, 7-5-1931"
libtech_30_footnote,1Mr. Perry
libtech_31_footnote,"1Dr. Haridas T. Muzumdar, author of Gandhi the Apostle (1923); Gandhi versus the Empire (1932); Gandhi Triumphant (1939), Mahatma Gandhi : Peaceful Revolutionary (1952), Mahatma Gandhi : A Prophetic Voice  (1963) and  The Grammar of Sociology : Man in society (1966). He visited India during the Lahore Congress, 1929, stayed with Gandhiji at the Sabarmati Ashram during January-March 1930 and accompanied him on the Dandi March. He was also with Gandhiji during the Round Table Conference."
libtech_32_footnote,"2In reply, the 	addressee wrote : “I agree with you about borrowing on interest. 	We do not exclude arrangements amongst friends or the like.”"
libtech_33_footnote,"2Not available; the addressee, it would appear, had written a strong letter"
libtech_34_footnote,"3Vide “Foreign 	Missionaries Again”, 7-5-1931"
libtech_35_footnote,"1Vide   “Notes” 	sub-title Sold Lands”, 7-5-1931"
libtech_36_footnote,"2Vide   “Letter 	to Dr. Syed Mahmud”, 19-4-1931"
libtech_37_footnote,1Shaukat Ali
libtech_38_footnote,1Tan Yun-Shan had brought a letter from the 13th Dalai Lama of Tibet. It was written in Tibetan and no one could read it. Gandhiji said that he would acknowledge the message in Gujarati so that the Dalai Lama might enjoy it without understanding it. According to Mirabehn’s note this is an English rendering of the Gujarati original which is not available.
libtech_39_footnote,2Motilal Nehru’s 	widow
libtech_40_footnote,1Ratilal’s wife
libtech_41_footnote,3Vijayalakshmi 	Pandit
libtech_42_footnote,"2Son of Dr. Pranjivan Mehta, who had become demented"
libtech_43_footnote,"4The addressee had 	met Gandhiji at Bardoli and requested him to bless the Chinese 	students with a message. The message “was widely published in 	almost all the important Chinese Journals and was appreciated, not 	only by the students, but by the whole people”."
libtech_44_footnote,
