chapter_no,date,title,content
1,,LETTER TO K. S. RAMABHADRA AYYAR,
2,"March 	10, 1933","LETTER TO SURENDRA MOHAN
BHATTACHARYA","
       March 	10, 1933  DEAR 	FRIEND,  	I have your letter of 22nd ultimo. I do not encourage your advances 	because your letters create no favourable impression on me. They 	seem to be unbalanced and if what you write creates a bad impression 	on me your visit is not likely to improve matters, hence I do not 	like the idea of your wasting your money in travelling here and then 	wasting your time and mine. I assure you that I have not a single 	minute to spare.  Yours 	sincerely,  SJT. 	K. S. RAMABHADRA 	AYYAR 	ADVOCATE, 	HIGH COURT  LUZ 	MYLAPURE, MADRAS  From 	a microfilm: S.N. 20532       March 	10, 1933  DEAR 	FRIEND, I 	have your letter for which I thank you.  	You remind me of slave-owners of old who used to recount their 	services to their slaves in that they gave them food and shelter 	some- what after the style in which they gave both to their cattle, 	only the treatment of the slaves was in many respects worse than 	that of their cattle and in no respect better, and it is quite 	evident to me that you do not even take the trouble of knowing what 	educated and religiously- minded Hindus have done and are doing for 	Harijans whom they do not consider in any shape or form lower than 	themselves but regard them as their own kith and kin.  Yours 	sincerely,  SJT. 	SURENDRA MOHAN 	BHATTACHARYA 	VEDANTA 	SHASTRI  VILLAGE 	ALGI  P.O. MADHABOLI 	DT. 	DACCA  From 	a microfilm: S.N. 20521   
  "
3,"March 	10, 1933",LETTER TO L. N. HARDAS,"
          DEAR 	FRIEND,       March 	10, 1933 "
4,"March 	10, 1933",LETTER TO M. A. GOPALASWAMI IYENGAR,"
  	I am sorry that being preoccupied I have not been able to reach your 	letter of the 10th February earlier than now. Even if I had  reached 	your letter earlier I could not have sent you anything, but you are 	at liberty to copy anything you like from my writings in the 	Harijan.  Yours 	sincerely,  SJT. 	L. N. HARDAS  C/O 	THE “MAHARATTA” 	KAMPTEE (C.P.)  From 	a microfilm: S.N. 20536       March 	10, 1933  DEAR 	FRIEND,  	I have not been able to deal with your letter of 23rd February 	earlier. Please excuse me.  	1 think that you are quite right in your contention that if the 	Untouchability Abolition Bill is passed, Temple-entry Bill is 	unneces- sary. If you can therefore get the Abolition Bill passed in 	the Mysore Asse-mbly, it would be unnecessary to press for the 	passage of the Temple- entry Bill so far as Mysore is concerned. But 	you will see to it that the interpretation of the Abolition Bill is 	accepted by the sanatanists. If that is achieved the rest may be 	left to the ripening of public opinion.  Yours 	sincerely,  SJT. 	M. A. GOPALASWAMI IYENGAR 	ADVOCATE  BANGALORE 	CITY  From 	a microfilm: S.N. 20535 
  "
5,"March 	10, 1933",LETTER TO E. LINDSAY,"
          DEAR 	SISTER,       March 	10, 1933 "
6,"March 	10, 1933",LETTER TO MICHAEL LINDSAY,"
  	I was delighted to have your letter and to have the beautiful 	anecdote about the social worker. I have just glanced through the 	lines you have sent me. Did I never tell you that I was very stupid 	at judging poetry? I shall therefore need to read your lines half a 	dozen times before their beauty and message will dawn upon me. 	Mahadev is a poet and he has no difficulty about making up his mind 	when he sees a piece of beautiful poetry. I shall therefore seek his 	assistance. He is doing his work only within a few feet of me, but 	we are so immersed in our tasks that we have hardly time to talk 	about so many common things and interests apart from the task in 	front of us.  Yours 	sincerely,  MADAM 	E. LINDSAY 	BALLIOL 	COLLEGE 	OXFORD  From 	a photostat: S.N. 20529       March 	10, 1933  MY 	DEAR MICHAEL,  	I was so glad you sent your little note with Mother’s letter. We 	have often thought of you.  	The two sayings you have sent me of Confucius are very beautiful and 	very seasonable for me.libtech_1_footnote  	Please remember us to Father, and accept Mahadev’s and my regards 	for yourself.  Yours 	sincerely,  MICHAEL 	LINDSAY, 	ESQ.  From 	a microfilm: S.N. 20531          
  "
7,"March 10, 1933","LETTER TO THE MANAGER, “MILAP”","
  
 March 10, 1933
 THE MANAGER THE “MILAP” LAHORE
 DEAR FRIEND,
 It was not possible to send you any message in reply to your telegram. I am therefore returning the voucher received by me so as to enable you to collect the rupee.
 Yours sincerely,
 From a microfilm: S.N. 20527
 "
8,"March 10, 1933",LETTER TO USHAKANTA MUKHOPADHYA,"
  
 March 10, 1933
 DEAR FRIEND,
 I thank you for your interesting letter which I have read care- fully. There is no difficulty about understanding your letter. The prescription that you have suggested is being followed in all the parts of the country. Sanskrit literature has been translated in the vernacu- lars and is accessible to even the illiterate masses.
 As far as the law is concerned, there is no question of compel- ling anybody to regard any other as untouchable. The object of the Bill is to withdraw the sanction of the law to a custom which cannot be defended by any ordinary rule of morality. The law is simply meant to give the reformer the scope of bringing the message to those who will listen to it.
 Yours sincerely,
 SJT. USHAKANTA MUKHOPADHYA 12 MUKHERJIPARA LANE KALIGHAT, CALCUTTA
 From a microfilm: S.N. 20526"
9,"March 10, 1933","LETTER TO THE PRESIDENT, YOUNG MEN’S
	BUDDHIST ASSOCIATION","
  
 March 10, 1933
 THE PRESIDENT
 YOUNG MEN’S BUDDHIST ASSOCIATION MAHA BODHI ASHRAM
 PERAMBUR, MADRAS
 
 DEAR FRIEND,
 I  have your letter. I wish that it was in my power to help you.libtech_2_footnoteWhatever was possible for me to do I did some years ago.libtech_3_footnote
 Yours sincerely,
 From a microfilm: S.N. 20537
 "
10,"March 10, 1933",LETTER TO SAMANERA SANGHARATNA,"
  
 March 10, 1933
 DEAR FRIEND,
 I have your letter for which I thank you. I have in my own way tried to do whatever was possible in connection with Buddha Gaya Temple.libtech_4_footnoteMore is not possible at the present moment.
 Yours sincerely,
 SJT. SAMANERA SANGHARATNA MULAGANDHA KUTI VIHARA SARNATH, BENARES
 From a microfilm: S.N. 20523
 "
