chapter_no,date,title,content
1,"September 	16, 1934",LETTER TO DUNICHAND,"
         WARDHA, 
  September 	16, 1934   DEAR 	LALA DUNICHAND,    	You have come to the wrong man. Do you know that I rarely attend the 	meetings of the Parliamentary Boardlibtech_1_footnote? In Their selection of individual candidates I have 	absolutely no part. I have been involved in solving the problem of 	Malaviyaji’s party.libtech_2_footnoteYou have rightly written exhaustively to Maulana Abul 	Kalam Azad. Let him consider the question. This matter of selection 	is absolutely beyond me.  Yours sincerely,  M. K. GANDHI  LALA 	DUNICHAND, 	B.A. 	KRIPA NIVAS  AMBALA 	CITY   From 	a copy: Pyarelal Papers. Courtesy: Pyarelal   "
2,"September 	16, 1934",LETTER TO SHANTA PATEL,"
         CHI. 	SHANTA libtech_3_footnote,     September 	16, 1934 
  	I am returning your letter with this. I can’t  understand  why you 	want it back. I have explained all my reasons to Maganbhai. I will 	not, therefore, spend time in repeating them here. You will get    	my    blessings.    Isn’t    that    enough?libtech_4_footnotelibtech_5_footnoteHave 	   you    informed       
 Lakshmidasbhai? What are you studying at present? I hope you know that Ba is there just now, and also that Ramdas is ill.
      SMT. 	SHANTABEHN 	SHANKARBHAI 	PATEL 	JAMES VILLA  ELLIS 	BRIDGE 	AHMEDABAD libtech_6_footnote  Blessings 	from  BAPU "
3,"September 16, 1934",LETTER TO VALLABHBHAI PATEL,"
  From 	a photostat of the Gujarati: G. N. 4071. Also C.W. 22. Courtesy: 	Shanta  Patel       [September 16, 1934]libtech_7_footnote  BHAI 	VALLABHBHAI,  	I got your letter. The Kaka affair has become a painful one. But you 	should laugh away the thing. It will all subside by and by. I think 	there is no malice behind the outcry. I am trying to calm it and 	hope to succeed. There is nothing but simple misunderstanding behind 	the whole affair. I will not let Kaka go in this manner. I have sent 	you a copy of the letterlibtech_8_footnotelibtech_9_footnoteI have written to Mavalankar.  	Kaka has been laid up with fever from the very next day after he 	arrived here. The temperature has not come down even once. It was 	above 100° this morning. It rises to 102°. There are no other 	symptoms, except cold and a little cough. There is some fear that it 	may be typhoid. Write a brief note to him. Joneslibtech_10_footnotelibtech_11_footnoteis 	better but not quite well. Write a few lines to him also. Dr. 	Khan Saheblibtech_12_footnotelibtech_13_footnoteexamines him.  	Both the brothers went to Akola yesterday. They were dragged to 	Khamgaon from there. They were to return today, but now they will 	return tomorrow.   
   Diary.        
 I am sending a letter from Lala Sham Lal for you to read. It seems there has been some haste in regard to Dunichand.libtech_14_footnoteThere was another wire from him.
      SARDAR 	VALLABHBHAI 	PATEL 	89 WARDEN 	ROAD  BOMBAY [From 	Gujarati]  Bapuna 	Patro-2: Sardar Vallabhbhaine, 	p. 132  Blessings 	from  BAPU 
   "
4,"September 	16, 1934",LETTER TO K.,"
         CHI. 	K.libtech_15_footnote,        September 	16, 1934 
 . 	 .  .  ’slibtech_16_footnotelibtech_17_footnoteis a pathetic tale. . . .libtech_18_footnotelibtech_19_footnotehas 	badly deceived us. 	was  	simply enticed. Of course, she too was at fault. Ultimately, we may 	say	fled from here. He did not even see me before leaving; he had  	told many lies too. Even in Sabarmati he had been given to 	self-indulgence. The whole affair is deplorable.	seems to be a  	simple innocent girl like any other Malabar girl. It seems somewhat 	risky to keep her here. Anyway her husband must be informed, but I 	do not wish to take any step without consulting you. You may come 	over here if that is necessary. There is no cause for panic.       	is well  	looked after. I meet her now almost daily. Her letter is enclosed. 	[From Hindi]  From 	the manuscript of Mahadev Desai’s Diary. Courtesy: Narayan Desai                   
  "
5,"September 	17, 1934",STATEMENT TO THE PRESS,"
        WARDHAGANJ, 
  September 	17, 1934  	The rumour that I had contemplated severing all physical connection 	with the Congress was true. However, for considerations urged by 	many friends who had come to Wardha during the meetings of the 	Working Committee and the Parliamentary Board last week, I agreed 	with them that it might be safer for me to leave the Congress, if at 	all, after the forthcoming session. There was an intermediate course 	suggested by Pandit Govind Vallabh Pant and Mr. Rafi Ahmed  Kidwai 	of remaining in the Congress without participating  in  the active 	administration of the organization but both Sardar Vallabhbhai Patel 	and Maulana Abul Kalam Azad strongly disapproved of that course. 	Sardar Vallabhbhai had agreed with me that the time had arrived for 	me to retire from the Congress but many others would not endorse 	that view.  	After due consideration of all the pros and cons 1 have adopted the 	safe and prudent course of postponing the final step, at least till 	after the meeting of the Congress session in October.  	one tempting idea behind the insistence on postponement was that it 	would enable me to test the accuracy of my impression that a very 	large body of Congress intelligentsia were tired of my method and 	views, and the programme based upon them, that I was a  hindrance 	rather than a help to the natural growth of the Congress, that 	instead of remaining the most democratic and representative 	institution in the country, the Congress had degenerated into an 	organization dominated by my one personality and that in it there 	was no free play of reason.  	If I am to test the truth or otherwise of my impression, naturally  	I must put before the public the reason on which my impression was 	based and my own proposals based thereon. Congressmen might vote on 	them and thus clearly register their opinion. I must try to do this 	as briefly as I can.  	It has appeared to me that there is a growing and vital difference 	of outlook between many Congressmen and myself.  	I seem to be going in a direction just opposite of what many of the 	most intellectual Congressmen would gladly and enthusiastically 
 take, if they were not hampered by their unexampled loyalty to me. No leader can expect greater loyalty and devotion than  I  have  received from intellectually-minded Congressmen even when  they have protested and signified their disapproval of the policies It have laid before the Congress. For me any more to draw upon this loyalty and devotion is to put undue strain upon them.
 Their loyalty cannot blind my eyes to what appears to me to be fundamental differences between the Congress intelligentsia and me.
 Let me state them. I put the spinning-wheel and khadi in the forefront. Hand-spinning by the Congress intelligentsia has all but disappeared. The general body of them have no faith in it and yet if I could carry their reason with me, I would substitute the four-anna franchise by personal daily hand-spinning. The khadi clause of the Congress constitution has been almost a dead letter from the beginning and Congressmen have not been wanting who have reminded me that I am responsible for the hypocrisy and evasion about the working of the khadi clause. I ought to have realized that it was not passed out of deep conviction, but largely out of personal loyalty to me. I must own that there is considerable force in the argument.
 Nevertheless my conviction is growing that if India is to win complete independence in terms of the toiling millions and through unadulterated non-violence, the spinning-wheel and khadi have to be as natural to the educated few as to the partially unemployed and semi-starved millions, who, for not using their hands for the purpose for which nature has endowed man with them, have become almost like beasts of burden. The spinning-wheel is thus an  emblem  of human dignity and equality in the truest sense of the term. It is the handmaid of agriculture. It is the nation’s second lung. We are perishing because we are using only one lung. Yet only a few Congressmen have a living faith in the Indiawide  potency  of  the wheel.
 The removal of the khadi clause in the constitution would mean a removal of the living link between the Congress and the millions whom it has from its inception sought to represent and yet  if  it remains it has to be rightly enforced; but it cannot be, if a substantial majority of Congressmen have no living faith in it.
 Take again the Parliamentary Board. Though the author of non-co-operation I am convinced that in the present circumstances of
 the country and in the absence of any general scheme of civil resistance, a Parliamentary Party within the Congress is the necessary part of any programme that may be framed by the Congress but there are sharp differences of opinion among us on that point. The force with which I urged-the programme at the A. I. C. C. meeting in Patna,libtech_20_footnoteI know, oppressed many of our best colleagues but they hesitated to act according to their own conviction.
 Up to a point suppression of one’s views in favour of those of another considered superior in wisdom or experience is virtuous and desirable for healthy growth of an organization. It becomes a terrible oppression when one is called upon to repeat the performance from day to day.
 Though I have never wished any such untoward result, I cannot conceal from me or the public the tragic fact that such has been my own experience. Many have despaired of resisting me. This is a humiliating revelation to me, a born democrat. I make that claim if a complete identification with the poorest of mankind, an intense longing to live no better than they and a corresponding conscious effort to approach that level to the best of one’s ability can entitle one to make it.
 I have welcomed the formation of the Socialist Group.libtech_21_footnotelibtech_22_footnoteMany of them are respected and self-sacrificing co-workers. With all this, I have fundamental differences with them on the programme published in their authorized pamphlets. But I would not by reason of the moral pressure I may be able to exert suppress the spread of ideas propounded in their literature. I may not interfere with the free ex- pression of those ideas however distasteful some of them may be to me.
 If they gain ascendancy in the Congress, as they well may, I cannot remain in the Congress. For me to be in active opposition should be unthinkable. Though I have identified myself with many organizations during a long period of public service I have never accepted that position.
 Then there is the policy advocated by some in regard to the States which is wholly different from what I have advised. I have given many an anxious hour to the question but I have not been able to alter my view.
 
 Even on untouchability my method of approach is perhaps different from that of many if not most Congressmen. For me, it is a deeply religious and moral issue. Many think that it was a profound error for me to have disturbed the course of the civil resistance struggle by taking up the question in the manner and at the time I did.   I feel that I would have been untrue to myself, if I had taken any other course. Last of all take non-violence. After 14 years of trial it still remains a policy with the majority of Congressmen whereas it is a fundamental creed with me. That Congressmen do not still regard non-violence as a creed is no fault of theirs. It is undoubtedly my faulty presentation and still more faulty execution that are responsible for this failure. I have no consciousness of faulty presentation or execution. But it is the only possible inference from the fact that it has not yet become an integral part of the lives of Congressmen.
 And if there is uncertainty about non-violence there must be still more about civil resistance. In spite of my 27 years of study and practice of the doctrine, I cannot claim to know all about it. The field of research is necessarily limited as occasions for civil resistance in a man’s life must not be frequent. It can only come after voluntary obedience to authority, whether of parents, teachers or other elders, religious or secular. There need be no wonder that as the only expert, however imperfect among us, I should have come to the conclusion that it should for some time to come be limited only to me. This was necessary in order to minimize errors and mischief proceeding from them as also to explore its hidden possibilities. But again for no fault of Congressmen it has been increasingly difficult for me to carry the reason of fellow Congressmen  with  me  in  all  resolutionslibtech_23_footnoterecently passed on the subject, while they have generously voted for them.
 Even the memory of the sense of opposition which they experienced at the time of voting without an intelligent belief in these resolutions oppresses me just as much as they were oppressed. They and I must be free from this oppression if we are all to grow in pursuit of what we believe to be the common goal. Hence it is necessary for all concerned to act freely and boldly according to their convictions.
 I have in my Patna statementlibtech_24_footnote, recommending the suspension of civil resistance, drawn attention to the failure of civil resistance to achieve two obvious results. If we had the full non-violent spirit in us
 
 it should have been self-evident and should not have escaped the notice of the Government that their ordinances were certainly not warranted by any of the ‘misdeeds’ done by or imputed to us. They were undoubtedly intended to break our spirits anyhow, but it would be wrong if we contended that civil resisters were above reproach. If we were non-violent through and through our non-violence would have been self-evident.
 Nor were we able to show to the terrorists that we had greater faith in our non-violence than they in their violence. On the contrary many of us made them feel that we had the same spirit of violence  in our breasts that they had. Only we did not believe in deeds of violence.
 Terrorists rightly argued that if the spirit of violence was common to both, the policy of doing or not doing violence was a matter of opinion. I need not repeat what I have said before that the country has made great strides towards non-violence indeed and that many have exhibited great courage and self-sacrifice. All I want to say is that ours has not been unadulterated non-violence in thought, word and deed.
 It is now my paramount duty to devise ways and means of showing demonstrably to the Government and the terrorists the  efficacy of non-violence as a means of achieving the right thing including freedom in every sense of the term.
 For this experiment, to which my life is dedicated, I need complete detachment and absolute freedom of action. Satyagraha, of which civil resistance is but a part, is to me the universal law of life. ‘Satya’, in truth, is my God. I can only search Him through non-violence and in no other way and the freedom of my country as of the world is surely included in the search for truth.  I  cannot suspend this search for anything in this world or another.
 I have entered political-life in pursuit of this search and if it cannot carry reason as well as heart of the educated Congressmen when I say that this search necessarily includes complete  independence, and many other things which may be part of truth, it is plain I should work single-handed in implicit faith that what I fail to make clear to my countrymen today shall be clear to them some day of itself or, if God wills it, through some apt word He may put in my mouth or some apt work which He may prompt me to do.
 In matters of such tremendous importance a mechanical vote or a grudging assent will be wholly inadequate if not injurious to the cause itself.
 I have referred to the common goal, but I have begun to doubt if all Congressmen understand the same thing by the expression complete independence. I want for India complete independence in the full English sense of that English expression. For me poorna swaraj has an infinitely larger meaning than complete independence, but even poorna swaraj is not self-explained. No one word or compound expression will give us a meaning which all can  understand. Hence on several occasions I have  given  several definitions of swaraj. I hold that they are all true, not at all self-contradictory. They are all hopelessly incomplete even when put. together, but I do not wish to labour this point further.
 My mention of the difficulty, if not impossibility, of giving a complete definition leads me to another serious point of difference between many Congressmen and myself.
 I have always said since 1908 that means and end  are convertible terms and that, therefore, where the means are various and even contradictory the end must be different and even contradictory. We have always control over the means, never on the end, but may not bother about its content if we all em-ploy identical means with  identical connotation for them. It will be admitted that many Congressmen do not admit this, to me the obvious truth. They believe that end justifies means whatever they may be.
 It is the sum total of these differences which has sterilized the existing Congress programme because members who gave their lip-assent to it, without believing in it, have naturally failed to reduce it to practice and yet I have no other programme save the Congress programme now before the country. Untouchability, Hindu-Muslim unity, total prohibition, hand-spinning with khadi and cent per cent swadeshi in the sense of the revival of village industries and general reorganization of seven lakhs of villages ought to give all satisfaction that one’s love of one’s country may demand.
 Personally I would like to bury myself in an Indian village, preferably in a Frontier village. If the Khudai Khidmatgars are truly non-violent they will contribute the largest share to the promotion of non-violent spirit and of Hindu-Muslim unity, for if they are non-violent in thought, word and deed and are lovers of
 Hindu-Muslim unity, surely through them we should see the accomplishment of the two things we need most in this land. The Afghan menace which we dread so much should then be. a thing of the past.
 I am, therefore, yearning to test the truth for myself of the claim that they have imbibed the spirit of non-violence and are believers in the heart-unity of Hindus, Mussalmans and others. I should like also personally to deliver the message of the spinning-wheel to them. In this and various such other ways I would love to serve the Congress in my own humble manner, whether I am in it or outside.
 I have reserved to the last any reference to the growing  corruption in our ranks. I have already said enough about it in public. In spite of all I have said the Congress still remains in my estimation the most powerful and most representative  organization  in  the country. It has a history of uninterrupted noble service and self-sacrifice. From its inception it has weathered storms, as no other institution has done. It has commanded a measure of self-sacrifice of which any country would be proud. It holds today the largest number of devoted men and women of unimpeachable character. If I must leave this organization I shall not do so without a wrench and I should do it only when I am convinced that by being outside I would serve it, that is, the country better than by being in it.
 I propose to test the feeling of the Congress on all the points I have touched by placing before the Subjects Committee certain resolutions giving effect to the views enunciated above.
 The first amendment I would propose is to replace the words “legitimate and peaceful” by the words ‘truthful and non-violent’. I should not have done so but for the purpose of the opposition which was raised against the utterly innocent use by me of the two adjectives in place of “legitimate and peaceful”. If Congressmen really believe in the necessity of truthfulness and non-violence for the attainment of our goal they should have no hesitation about accepting the unequivocal adjectives.
 The second amendment would be to replace the four-anna franchise by the delivery, by every member to a Congress depot, of 2,000 rounds (one round equal to four feet) per month of well-twisted even yarn of not less than 15 counts spun by himself or herself. On proof of Poverty, with enough cotton for spinning the requisite quantity, the arguments for and against need not be repeated here. If
 we are to be a truly democratic body representing even the lowest paid labourer, we cannot do it better than by devising a simple labour franchise.
 Hand-spinning is by common consent the lowest paid labour and yet the most dignified. It is the nearest approach to  adult  franchise, within the means of almost everyone who is  willing  to labour for the sake of the country for half an hour daily. Is it too much to expect the intelligentsia and propertied classes to recognize the dignity of labour irrespective of the material benefit it brings? Is not labour, like learning, its own reward? If we are true servants of the masses, we would take pride in spinning for their sakes.
 I recall what the late Maulana Mahomed Ali used to repeat from many a platform. As the sword was the symbol, he would say, of brute force and might, the wheel or the takli was the symbol  of  non-violence, service and humility. When the wheel was accepted as part of the National Flag it was surely implied that the  spinning- wheel would hum in every household. If Congress men do not believe in the message of the wheel, we must remove it from the National Flag and khaddar from the constitution. It is intolerable that there should be unashamed fraud in the observance of the khaddar clause.
 The third amendment I should propose would be that no one shall be entitled to vote to any Congress election whose name has not been on the Congress register continuously for six months without default and who has not been a habitual wearer wholly of khaddar for that period. Great difficulty has been experienced in the working of the khaddar clause. It can be easily avoided by giving powers, subject to appeal to the President of the Congress, to the chairmen of the respective committees to decide the question as to whether a particular voter is or is not a habitual wearer wholly of khaddar within the meaning of the constitution. No one is to be considered such a wearer who at the time of voting is not manifestly wholly clad in khaddar. But no rule however carefully and strictly worded can produce satisfactory results if a large number do not voluntarily carry it out.
 Experience has shown that the Congress is an unwieldy organization even with 6,000 delegates. In practice the full number has never attended the Congress and when this Congress register nowhere contains a truly representative list the delegation can hardly be claimed to be as reality.
 I would, therefore, have an amendment for the purpose of reducing the number to not more than 1,000 delegates, not more than one delegate per every thousand voters. To have full number of delegates would mean one million voters, not an overambitious hope in a country having a population of 315 millions. The Congress would by this amendment gain in substance what it may lose in the show of numbers.
 The spectacular part of the session would be kept intact by making ample provision for visitors, but the Reception Committees will be spared the wholly unnecessary anxiety of having to provide accommodation for an unwieldy number of delegates.  Let  us recognize the fact that the Congress enjoys prestige, democratic character and influence not by the number of the  delegates  and visitors it has drawn to its annual functions but by the ever increasing amount of service it has rendered.
 Western democracy is on its trial, if it has not already proved a failure. May it not be reserved to India to evolve the true science of democracy by giving a visible demonstration of this fitness? Corruption and hypocrisy ought not to be inevitable products of democracy as they undoubtedly are today; nor bulk a true test of democracy. True democracy is not inconsistent with a few persons representing the spirit, the hope and the aspirations of those whom they claim to represent. I hold that democracy cannot be evolved by forcible methods. The spirit of democracy cannot be in posed from without. It has to come from within.
 I have mentioned here only the principal amendments I should propose in the constitution. there would be other resolutions bringing out clearly the points I have touched upon in the foregoing paras. I don’t need to burden this statement with them.
 My fear is that even the amendments I have named will hardly commend themselves to the large number of Congressmen who will attend the Congress. Nevertheless if I am to guide the policy of the Congress I hold them and the resolutions in keeping with the spirit of this statement to be essential for the earliest attainment of our goal.
 No voluntary organization can succeed in its purpose without its resolutions and policies being carried out whole-heartedly by its members and no leader can give a good account of himself if his lead
 is not faithfully, ungrudgingly and intelligently followed and this is true of a leader who has no resource at his disposal but what truth and non-violence can supply.
 It follows, therefore, that there is no room for compromise on the essentials of the programme I have endeavoured to adumbrate in these paras. Let Congressmen, therefore, examine it dispassionately and on its merits. They must eliminate me from their consideration and give effect to the dictates of their reason.
 The Bombay Chronicle, 18-9-1934
 "
6,"September 	17, 1934",LETTER TO TAN YUN-SHAN,"
         DEAR 	FRIEND,     September 	17, 1934 "
7,"September 	17, 1934",LETTER TO MAHESH CHARAN MOWAR,"
  	I have your two letters. I was unable to overtake yours of 4th 	September before now. I wish you every success in your mission of 	love in China. I have no doubt that all individual  effort  in  the 	direction of mutual understanding will bear fruit in the long run. 	You shall certainly correspond with me as often as you like, and I 	shall endeavour to reply to your letters as soon as I can. I hope 	that it will be possible for you to return to India to continue your 	work. And when you return, you shall certainly stay with me if I am 	still free and settled at one place. I had your book which of course 	is hieroglyphics to me, I am sorry to say.  PROF. 	TAN YUN-SHAN 	SANTINIKETAN  From 	a copy: Pyarelal Papers. Courtesy: Pyarelal       September 	17, 1934  DEAR 	FRIEND,  	I have your letter. The way to prove the truth of the statement  I   	have   made   is   not   by   coining   conundrums  which   cannot  	be satisfactorily solved,  but  to  see  the  working  of  God’s  	will  in His helpless creation. Man ever proposes, but God always 	disposes. 
 All our best plans are reduced to naught in less than the twinkling of an eye.
    SHRI 	MAHESH 	CHARAN 	MOWAR, 	B.A., 	LL.B. 	PLEADER, 	MAINPURI (U. 	P.)  From 	a copy: Pyarelal Papers. Courtesy: Pyarelal  Yours 	sincerely, 
   "
8,"September 	17, 1934",LETTER TO L. G. KHARE,"
         MY 	DEAR KHARE,     September 	17, 1934 "
9,"September 	17, 1934",LETTER TO SATIS CHANDRA DAS GUPTA,"
  	If you succeed in producing a reliable directory of village 	industries at the ridiculously low price of one anna, you will help 	the cause of cent per cent swadeshi and confer a boon on those who 	want to serve it. You will supply a felt want.  SHRI 	L. G. KHARE 	EDITOR, 	“SWADESHI”  ALL-INDIA 	SWADESHI 	SANGH 	SWADESHI 	MARKET, 	BOMBAY 2  From 	a copy: Pyarelal Papers. Courtesy: Pyarelal       September 	17, 1934  DEAR 	SATISBABU,  	I am sending you a letter received from Dar-ul-Aman by used 	correspondence post. Herewith enclosed is a copy of my replylibtech_25_footnote.  Do you know anything about this association?  	I have commenced using your ink. It promises to give satisfaction, 	but I must gain more experience of it. Mahadev is, however, 	conducting a more critical examination. I 	hope you have now got books and papers from Satcowrie-  	babu.  	Encl. 1  SHRI 	SATIS 	CHANDRA 	DAS 	GUPTA 	CALCUTTA  From 	a copy: Pyarelal Papers. Courtesy: Pyarelal    
  "
10,"September 	17, 1934",A LETTER,"
          DEAR 	FRIEND,       September 	17, 1934 
  	I have a pathetic letter from your son and he tells me that you 	refuse to return to India till swaraj is established. Now no one 	knows what swaraj is. If it is merely usurping power from the 	present rulers, I for one would not be satisfied that we had swaraj. 	But in one sense swaraj was established when the Congress adopted 	the constitutionlibtech_26_footnoteof 	1920 and the policy laid down in virtue of it. I do hope, therefore, 	that for the sake of your wife and your son, you will return as soon 	as you can and perform your duty by them as a part of the scheme of 	swaraj.  Yours 	sincerely,   From 	a copy: Pyarelal Papers. Courtesy: Pyarelal   "
