chapter_no,date,title,content
1,"April 	11, 1910",1JOHANNESBURG,"
     Monday 	[April 	11, 1910]    SENT 	TO  DELAGOA 	BAY  	Mr. Achary and 37 other satyagrahis were sent from Pretoria to 	Delagoa Bay on Saturday. Six of them were certainly not satyagrahis. 	I cannot say whether they have become so by now. All of them who 	bear Tamil names are satyagrahis. Thus, the Tamils have been keeping 	the flag of satyagraha flying. I have given the Tamil names in the 	English sectionlibtech_1_footnotelibtech_2_footnoteand therefore do not give them here.  SHIPS 	REFUSE  	I reported in the English sectionlibtech_3_footnotelast week that some ships had refused to carry those 	persons who have been deported. I cannot say how far the report is 	true. But it appears that they have failed to get a ship so far. If 	India exerts sufficient pressure, no ship will dare carry the 	deportees. There is strong reason to believe that those who have 	been deported this time will rouse the whole of India to protest.  CHETTIAR 	libtech_4_footnote  	[He] was today ordered to be deported and was taken to gaol. Mr. 	Chettiar is about 55 years of age. He suffers from a chronic 	ailment, and yet he is facing deportation with the utmost courage. 	He is to be deported to Natal, from where he will return 	immediately.  OTHER 	ARRESTS  	Mr. Chinan Dialalibtech_5_footnoteand 	Selmar Pillay were arrested and they, too, have been ordered to be 	deported.           
 KARODIA
 The case against the two Karodiaslibtech_6_footnotelibtech_7_footnotehas been withdrawn. One of them was charged with using a false permit and the other with making a false affidavit.
 The police had spared no pains in preparing for this case. They had called the Immigration Officer at Durban, Mr. Moosa Hajee Adam and others as witnesses; however, the case was withdrawn at the last moment.
 The fact is that some Indians, out of spite, had made an affidavit and also induced someone else to make another against the two brothers. Later they felt sorry for what they had done. They found it very difficult to prove, their statements, for there was ample evidence to show that Mr. Karodia had lived in Johannesburg before the War. I think the Government withdrew the cases in order to protect the persons who had given the affidavits.
 Mr. Karodia does not intend to leave the matter here, but will approach the Attorney General for relief in order to make an example of the men concerned and prevent similar things from happening to other prominent persons.
 WHETHER COLOURED PERSONS CAN STAY
 In Johannesburg, many title-deeds contain a provision to the effect that the landowners cannot permit Asiatics or Coloured persons other than servants to stay on their lands. This is so in Norwood [also]. A certain white bought a stand there. Later, he discovered that at several places there were Coloured persons staying. He filed a suit against the company to have his tite-deed nullified on this ground. The magistrate decided against the company. The case was taken higher up. The Supreme Court has now ruled that, notwithstanding the provision in the title-deeds, the company cannot be held responsible. The owner of a stand can, if he chooses, file a suit against any person who permits Coloured persons to stay [on the stand]. Accordingly, the Coloureds will stay where they are, for the present at least. We must now wait till there is another suit; its outcome is anybody’s guess. The saying, “having survived a moment of danger, we may live to be a hundred years”, might come true in this case.
 
 vide “Letter to Attorney General”, 14-4-1910
 LORD SELBORNE
 The miners gave a dinner to Lord Selborne. Speaking on the occasion, he gave a warning to the whites that, if they were not careful and persisted in their unjust treatment of the Cape Coloureds, the consequences would be unhappy. Men would arise from among them who would becomeleaders of the Kaffirs. Lord Selborne thought that this was the biggest problem facing South Africa.
 These views call for some comment. It does not appear that in saying this Lord Selborne was actuated by concern for the welfare of the Coloured people; he said it only because he feared the emergence of a leader from among them. Their sincere well-wishers, however, should welcome the rise of such leaders—the more the better—and encourage them.
 RAILWAY REGULATIONS
 The General Manager, the Assistant Manager, Mr. Bell, Mr. Cac- halia and Mr. Gandhi met today. After a discussion lasting nearly an hour and a half, the draft which the Association had forwarded was accepted with some modifications.libtech_8_footnotelibtech_9_footnoteThe General Manager stated that he would recommend to the Railway Board the withdrawal of the Reg- ulations which had been promulgated and that [new]  regulations would be framed in terms of the draft as approved by him. According to the draft-agreement, there will be no discrimination in law on the gro-und of colour. The existing provision that Indians can travel only in the third class will be deleted and the former position will be restored.
 CAUTION TO INDIANS
 This will be a welcome change, no doubt. That it has come about shows that the Indian community is not to be trifled with. But the Indian community’s responsibility will also increase. There will, of course, be no difficulty if we bear ourselves with dignity; should we, however, forget ourselves, difficulties will certainly arise and discriminatory regulations will be introduced.
 SHOP HOURS REGULATIONS
 These Regulations are again to be modified. The most important change will be that European hotels will be allowed to remain open up
 
 to 12 midnight, whereas Asiatic hotels will have to close at 6 p.m. I do not see that we can do much to protest against this discrimination; all the same, the Association has writtenlibtech_10_footnoteto the Colonial Secretary about it.
 ROW AMONG KANAMIAS
 Kanamialibtech_11_footnotelibtech_12_footnotefriends had their fill of fighting. They went at one another on a public road, a large number of whites watching  the scene. Three of them sustained serious injuries. The brawlers got a bad name, and the Indian community as well, to some extent. Fighting has brought no benefit to eitherparty. Benefit there will be only for the Government and lawyers. Both the sides have engaged lawyers and it seems, from the way they talk, that money will be spent like water.
 The story that has been circulated by newspapers is that this was a dispute between satyagrahis and their opponents. Mr. Cachalia has therefore  addressed  a  letterlibtech_13_footnotelibtech_14_footnoteto  newspapers,   pointing   out   that   the quarrel had nothing to do whatever with satyagraha.
 I wish to say a few words to the Kanamias. I know, and everyone knows, that they are strong of arms; they are making a big mistake, however, if they imagine that such brawls add to their reputation. The reason for the quarrel is of no account. I am not interested in finding out who is to blame. I only know that the fighting has helped neither side. However, those who are in love with physical strength and want occasions for its use would do well to employ it, not for purposes of revenge but in defence of others.
 Moreover, those who would fight, must fight it out to the last, be the end death or victory. To start a fight and then go to a court of law is cowardice twice over. To use violence against anyone is cowardly enough, but going to a court is much worse. If a man, after having fought, goes to a court, he will prove himself fit for nothing.
 Duelling survives to this day in all parts of Europe, except England. The idea behind it is that two persons actually fight with each other in order to prove himself in the right and the one who is defeated is considered to have lost his point. It is not open to these persons to go to a court of law [subsequently]. I must admit that, from the point of view of those who approve of violence, this is an excellent
 
 practice.
 But those who know that it is better to die than to kill, they know best; they have conquered all. This is the Indian way.
[From Gujarati]
 Indian Opinion, 16-4-1910
 "
2,"April 12,1910",FROM “TRANSVAAL NOTES”,"
  
 Tuesday [April 12,1910] The following were transferred to Delagoa Bay on Saturday, the
9th instant:libtech_15_footnotelibtech_16_footnoteMessrs Veera Pillay, S. Manikam,  N.  G.  Pillay,  N.  K.
 Pillay, Govinda Chetty, Joe Chinanan, Mootu Moonian, David Solomon, Moonosamy Paul, Moonosamy Chellen, Nurisumu Appen, Tommy Govindasamy, Letckey, Abhie Naidoo, John Edward, T. A. S. Achary, C. Narainsamy, R. C. Peter, L. Morgan, Chella Pather, R. Moonosamy, JohnLazarus, David Marrian, Francis Baker, Albert Baker, K. Chinasamy Pillay, H. V. Jackson, M. Jimmey, E. M. David,
  Govindasamy, 	D. Arumugam, Willie 	Lazarus, S. Moonosamy, 	Veerasamy Naidoo, Goolam 	Mahomed, Jiram 	Vallab, Noor 	Ali, and Rathanjee 	Ranchhod. Of these 	I am 	not sure 	that the last 	four are 	passive resisters, 	but they 	may have 	become such after coming into 	contact with the fine body of men in the Pretoria Police Barracks. 
 Indian Opinion, 16-4-1910
 "
3,"April 	12, 1910",LETTER TO DIRECTOR OF PRISONSlibtech_17_footnote,"
           SIR,     [JOHANNESBURG,]  April 	12, 1910    	I have the honour to acknowledge the receipt of your letter No. 
  	1459/10/247 of the 9th instant regarding the general treatment of 	Indian passive resisters in prison.  	The submission of my Association is that the selection of Diepk- 	loof Prison where alone the limitation of three months as regards 	visitors and letters prevails, is deemed by the Asiatic communities 	to show an intention to impose hardships additional to those 	warranted by the punishment awarded by the Magistrates to passive 	resisters.     
 With reference to the omission of ghee from the Indian dietary, my Association is aware that the Prison Governors have chosen the present scale. The fact, however, stands that the revision of the scale has resulted in the deprivation of an article of diet which was given to Indian prisoners in most of the prisons of the Transvaal, and which is an article especially needed by British Indians. In the humble opinion of my Association, the Prison Governors have taken no note of idiosyncrasies in deciding upon the revised scale.
 Indian Opinion, 16-4-1910
 "
4,"April 	12, 1910","LETTER TO GENERAL MANAGER, C.S.A.R.","
           SIR,     JOHANNESBURG,  April 	12, 1910    	On behalf of Mr. Cachalia and myself, I beg to thank you for 
  	your   letterlibtech_18_footnoteof 	  the   11th   instant,   containing   a   summary   of   [the] 	understanding arrived at yesterday between your Department and Mr. 	Cachalia and myself representing the British Indian Association. The 	summary given by you correctly sets forth the  position;  and,  on 	behalf of my colleague and myself, I beg to tender our thanks to you 	for the conciliatory manner in which you have met the 	representations of my Association in the matter of the gazetted 	regulations which have formed the subject matter of the 	correspondence between your Department and my Association.  	Whilst I acknowledge that the smooth working of the arrange- ment 	will depend upon the self-restraint that may be exercised by the 	British Indians it is no less dependent upon the tact and the 	goodwill of the officials in charge of the regulation of passenger 	traffic. In conclusion, I trust that the Transvaal and the Orange 	River Colony Governments and the Railway Board will accept your 	recommen- dation, and that the regulations complained of will be 	repealed and replaced by those set forth in your letter under reply. 
          From 	a photostat of the original: Cd 5363; also  Indian 	Opinion, 16-4-1910  I 	have, etc.,  K. GANDHI   HON. 	SECRETARY, 	BRITISH INDIAN 	ASSOCIATION 
    
 
 
 
 
 
 SIR,"
5,"April 12, 1910",LETTER TO COLONIAL SECRETARYlibtech_19_footnote,"
  
 [JOHANNESBURG,]
 April 12, 1910
 
 With   reference   to   the   Shop   Hours   Bill   published   in  the"
6,"April 	13, 1910",LETTER TO J. X. MERRIMAN,"
  	Government Gazette, my Association respectfully protests 	against the distinction drawn between the closing hours of European 	restaurants and those of Asiaticeating-houses;libtech_20_footnoteand, as  it  cannot  be  of  serious importance to 	the Government if the same privileges are allowed to the keepers of 	Asiatic eatinghouses, my Association trusts that the differentiation 	will be removed.  Indian 	Opinion, 16-4-1910       21-24 COURT CHAMBERS, 	CORNER RISSIK 	& ANDERSON STREET,  JOHANNESBURG,  April 	13, 1910  DEAR 	MR. MERRIMAN,  	I am taking the liberty of sending you a copy of Indian Home 	Rule which is a translation by me of a 	Gujarati bookletlibtech_21_footnotelibtech_22_footnoteI wrote during the return voyage. Busy though you are, 	I hope that you will find time to go through it; and if you could 	favour me with your opinion on it, I should greatly appreciate it. 
        THE 	RT. 	HON. 	JOHN X. 	MERRIMAN  CAPE 	TOWN  I 	am, Yours truly,  M. K. GANDHI 
  From 	a photostat: Gandhiji’s Letters to Merriman. Courtesy: South 	African Library, Cape Town        
 
 
 
 
 
 SIR,"
7,"April 14, 1910",LETTER TO ATTORNEY GENERAL,"
  
 [JOHANNESBURG,]
 April 14, 1910
 
 Messrs M. A. Karodia and A. A. Karodia were some time ago"
8,"April 14, 1910",SUBSTANCE OF LETTER TO L. W. RITCH,"
  	arrested, the one on a charge of having obtained a registration 	certificate under false pretences, and the other on a charge of 	having made a false affidavit. After two remands, both cases were 	withdrawn, without any evidence having been given on behalf of the 	Crown. Messrs Karodia Brothers are well-known British Indian 	merchants in Johannesburg. To this day, they do not know upon what 	evidence the charge was brought against them. Their arrest caused no 	little surprise amongst the Indian community, and no little pain to 	themselves. They were fully prepared, as they are now, to meet the 	charges brought against them. That they are merchants of standing is 	a fact well known to the Asiatic Department. They feel, that, if 	they allow the proceedings against them to end, after the withdrawal 	of the charges, neither they nor their fellow-merchants could 	consider themselves safe from similar arrest. In the circumstances, 	they request that the names of the deponents on whose evidence the 	warrant was granted and their affidavits should be handed to them. 	And they respectfully desire also that the Government will be 	pleased in future to use  judicious discretion in obtaining warrants 	of arrest against Indians of standing.  Indian 	Opinion, 23-4-1910       [After April 14, 1910]libtech_23_footnote  In 	connection with 	this matter, Mr. 	Ritch writes to 	inform us 	that he 	has received 	a letter 	from Mr. Gandhi, 	stating that the excuse 	for sending 	these men to 	India is 	that they refused 	to give 	finger-prints to 	identify themselves 	with their 	certificates, which 	documents were already filed with the 	Registrar. He 	explains that 	the excuse 	is invalid, 	because most ofthese men 	have already been to 	gaol as 	passive resisters, 	and are consequently 	known to the 	authorities. He 	adds that deportation for 	refusal to 	give finger-prints is 	illegal, the 	punishment provided for 	the offence being 	imprisonment and not 	deportation, and confirms 	the report 	that many 	 of  the  deportees 	were domiciled in South Africa.  India, 	13-5-1910     	“Johannesburg”,18-4-1910 "
9,,TAMIL SACRIFICElibtech_24_footnote,"
  
 The arrest of Mr. Chettiar, the fifty-five-year-old Chairman of the Tamil Society, puts the finishing touch to the glorious work that is being done by the Tamil community in the Transvaal on behalf not of themselves but of the whole Indian population throughout South Afri- ca. Nearly one hundred Tamils are now under custody, either under- going imprisonment at Diepkloof or awaiting deportation, which, for many reasons, is much worse than imprisonment. There is hardly a Tamil left in the Transvaal who has not suffered imprisonment in the course of the passive resistance struggle. Mr. Chettiar himself has been now arrested for the third time, his son, as we have already remarked, for the seventh time. These brave men have reduced themselves to poverty and have sacrificed literally their all for the sake of the national honour and their sacred oath. It has become such acommon occurrence for Tamils to be arrested that it excites no curiosity and attention. Mr. Chettiar, who was at one time in flourishing circu- mstances, has now become a pauper. We have seen some of the receipts for the jewellery which has been sold in order to provide for the household. In view of sacrifices such as these, he must be a godless person who would for one moment doubt that a community that can boast such heroes can ever fail to attain its goal.
 Indian Opinion, 16-4-1910
 "
10,,THE LATE MR. WOODHEAD,"
  
 In the death of Mr. Woodhead, the Indian community of Natal has, along with the European, sustained a severe loss. The late gentleman, who met with such an untimely end the other day,libtech_25_footnotelibtech_26_footnotehad held a responsible position on the editorial staff of The Natal Mercury for a period of 28 years. During the time that he was Managing Editor, the Mercury has in all matters relating to the Coloured communities of the Colony, maintained a highstandard and has on many occasions struck the note of warning against race hatred and colour prejudice. It is fitting that the various Indian associationslibtech_27_footnotelibtech_28_footnoteof  
 
 Durban have expressed their sense of sorrow and loss, and we join with them in offering our deepest sympathy with the widow and children of the departed journalist.
 Indian Opinion, 16-4-1910
 "
