footnote_no,footnote
libtech_1_footnote,1 The reference is to Lord Hardinge’s speech at Madras on November 24. Vide
libtech_2_footnote,"1Gokhale, in 	reply, cabled the 	next day: “I repeated 	yesterday Viceroy your 	cable asking 	him support, 	suggested middle course. 	He  replies,  many 	 thanks telegram, 	repeating substance Lord Crewe,”"
libtech_3_footnote,2This was in reply 	to the following cable of the same date from Gokhale: “Cable 	urgent if oath includes 1st January as definite date renewal. Has 	interview been granted.”
libtech_4_footnote,3Gokhale’s cable 	dated December 26  read:  “Cabling 	 tomorrow  seven 	thousand Bombay one 	thousand Madras.”
libtech_5_footnote,"1Vide “Speech 	at Maritzburg”, 27-12-1913."
libtech_6_footnote,"2Chairman, Board of 	Directors, Natal Estates, Ltd."
libtech_7_footnote,3These are not 	available.
libtech_8_footnote,"1For Marshall 	Campbell’s reply vide 	footnotes to “Letter 	to Marshall Campbell”, 1-1-1914"
libtech_9_footnote,"2This was reproduced 	in lndian Opinion, 	31-12-1913."
libtech_10_footnote,"3Vide “Lord 	Hardinge’s Speech”, 3-12-1913."
libtech_11_footnote,"1This had reference 	to the following cable which Gandhiji received the same day from 	Gokhale: “Understand if Robertson starts twenty-ninth will reach 	about eighth. But arrangements departure suspended pending your 	definite promise that he will have at least one week there before 	you renew struggle. Viceroy meanwhile undertaking move Lord Crewe 	secure adjournment Commission till end week. Do you promise? Cable 	explicitly. You certainly entitled if your present negotiations fail 	announce reason postponement struggle, also to abstain from 	participation inquiry if Commission not adjourned. Public reception 	Robertson desirable.” Vide 	also the following 	item."
libtech_12_footnote,"1This was 	in response 	to Gokhale’s 	suggestion contained in a 	cable dated 	27th reading: 	“Please make no 	public mention Viceroy 	moving Lord Crewe secure 	adjournment or 	what you 	will do 	if adjournment not 	granted this to 	avoid appearance 	threat. Confine 	announcement for 	the present statement you 	postpone  renewal 	struggle pending arrival 	Robertson and one week 	after. Say, if necessary, 	you do 	this under 	strong pressure from India.”"
libtech_13_footnote,"2Gokhale sent two 	cables the following day. The first cable was: “Have just sent 	following wire Viceroy: ‘Gandhi promises not renew struggle till 	Sir Benjamin has had one week there after arrival. I have given 	Gandhi to understand Sir Benjamin starts immediately.’ Impossible 	now Robertson start tomorrow. He must have at least one day hand 	over charge after receiving Viceroy’s orders, and another for 	journey Nagpur to Bombay.”"
libtech_14_footnote,"1Charles Frere 	Andrews ( 1871-1940); 	British missionary 	who took 	great interest 	in Viswabharati, 	University founded by 	Tagore; his 	devoted services 	for many years in the 	cause of the Indian people, 	especially those  in 	 distress  or 	difficulty, won 	him the name 	“Deenabandhu”, friend 	of the 	poor; he 	was deeply attached 	to Gandhiji."
libtech_15_footnote,"2Gandhiji spoke at a 	meeting attended by about 1,000 Indians. This report was reproduced 	in Indian Opinion from 	The Natal Mercury."
libtech_16_footnote,3Parsee Rustomjee 	and H. S. L. Polak also addressed the gathering.
libtech_17_footnote,"1Vide 1st 	footnote of Telegram 	to Minister of Interior”, 25-12-1913."
libtech_18_footnote,"1For the Minister of 	the Interior’s response to this representation, vide 	“Telegram from 	Minister of Interior”, 5-1-1914 The subject matter of these 	communications was covered in a secret despatch of December 31 	addressed by the Governor-General to the Colonial Office, which 	incidentally threw light on Sir William Solomon’s own 	reaction—apart from the Government’s—to Gandhiji’s proposals 	for reconstituting the Commission. Vide”Telegram 	from Minister of Interior”, 5-1-1914"
libtech_19_footnote,2Vide the 	following item.
libtech_20_footnote,"1This was 	sent in 	response to 	the following 	cable,  dated 	 December  28, from 	Gokhale: “Necessary now 	explain country your 	position.  Best 	 course  you cable  me  immediately  for  publication 	 compact   connected 	  statement   four 	hundred words or 	more if 	necessary first 	detailing your 	objections Esselen 	Wylie and 	explaining your 	reasons distrusting 	Commission generally. Secondly feeling 	and  advice  friendly  	Europeans  South  Africa  about  Commission. 	 Thirdly  describing 	briefly but effectively 	cruel treatment 	passive resistance 	prisoners, including 	ladies gaol. 	Fourthly any 	other circumstances 	stirring indignation 	community before 	meeting Sunday. 	 Fifthly  declaration 	 made  at  meeting and reasons 	for same. Sixthly 	any negotiations 	going on 	to which public 	reference may be 	made. Seventhly 	present position and 	prospects. And 	lastly any 	message you 	would like send India. 	Let statement 	be conciliatory 	but firm 	in tone, 	appreciative Viceroy’s 	support so far 	and calculated inspire 	hope this country. 	Statement should arrive 	here Tuesday 	morning without fail.” On 	December 30, 	at 9.30 	a.m., Gandhiji 	received a cable from 	Gokhale saying: 	“Publishing statement 	with  additions 	important details 	previous cables.” Gokhale released the 	statement to 	the Press 	on December 	31 and 	sent Gandhiji the 	following cable: “Have 	issued statement today 	after editing and 	incorporating into 	it portions 	some previous 	cables. Statements 	sentiments wholly yours, 	language occasionally 	altered suit requirements 	 here.  Expect 	will have excellent effect. Bombay cabled seven thousand yesterday, 	Madras cabling 	one thousand. 	Had intended 	seeing Robertson 	Bombay tomorrow 	before departure, 	but doctor 	forbids. Sending him 	special note our 	case with Shastri.” For 	the text 	of the 	statement issued by 	Gokhale, vide 	“Statement issued 	by G.K. 	Gokhale”, 31-12-1913."
libtech_21_footnote,"1Gandhiji was interviewed by a representative of The Natal Mercury about the effect of the Indian National Congress resolutions on the South African question. These resolutions, adopted at the Karachi session, December 26-28, protested against the treatment still meted out to Indians in South Africa, declared that the people of the British dominions which refused Indians the rights of British citizens should be ineligible for appointments in India, and demanded the abolition of  indentured labour."
libtech_22_footnote,2This is not available.
libtech_23_footnote,1The message was 	conveyed through Reuter. Gokhale had cabled Gandhiji the previous 	day: “Reuter wires you have announced 15th as date renewal. 	Robertson leaving first and arriving about 11th. Delay starting due 	to your promise reaching me only 28th and Viceroy’s orders 	reaching Robertson only yesterday afternoon. He hands over charge 	today and leaves Nagpur tomorrow. I have guaranteed that you will 	wait one week after Robertson’s arrival and feel confident you 	will make my word good.”
libtech_24_footnote,1These are not 	available.
