footnote_no,footnote
libtech_1_footnote,"1Authorship of 	this Report, the 	full title of 	which reads Report 	of the Commis- 	sioners oppointed by 	the Punjab 	Sub-committee of 	the  Indian 	 National  Congress, 	and which 	was published 	on March 	25, 1920, 	has been 	attributed to Gandhiji 	on the 	basis of 	the following 	evidence :"
libtech_2_footnote,"1World War I, 1914-18"
libtech_3_footnote,1Passed in 1915 as an”essential war measure”
libtech_4_footnote,"2Lt. -Governor of the Punjab, 1913-19"
libtech_5_footnote,"1Prestige, honour"
libtech_6_footnote,"1Bipin Chandra Pal (1858-1932); educationist, journalist, orator and political leader of Bengal"
libtech_7_footnote,1The proposals were based on the idea of Dominion Self-government.
libtech_8_footnote,2Passed in the third week of March 1919 as a temporary measure intended to deal with the situation arising out of the expiry of the Defence of India Act and investing local governments with arbitrary powers to arrest and detain persons believed to be connected with certain offences threatening public safety
libtech_9_footnote,1Money-lenders
libtech_10_footnote,"2This statement and others cited subsequently are contained in Volume II of the Report of the Commissioners appointed by the Congress Punjab Sub-committee,"
libtech_11_footnote,"2The Ghadar Party, a revolutionary organization, was started in 1911 in California by Har Dayal, editor of Ghadar. Through his paper and party he won over many immigrants from the Punjab to his revolutionary programme.  These immigrants, working through their relations, were able to spread disaffection in the Indian Army, and when forced to return to India, they carried on anti-British activities."
libtech_12_footnote,1Dputy
libtech_13_footnote,"3Member, Imperial Legislative Council; became member of the Viceroy’s Executive Council in 1920"
libtech_14_footnote,2Government employees who maintain records of canal water supplied to peasants
libtech_15_footnote,3Big landlords in villages who help Government in collecting land revenue
libtech_16_footnote,
libtech_17_footnote,1Government employee who keeps land revenue records
libtech_18_footnote,1Public place for meeting
libtech_19_footnote,1In February 1919
libtech_20_footnote,2Sub-division
libtech_21_footnote,"2In 1914, several hundred Punjabis sailed for Canada as emigrants. They were, however, not allowed to land by the Canadian Government.  They returned  by s.s. Komagata Maru to India where they landed as prisoners and were kept in camp at Budge Budge, near Calcutta, under armed guard pending removal to their"
libtech_22_footnote,
libtech_23_footnote,"1Annie Besant and her associates, Arundale and Wadia, were interned on June 10, 1917."
libtech_24_footnote,"2Made by Montagu on August 10, 1917, shortly after assuming office as Secretary of State for India"
libtech_25_footnote,"1Not reproduced here. For the text of the letter, vide”Letter to the Press on Satyagraha Pledge”, 26-2-1919."
libtech_26_footnote,"1Before the Imperial Legislative Council on February 7, 1919"
libtech_27_footnote,"2Not reproduced here. For the text, vide”The Satyagraha Pledge”, 24-2-1919."
libtech_28_footnote,"1He was shot by the British military authorities in 1916, in connection with the Easter rising in Dublin."
libtech_29_footnote,"2Member, Viceroy’s Executive Council, 1917-22"
libtech_30_footnote,"1Law Member, Viceroy’s Executive Council, 1915-20"
libtech_31_footnote,"1Moved by Vithalbhai Patel, in supporting which Jinnah forcibly denounced the sinister provisions of the Bill"
libtech_32_footnote,"2Sir Sankaran Nair, who, however, submitted his resignation in July 1919"
libtech_33_footnote,"1During the debate on this Bill in March 1919, Gandhiji attended, for the first and last time, the proceedings of India’s Central Legislature at Delhi."
libtech_34_footnote,1Sir William Vincent
libtech_35_footnote,"2he Montagu-Chelmsford Reforms embodied in the Government of India Act, 1919"
libtech_36_footnote,"1Passed in 1914, restricting the liberty of any person entering India"
libtech_37_footnote,"1Vide “Gujarati Equivalents for Passive Resistance, etc.”, 7-3-1908."
libtech_38_footnote,1 A devotee of God persecuted by his unbelieving father
libtech_39_footnote,21906 to 1914
libtech_40_footnote,"1The message was dated March 23; vide “Letter to the Press on Satyagraha Movement”, 23-3-1919."
libtech_41_footnote,"1In July, 1919"
libtech_42_footnote,"2Medieval saint-poetess of Rajasthan, queen   of  Mewar"
libtech_43_footnote,
libtech_44_footnote,"1Ninth day of the waxing moon in the month of Chaitra, according to Vikama"
libtech_45_footnote,"1Editor, Waqat, Amritsar"
libtech_46_footnote,1A lady doctor in the Municipal Zenana Hospital
libtech_47_footnote,1An Englishwoman who worked in the local Mission School
libtech_48_footnote,
libtech_49_footnote,"1The Punjab Disorders Inquiry Committee, appointed by the Government of India in October 1919, under the chairmanship of Lord Hunter"
libtech_50_footnote,1Dagger-like weapons
libtech_51_footnote,"2Nearly 1,800 persons were convicted during the Punjab disturbances."
libtech_52_footnote,1Relief Association
libtech_53_footnote,"1In Scotland, in 1992 during the reign of William and Mary"
libtech_54_footnote,1On April 15
libtech_55_footnote,1Not reproduced here
libtech_56_footnote,2A prominent barrister and leader of Lahore; on this occasion he mounted a horse and led the procession back to the city.
libtech_57_footnote,1Man of property
libtech_58_footnote,1Lock-up
libtech_59_footnote,"1Cook-bearer, usually employed by Europeans in India"
libtech_60_footnote,"1Issued on December 23, 1919"
libtech_61_footnote,1A popular Municipal Commissioner of Lahore
libtech_62_footnote,"1Palwal, between Mathura and Delhi"
libtech_63_footnote,1A municipal ward of Bombay city
libtech_64_footnote,"1A big financier, who controlled many business enterprises in the Punjab"
libtech_65_footnote,1Member of the Legislative Council of the United Provinces; one of the three Indian members of the Hunter Committee
libtech_66_footnote,1It was closed to the public for two weeks.
libtech_67_footnote,1Chimanlal H. Setalvad (1865-1947); eminent lawyer and liberal politi-cian; one of the three Indian members of the Hunter Committee
libtech_68_footnote,1Head warder
libtech_69_footnote,"2Forman Christian College, Lahore"
libtech_70_footnote,"1His petition for mercy was rejected by the Lt.-Governor of the Punjab on June 13, 1919. He was, however, released on August 27, 1919, as his sentence of imprisonment was reduced from 2 years to 3 months by the Governor-General-in- Council on July 6, 1919."
libtech_71_footnote,"1K. Santanam, secretary to the Commission appointed by the Punjab Sub- committee of the Indian National Congress to report on the Punjab disturbances"
libtech_72_footnote,"1He took his seat on July 16, 1920."
libtech_73_footnote,"2Radha Kishan, who was sentenced to 18 months’ imprisonment which was later reduced to 2 months by the Lt.-Governor on July 25, 1919"
libtech_74_footnote,"1Bar-at-Law; Member for Appeals, Gwalior State; one of the three Indian members of the Hunter Committee"
libtech_75_footnote,"3They began their work on April 24, 1919. Each Commission was composed  of three members."
libtech_76_footnote,"1Presumably, the Indemnity Act of 1919"
libtech_77_footnote,"4The Deputation left for England on April 28, 1919 ."
libtech_78_footnote,1Office of the Tahsildar
libtech_79_footnote,"2As stated by Marsden before the Hunter Committee, even at Patti 31 persons were convicted and of these 14 were sentenced to be whipped."
libtech_80_footnote,"1Machine-guns were used or bombs dropped on Gharjak, Bhagwanpura, Dhulla and other neighbouring villages."
libtech_81_footnote,1Yellow turmeric
libtech_82_footnote,1Old Sikh leader and prominent citizen of Wazirabad
libtech_83_footnote,2Season for the winter crop
libtech_84_footnote,1Those who observe purdah; in orthodox households such women live in secluded apartments.
libtech_85_footnote,2Lame
libtech_86_footnote,"1It was reported that Gujranwala police proceeded to Hafizabad withwarrant for the arrest of 121 persons, containing neither names nor descriptions ofthe persons to be arrested, and the police did arrest 121 residents of Hafizabad under the warrant."
libtech_87_footnote,3Deputy Commissioner of Gujranwala
libtech_88_footnote,"1Joint Deputy Commissioner, Gujranwala; one of the Martial Law officers"
libtech_89_footnote,"1In November 1919, before leaving for Africa"
libtech_90_footnote,1Watchman
libtech_91_footnote,1Measure of land
libtech_92_footnote,1Contemptible flies
libtech_93_footnote,"3Residents of amandi, a market-place"
libtech_94_footnote,1Charged-sheeted
libtech_95_footnote,2Sikh temple
libtech_96_footnote,1This was done at the instance of Bosworth Smith
libtech_97_footnote,"2Sardar Gauhar Singh; vide “Congress Report on the Punjab Disorders”, 25-3-1920."
libtech_98_footnote,"1Amar Singh, Atma Singh and Santok Singh, the last aged only 16 years."
libtech_99_footnote,"1Proprietor, Swadeshi Stores, Anarkali, Lahore"
libtech_100_footnote,"1Malaviya had given notice of 92 questions, regarding Martial Law in the Punjab which he intended to ask in the Imperial Legislative Council in September 1919. They were however disallowed."
libtech_101_footnote,1In 1849
libtech_102_footnote,2Imperial Legislative Council
libtech_103_footnote,1Police Station
libtech_104_footnote,3For Denmark
libtech_105_footnote,"1 lcs out of 2 crores, the total population of the Punjab.  According"
libtech_106_footnote,4For Gandhiji’s 	article regarding Rabindranath Tagore’s visit to Gujarat. vide
libtech_107_footnote,"1Andrews, while on his way to Lahore, was taken out of the train at Amritsar railway station, detained there for several hours and finally sent back out of the Punjab."
