footnote_no,footnote
libtech_1_footnote,"1From J. 	M. Wilson, secretary, 	Bihar Planters’ 	Association, to the 	secretary to 	the Government 	of India, 	Home Department, 	Simla, dated 26-4-1919, 	criticizing Gandhiji’s 	activities. S.N. 6578"
libtech_2_footnote,1Nationalist Muslim 	divine of Lucknow who took active part in the Khilafat movement
libtech_3_footnote,"1District 	Magistrate, Ahmedabad"
libtech_4_footnote,1The letter is in a 	different hand but the subscription is by Gandhiji.
libtech_5_footnote,2A kind of Ayurvedic 	tonic
libtech_6_footnote,"3Harilal Gandhi’s 	daughter, later married to Kunvarji Khetsi Parekh"
libtech_7_footnote,"1The remaining 	portion of this letter is already reproduced in Vol. “Letter to 	Maganlal Gandhi”, 5-5-1919."
libtech_8_footnote,"1Of the two Rowlatt Bills, one was withdrawn earlier and the second passed into an Act on March 18, 1919."
libtech_9_footnote,2Ayurvedic tonic preparation
libtech_10_footnote,"1Widow of Gokuldas, 	a nephew of Gandhiji"
libtech_11_footnote,"2Son of Lakshmidas, 	Gandhiji’s elder brother"
libtech_12_footnote,3Raliatbehn
libtech_13_footnote,
libtech_14_footnote,1Spiritual merit
libtech_15_footnote,"2The meeting, held 	in the Morarji Gokuldas Market Hall, was called by Gandhiji to 	explain how people should observe Sunday, May 11, in honour of 	Horniman."
libtech_16_footnote,"1Gandhiji then asked 	the audience if they had any doubts. What follows is in reply to a 	question whether they would not do better to assemble, after bath, 	in a temple or at Chowpatty."
libtech_17_footnote,1The reply to this 	received from Mrs. E. C. Row read: “My husband has made the 	greatest mistake of his life if he wrote to you. We are no Indians.”
libtech_18_footnote,1The Afghan War
libtech_19_footnote,2Ibid
libtech_20_footnote,"1Gandhiji then asked 	the women in the audience if they had any questions to ask. 	Thereupon, one of them suggested that, the foreign cloth with them 	being expensive, they should keep it and resolve not to buy any more 	in future. Another said that they needed eight days’ time to have 	new dresses made. What follows is Gandhiji’s reply."
libtech_21_footnote,1No. 15
libtech_22_footnote,"1Police Surgeon, 	Bombay"
libtech_23_footnote,"1Delivered in Gujarati at a special meeting of the Anjuman Ziaul Islam under the presidentship of M. T. Kadarbhai, Barrister-at-law, to consider the question of the Caliphate. A large number of Muslims was present. Gandhiji, Jamnadas Dwarkadas and Shankarlal Banker were among those specially invited. Kadarbhai, in introducing Gandhiji to the. meeting, said that the latter had throughout his life tried to see that the differences between the Hindus and the Mahomedans were obliterated, and that his passive resistance struggle in South Africa was principally for the Mahomedans, because three-fourths of the Indian commerce was in the hands of the Mahomedans and that he had done in one day what years of British rule could not achieve in the union of the Hindus and the Mahomedans."
libtech_24_footnote,2Of May 9
libtech_25_footnote,1Vide “Letter to Viceroy” 29-4-1918.
libtech_26_footnote,"1The telegram was quoted in a draft of the letter to the addressee dated May 10, 1919. The version, however, of the same letter which appeared in “Letter to J.L. Maffey”, 11-5-1919, under the date May 11, 1919, quotes another telegram to the addressee. It is likely the letter was dictated on May 10 and despatched after revision the next day."
libtech_27_footnote,1Sir S. Subramania 	lyer
libtech_28_footnote,"2In his letter dated May 7 the addressee, inter alia, had written: “Can we look to you for help? I believe you could be of immense assistance in stabilizing Indian opinion. I am writing this of my own initiative though I shall show it to the Viceroy. Hoping you are well.”"
libtech_29_footnote,"1The source has 12, 	but Cf. the following item."
libtech_30_footnote,"1The reference is to 	the P.S.’s letter of May 7, in which he had written:"
libtech_31_footnote,"2Vide Appendix 	“Note By District Magistrate, Ahmedabad, on Interview with 	Gandhiji”, After 11-5-1919."
libtech_32_footnote,"2Dated 9-5-1919, wherein three questions were asked. S.N. 6608"
libtech_33_footnote,"1Manager, Lucknow School of Commerce, Lucknow"
libtech_34_footnote,"1This was the first 	leaflet on 	swadeshi,  vide 	 “The  Swadeshi  	Vow”, 16-6-1919."
libtech_35_footnote,2May 13 according to 	Young India but May 14 according to Mahadevbhai ki Diary which 	describes this as second leaflet on swadeshi vow.
libtech_36_footnote,"1Vide “Swadeshi Vow-I”, 8-4-1919."
libtech_37_footnote,3The first two names 	were those of Gandhiji and Kasturba and the other signatories 	included Vinoba Bhave.
libtech_38_footnote,"2Vide “Letter to Sir Stanley Reed”, 30-4-1919 and “Letter to J. L. Maffey”, 5-5-1919."
libtech_39_footnote,"1Vide “Statement on Laws for Civil Disobedience”, 7-4-1919."
libtech_40_footnote,"1These lines were found on the sheet proceeding “Telegram to Private Secre- tary to Viceroy”, 15-5-1919."
libtech_41_footnote,"2Vide “Letter to Annie Besant”, 10-5-1919."
libtech_42_footnote,2Using hand-woven 	cloth made from mill-yarn
libtech_43_footnote,"1Vide “Letter 	to J. L. Maffey”, 11-5-1919."
libtech_44_footnote,
libtech_45_footnote,"1Sakarlal Amritlal Dave, Gujarati educationist"
libtech_46_footnote,"1Sent to heaven alive by Vishwamitra, but Indra would not permit him to enter it. In the result, he found himself in midspace, unable either to enter heaven or descend to the earth."
libtech_47_footnote,1Dated 8-5-1919
libtech_48_footnote,1Using hand-spun and 	hand-woven cloth
libtech_49_footnote,11857-1934; a judge of the Madras High Court and president of the Indian National Congress in 1897
libtech_50_footnote,1The opposite of dharma
libtech_51_footnote,1Self-suffering as moral discipline
libtech_52_footnote,1Atonement
libtech_53_footnote,2The date is 	supplied from the postal cancellation mark.
libtech_54_footnote,"1First published in 	1910; vide “Hind 	Swaraj”, 22-11-1909."
libtech_55_footnote,1With the Danish 	Mission
libtech_56_footnote,"3Lecturer, Gujarat 	College, Ahmedabad; resigned from service and joined Gandhiji; 	translated Satyagraha in South Africa and other books"
libtech_57_footnote,"1This was dated May 30,  marked  “Not  for  Publication”  and  was  signed “M. K. Gandhi”."
libtech_58_footnote,1He resigned from 	the Satyagraha Sabha due to these differences.
libtech_59_footnote,1Wife of addressee
libtech_60_footnote,2Private Secretary 	to the Viceroy
libtech_61_footnote,"1Sarojini Naidu read 	out in English the following resolution: “This meeting puts on 	record its appreciation of the selfless and devoted services 	rendered by Lokamanya Tilak to the Motherland during the last forty 	years of his life, and calls upon his countrymen generously to 	contribute to the Tilak Purse Fund started with the object of 	defraying the expenses incurred by him in the prosecution of a case, 	which was undertaken by him purely in the public interest.”"
libtech_62_footnote,1Prayer with set 	formula
libtech_63_footnote,"3Lieutenant-Governor 	of the Punjab, 1913-9"
libtech_64_footnote,"1One of the two 	letters mentioned by Gandhiji in this letter was written from 	Ahmedabad on June 1, 1919; vide 	the preceding item."
libtech_65_footnote,"11879- ; Dewan of Travancore; Vice-Chancellor, Benares Hindu University"
libtech_66_footnote,"2Vide “Letter to O. S. Ghate”, 8-5-l919."
libtech_67_footnote,3Gandhiji’s sister 	Gokibehn
libtech_68_footnote,"1Vide  “Letter 	to J. L. Maffey”, 5-5-1919."
libtech_69_footnote,1Vide “Mr. 	Horniman” 7-6-1919.
libtech_70_footnote,"2Vide  “Letter 	to N. P, Cowie” 25-5-1919."
libtech_71_footnote,
libtech_72_footnote,1Only articles 	signed by Gandhiji or proved as his from other evidence are 	reproduced in this volume.
libtech_73_footnote,"1Rabindranath 	Tagore’s letter to the Viceroy renouncing his knighthood was 	published in Young India, 7-6-1919."
libtech_74_footnote,"1The date 	has been 	inferred from 	the reference 	to the 	article about B. 	G. Horniman which appeared in Young India,  7-6-1919; 	 vide  “Mr. Horniman”, 7-6-1919."
libtech_75_footnote,"2Vide “Sind 	Illegality”, Young India, 28-5-1919."
libtech_76_footnote,"1Vide the editorial entitled “Indians in South Africa” published in Young India on June 4, 1919."
libtech_77_footnote,"1Evidently, this 	letter preceded the letters to Maganlal dated June 12 and June 15, 	in both of which Gandhiji refers to Shamaldas’s plan of taking up 	work in the Ashram."
libtech_78_footnote,"2The letter seems to 	have been written a few days after Maganlal’s visit to Vijapur 	referred to in “Letter to Maganlal Gandhi”, 1-6-1919."
libtech_79_footnote,"2This appealed among 	the editorial notes in Young India, 7-6-1919."
libtech_80_footnote,1A kind of cloth used by women in Kathiawar
libtech_81_footnote,"1The remarks about 	Jagannath and Chhotalal and the Swadeshi Store probably refer to 	what Chhaganlal may have said in reply to “Letter to Chhaganlal 	Gandhi”, 7-6-1919."
libtech_82_footnote,2The reference is 	not traceable.
libtech_83_footnote,"1Of May 30, 1919"
libtech_84_footnote,"1Vide “Letter 	to N. P. Cowie”, 25-5-1919."
libtech_85_footnote,2This sentence is in 	Gandhiji’s hand.
libtech_86_footnote,2Vide the 	following item.
libtech_87_footnote,1Some words are missing here in the source which is damaged.
libtech_88_footnote,"1Presented on behalf of the citizens of Bombay, this was signed by Gandhiji and others including Sir Narayan G. Chandavarkar, Sir Dinshaw Wachha, G. K. Parekh and K. Natarajan. Gandhiji sent it to the Viceroy on June 27, 1919; vide “Letter to S. R. Hignell”, 27-6-1919."
libtech_89_footnote,1Presumably drafted 	by Gandhiji
libtech_90_footnote,"2Vide “Circular 	Letter on Kalinath Roy’s Case”, 11-6-1919."
libtech_91_footnote,3This sentence is in 	Gandhiji’s hand.
libtech_92_footnote,"1Vide Appendix 	“Sir Stanley Reed’s Letter to Gandhiji”, 22-5-1919"
libtech_93_footnote,"2Literally, “on 	yarn”"
libtech_94_footnote,"1Dated 11-6-1919, 	vide also 	the preceding item."
libtech_95_footnote,"1Editor, The Times 	of India, Bombay"
libtech_96_footnote,"1Evidently this 	letter preceded the letter to Maganlal, dated June 15, 1919, in 	which Gandhiji refers to Shamaldas’ expected arrival in Ahmedabad 	on that date."
libtech_97_footnote,"11862-1937; Dewan of 	former Bhavnagar State; member, India Council, 1917-9"
libtech_98_footnote,"1Vide “Letter 	to N. P. Cowie”, 25-5-1919."
libtech_99_footnote,2Later joined the 	Satyagraha Ashram and was a member of its Managing Committee
libtech_100_footnote,1Widow of Lakshmidas 	Gandhi
libtech_101_footnote,"2Vide  “Letter to S. R. Hignell”, 9-6-1919."
libtech_102_footnote,"1Literally, in a 	state like Ganga’s; according to the Mahabharata, the sacred river 	took human form and lived as wife of King Shantanu for some time. 	Among the Hindus, the term is prefixed to the name of a widow."
libtech_103_footnote,"3Architect, Fort, 	Bombay"
libtech_104_footnote,"1Described as the second leaflet in the source. For the first leaflet, vide “The Swadeshi Vow”, 13-5-1919."
libtech_105_footnote,"1The meeting was held near Carnac Bunder, Gandhiji was in the chair."
libtech_106_footnote,1Pure
libtech_107_footnote,
libtech_108_footnote,"3Editor, Alnazir"
libtech_109_footnote,1The source has “acerbation”.
libtech_110_footnote,"1Vide  “Letter to J. L. Maffey”, 16-5-1919."
libtech_111_footnote,3At the Morarji Gokuldas Cloth Market
libtech_112_footnote,"1Vide “Swadeshi Sabha Rules”, before 1-7-1919."
libtech_113_footnote,2Private Secretary 	to the Governor of Bombay
libtech_114_footnote,"1The Swadeshi Store to which there is a reference in the last paragraph of this letter was opened on June 18, 1919."
libtech_115_footnote,2Vide reference to commencement of civil disobedience before Monday week.
libtech_116_footnote,"3Who was killed in a 	mob violence at Ahmedabad on April 11; vide 	“Letter to 	Sir Stanley 	Reed”, 15-4-1919."
libtech_117_footnote,"1Sitting at one spot without food or drink for the purpose of exerting moral pressure. The source has “dharama”, evidently a misprint."
libtech_118_footnote,"1Messrs Khadilkar, 	Dewji Dwarkadas, Chinoy and Jamnadas Dwarkadas"
libtech_119_footnote,"1The sentence was commuted to transportation; vide “Speech at Chowpatty, Bombay”, 6-4-1919."
libtech_120_footnote,4One of the proprietors of the Store
libtech_121_footnote,"1This was actually 	sent on 	June 27, vide 	“Letter to H. S.  L.  Polak”,  27-6-1919."
libtech_122_footnote,"2Vide Satyagraha 	Sabha resolution of June 15, 1919, not reproduced here; also “Letter 	to Secretaries, Satyagraha Committee”, 12-6-1919."
libtech_123_footnote,"3Vide “Instructions for Satyagrahis”, 30-6-1919."
libtech_124_footnote,"1Vide 	“Instructions for 	Satyagrahis”, 	30-6-1919, the draft 	whereof appears to have 	been sent. These were to 	be followed after 	Gandhiji’s incarceration; also “Letter 	to H. S. L. Polak”, 27-6-1919."
libtech_125_footnote,"11873-1933; 	mill-owner and merchant M. L. C., Bombay"
libtech_126_footnote,"1Vide “Speech 	at Foundation Laying of Vanita Vishram, Ahmedabad”, 29-6-1919"
libtech_127_footnote,1Of the Danish 	Missionary Society
libtech_128_footnote,2H. S. L. Polak
libtech_129_footnote,1Porbunder
libtech_130_footnote,"2Vide 	“Instructions for 	Satyagrahis”, 30-6-1919."
libtech_131_footnote,
libtech_132_footnote,
libtech_133_footnote,"1For the text of the 	letter, vide “Letter 	to H.S.L. Polak”, 27-7-1919."
libtech_134_footnote,"1Vide “Cable 	to E. S. Montagu”, 24-6-1919."
libtech_135_footnote,1Asiatic Land and 	Trading Amendment Bill
libtech_136_footnote,1Mohammed Ali Jinnah 	(1876-1948); Muslim leader; founder and first Gov- ernor-General of 	Pakistan
libtech_137_footnote,1The meeting was held in Jain Upashraya at Lalbaug under the auspices of the Cutchchi Jain Mandal.
libtech_138_footnote,"2Vide “Cable 	to E. S. Montagu”, 24-6-1919."
libtech_139_footnote,"1The meeting was addressed by Gangadharrao Deshpande, with Gandhiji in the"
libtech_140_footnote,2The statements and 	other enclosures referred to here are not reproduced.
libtech_141_footnote,3Same as Footnote No. 2
