chapter_no,date,title,content
1,"February 9, 1942",ADIVASIS,"
       Adivasis have become the fourteenth item in the constructive 	programme.libtech_1_footnoteBut 	they are not the least in point of importance. Our country is so 	vast and the races so varied that the best of us, in spite of every 	effort, cannot know all there is to know of men and their condition. 	As one comes upon layer after layer of things one ought to know as a 	national servant, one realizes how difficult it is to make good our 	claim to be one nation whose every unit has a living consciousness 	of being one with every other.   
  The 	Adivasis are 	2libtech_2_footnote crores 	in all India, i.e., 6libtech_3_footnote per 	cent of the 
 total 	population or nearly half of the Harijan population.  	Shri Balasaheb Kher has thrown himself with his usual zeal into this 	much needed service in the Thana District. He says in  the pamphlet 	issued by him, on behalf of the Adivasi Seva Mandal of which he is 	President:libtech_4_footnote  	Balasaheb has made a modest beginning. He has started with a hostel 	for Adivasi boys. His work is all unassuming and solid. If he 	gets the true type of workers, what is a small beginning may one day 	blossom forth into an all-India organization covering the whole of 	the Adivasi population. Truly “the harvest is rich and the 	labourers few.” Who can deny that all such service is not merely 	humanitarian but solidly national and brings us nearer to true 	independence?  SEVAGRAM, 	February 9, 1942  Harijan, 	15-2-1942                  Adivasis 	and their 	exploitation by zamindars and forest contractors. 
  "
2,"February 9, 1942",QUESTION BOX,"
  
 THE ETERNAL PROBLEM
 Q.Why can’t you see that whilst there is possession it must be defended against all odds? Therefore your insistence that violence should be eschewed in all circumstances is utterly unworkable and absurd. I think non-violence is possible only for select individuals.
 A.This question has been answered often enough in some form or other in these columns as also in those of Young India. But it is an evergreen. I must answer it as often as it is put, especially when it comes from an earnest seeker as this one does. I claim that even now, though the social structure is not based on a conscious acceptance of non-violence, all the world over mankind lives and men retain their possessions on the sufferance of one another. If they had not done so, only the fewest and the most ferocious would have survived. But such is not the case. Families are bound together by ties of love, and so are groups in the so-called civilized society called nations. Only they do not recognize the supremacy of the law of non-violence. It follows, therefore, that they have not investigated its vast possibilities. Hitherto out of sheer inertia, shall I say, we have taken it for granted that complete non-violence is possible only for the few who take the vow of non-possession and the allied abstinences. Whilst it is true that the votaries alone can carry on research work and declare from time to time the new possibilities of the great eternal law governing man, if it is the law, it must hold good for all. The many failures we see are not of the law but of the followers, many of whom do not even know that they are under that law willy-nilly. When a mother dies for her child she unknowingly obeys the law. I have been pleading for the past fifty years for a conscious acceptance of the law and its zealous practice even in the face of failures. Fifty years’ work has shown marvellous results and strengthened my faith. I do claim that by constant practice we shall come to a state of things when lawful possession will command universal and voluntary respect. No doubt such possession will not be tainted. It will not be an insolent demonstration of the inequalities that surround us everywhere. Nor need the problem of unjust and unlawful possessions appal the votary of non-violence. He
 has at his disposal the non-violent weapon of satyagraha and non-co- operation which hitherto has been found to be a complete substitute of violence whenever it has been applied honestly in sufficient measure. I have never claimed to present the complete science of non- violence. It does not lend ittself to such treatment. So far as I know no single physical science does, not even the very precise science of mathematics. I am but a seeker, and I have fellow-seekers like the questioner whom I invite to accompany me in the very difficult but equally fascinating search.
 SEVAGRAM, February 9, 1942
 Harijan, 22-2-1942
 "
3,"February 9, 1942","PASSING OF THE
FIRST STAGE OF
THE A.I.V.I.Alibtech_5_footnote","
  
 One would have thought that I had enough on  my  hands without taking the additional burden of the presidentship of the A. I.
 V.  I.  A.  I  have  been  its  guide  ever   since   its  inceptionlibtech_6_footnote,  but   the importunity of the Board was irresistible. Readers will lighten my task by sharing it with me by (a) becoming members, (b) contributing funds (c) contributing solid work.
 SEVAGRAM, February 9, 1942
 Harijan, 22-2-1942
 "
4,"February 9, 1942",FROM THE OLDEST CONGRESSMAN,"
  
 
DEAR MAHATMAJI,
 I congratulate you upon your dissociation with the believers of violence as far as possible. God gave you an opportunity to do so at Poona, but at Bombay you forgot all about that God-given opportunity. At Bardoli God gave you that opportunity again. I am exceedingly glad that you did not make the same mistake at Wardha as you had done at Bombay. . . .
 . . . Violence was created by God who gave it a limited life. God in His infinite wisdom now finds that violence was given a trial and found wanting in preserving world peace. This world war may not be the longest but it must
 
 be the last, and a new world with perfect peace and tranquillity will emerge out  of the ashes of violence and armament for the benefit of mankind. . . .
 God-believing India will not have man-given violence and armament- controlled freedom for exploiting the weaker section of humanity. She must have God-given freedom for their service—seva.
 God-given freedom can be obtained only by satyagraha, sufferings for which can be successfully undertaken only by those whose surrender to Him is complete. The number of satyagrahis is steadily increasing. Let the advocates of violence say and do whatever they may, the number of believers in non- violence will steadily go on increasing and the world will have real peace.
 HARA DAYAL NAG
 Chandpur, 24-1-1942
 Though the foregoinglibtech_7_footnotehas an intrinsic value as an expression of robust faith, it is printed as being from the pen of the oldest living Congressman who clings to non-violence as an infant to its mother’s breast.
 SEVAGRAM, February 9, 1942
 Harijan, 22-2-1942
 "
5,"February 9, 1942","LETTER TO MAGANLAL AND MANJULA
MEHTA","
  
 
February 9, 1942
 
CHI. MAGAN AND MANJULA,
 I have the letters of you both. Why this infatuation for the examination? It is strange that Manjula should press you. A man may sacrifice his all for his parents, children or brothers. Would you mind so much sacrificing studies for the sake of Ratilal? If you are determined to complete your studies, what is the harm in dropping the examination once? I still think you are failing in your duty to Ratilal.
 How can you expect to impose on somebody else a duty which you yourself are not ready to perform? If I had anybody with me, I would have taken charge of Ratilal long ago. I acknowledge no duties
 
 even to my sons now, otherwise I myself would have run down to Rajkot. You have no reason to refuse to go.
      	[PS.]  Blessings 	from  BAPU   I will certainly try 	to shift Champa from your room to some "
6,"February 	9, 1942",NOTE TO KRISHNACHANDRA,"
 other 	room.  From 	a photostat of the Gujarati: C.W. 1026. Courtesy: Manjula M. Mehta        February 	9, 1942  	Inform Balvantsinha that the scales are meant exclusively for men. 	They are costly and belong to the hospital. We have another for 	vegetables which should be kept in order.  From 	a photostat of the Hindi: G.N. 4414   "
7,"February 	9, 1942",LETTER TO B. S. PATHIK,"
            BHAI 	PATHIKJI,        SEVAGRAM,  February 	9, 1942 
  	I duly received your letter. I have also read what you wrote to 	Ramnarayanji. I need all the sincere comrades I can find. What 	answer can I give to your questions? I remain what I have always 	been. There has been no change in my ideas. If my writing or my work 	has provided any light to you, and if your reason accepts it, do 	come and have further experience of my method. I generally can spare 	very little time for conversation. What I want is that you should 	acquaint yourself with the atmosphere here and get to know the 	people.  Blessings 	from  BAPU  SJT. 	B. S. PATHIK  From 	a copy of the Hindi: Pyarelal Papers. Courtesy: Pyarelal "
8,"February 10, 1942",‘SUPPOSE GERMANY WINS’,"
  
 Suppose Germany wins with India not having entered the war, would Hitler leave India alone? Certainly not, my dear Mr. Gandhi, he will have a greater say in India than what Britain has now. The difference is this. You can fight the Englishman, but you cannot fight the German once he puts his foot on India’s soil. Civil disobedience is the terror of the Englishman, it is the daily bread of the Nazi.
 This is a question extracted from a very long and earnest letter from an English correspondent from South Africa. The first fallacy is that India is assumed not to have entered the war when to all intents and purposes she is in the war in spite of the powerful protest of the Congress. She is so much in the war that Great Britain is effectively using all the available fighting material which her generals have brought into being and trained, and is draining all the money she can. Politically-minded Indians have never been trained except for  doing the rulers’ clerical work. They are certainly holding themselves aloof until certain obviously necessary conditions are fulfilled. I do not see how they can be blamed for demanding the very liberty in defence of which the Allied Powers are said to be fighting. What Indians can do even if their demand is accepted is to give their moral weight to the struggle. This the rulers evidently do not care for. It cannot, in their opinion, turn the scales in their favour. Moral values do not count when each party swears by its material and physical resources. The Congress, with all the will in the world to  defeat Nazism, cannot thrust its help on Great Britain which evidently does not want it or about which it is at least indifferent. If, therefore, Great Britain suffers defeat, it will not be for want of Congress co-operation
but for causes over which the Congress can have no control.
 If the Nazis come to India, the Congress will give them the same fight that it has given Great Britain. I do not underrate the power of satyagraha as the questioner does. But that is pure speculation. Imperialism has kept its grip on India for more than 150 years. If it is overthrown by a worse type of rule, the Congress can  have  the  negative satisfaction of knowing that no other ‘ism’ can possibly last beyound a few years even if it establishes a foothold in India. That is as I read the Congress mind. Personally I think the end of this giant
 war will be what happened in the fabled Mahabharata War. The Mahabharata has been aptly described by a Travancorian as the permanent History of Man. What is described in that great epic is happening today before our very eyes. The warring nations are destroying themselves with such fury and ferocity that the end will be mutual exhaustion. The victor will share the fate that awaited the surviving Pandavas. The mighty warrior Arjuna was looted in broad daylight by a petty robber. And out of this holocaust must arise a new order for which the exploited millions of toilers have so long thirsted. The prayers of peace-lovers cannot go in vain. Satyagraha is itself an unmistakable mute prayer of an agonized soul.
 SEVAGRAM, February 10, 1942
 Harijan, 15-2-1942
 "
9,"February 11, 1942",SETH JAMNALAL BAJAJ libtech_8_footnote,"
  
 In   Seth   Jamnalal   Bajaj,   death   has   taken   a   mighty   man.libtech_9_footnoteWhenever I wrote of wealthy men becoming trustees of their wealth for the common good I always had this merchant prince principally in mind. If his trusteeship did not reach the ideal, the fault was not his. I deliberately restrained him. I did not want him in his enthusiasm to take a single step which in his cool moments he might regret. His simplicity was all his own. Every house he built for himself became a dharmashala. His contribution as a satyagrahi was of the  highest order. In political discussions he held his own. His judgements were sound. As an act of renunciation his last was the crown of all. He wanted to take up a constructive activity to which he could devote the rest of his life and in which he could use all his abilities. This was the preservation of the cattle wealth of India personifed in the cow. He threw himself into the work with a single-mindedness and zeal I had never seen surpassed. His generosity knew no distinction  of  race, creed or colour. He wanted to perform a rare thing for a busy man. He wanted to control his thoughts so as to prevent a single intruder
 
 from comming in. The world is poorer for his death. The country has lost one of the bravest of its servants. Janakidevi, the widow, has decided to take up the work to which he had dedicated himself. She has divested herself of all her personal property valued at about two and a half lacs. May God enable her to fulfil the trust she has undertaken.
 SEVAGRAM, February 11, 1942
 Harijan, 15-2-1942
 "
10,"February 11, 1942",LETTER TO CHIANG KAI-SHEK,"
  
 February 11, 1942
 DEAREST FRIEND,
 As you know I am living in a village out of touch with the outside world. I came to know of your arrival in my country side by side with the precious message from Pandit Nehru that you were coming to Wardha and to grace my cottage with your presence. And so I refrained from sending you a word of welcome. But to my great sorrow I have just learnt that you would not be able to come  to Wardha and you would not think of letting me come to you. I must leave you to imagine my sorrow that although you are in my country  I shall miss seeing you and your noble partner. We know each other through correspondence but much more through Jawaharlal Nehru. I have many ties with your country. I know that yours is a  vaster country than mine. And I do not know that yours is not a more ancient culture than ours. I know what it is to lose one’s liberty, having lost it for so many centuries. My whole heart goes out to you in your fight to preserve your own. May God crown your effort with success. The knowledge that circumstances over which you and I have no control make it impossible for us to meet brings us closer in spirit.libtech_10_footnote
 I am,
 Your sincere friend,
 M. K. GANDHI
 H. E. GENERALISSIMO CHIANG KAI-SHEK
 From a copy: Gandhi-Nehru Papers, 1942 Courtesy: Nehru Memorial Museum and Library
 
  "
