footnote_no,footnote
libtech_1_footnote,1The addressee was 	not allowed to enter Akola District under an order from the District 	Magistrate.
libtech_2_footnote,1K. M. Munshi
libtech_3_footnote,"2Vide “Speech 	at Gujarati Meeting”, 5-10-1909"
libtech_4_footnote,3The addressee 	had fallen 	ill. The expenses 	of her 	treatment were being met 	 by Gandhiji.
libtech_5_footnote,4Duncan Greenlees.
libtech_6_footnote,"1Keshav Gandhi, 	Maganlal Gandhi’s son"
libtech_7_footnote,1Kusam Gandhi
libtech_8_footnote,2Lilavati Asar
libtech_9_footnote,2The discussion is 	extracted from Mahadev Desai’s “Weekly Letter”.
libtech_10_footnote,"3T. Titus, Manager, Ashram dairy"
libtech_11_footnote,1The addressee had left Maganwadi on April 26.
libtech_12_footnote,2Addressee’s sons
libtech_13_footnote,"3Mahadev Desai had 	concluded: “The next day old associaters like Kakasaheb tackled 	him. . 	. . Bhansali persisted in 	pleading his 	unworthiness. ‘But’, 	said Kakasaheb, 	‘supposing Bapu were to 	ask one of us to fetch a 	glass of 	water, and 	if all of us were 	to say 	to him, 	‘we are sorry, Bapu, we 	have not the purity 	to do anything 	for you’, what would 	happen to 	Bapu?’ That 	seemed to 	go straight home. 	Bhansali wrote 	(for he talks 	only to Gandhiji): 	‘All right, 	then. I 	spin. I 	shall err on 	the safe 	side.’ And 	he is now regularly spinning.”"
libtech_14_footnote,"1Dr. Gopichand Bhargava, a Congress leader of the Punjab and  later  a Minister"
libtech_15_footnote,1Also known as 	Bhikshu Nirmalanand
libtech_16_footnote,2Addressee’s daughter
libtech_17_footnote,3The name has been 	imitted
libtech_18_footnote,"3In his letter to 	addressee’s son Purshottam, dated April 18, 1935, Gandhiji says 	“May you live long and may your aspirations be fulfilled” and 	approves of his plan of going to Chorwad in Saurashtra; vide 	“Letter to H. S. L. 	Polak”, 23-9-1909 Then on April 28 of the same year, he writes to 	Purshottam’s wife Vijay at her Chorwad address. Evidently by that 	date Purshottam and Vijaya had got married. The reference to his 	“happy decision”. presumably the decision to marry, suggests 	that this was written before his marriage to Vijaya."
libtech_19_footnote,4Addressee’s sons
libtech_20_footnote,
libtech_21_footnote,5Wife of Jayaprakash 	Narayan
libtech_22_footnote,6Omissions as in the 	source
libtech_23_footnote,7ibid.
libtech_24_footnote,
libtech_25_footnote,"1Kamala Nehru, who was to sail for Europe on May 23, under medical advice"
libtech_26_footnote,2Addressee’s 	daughter
libtech_27_footnote,"1In the source, the 	addressee explains that the letter was addressed to Dr. K."
libtech_28_footnote,1From the reference 	to Titus; vide also 	the following two items.
libtech_29_footnote,2Vide also 	the preceding two items.
libtech_30_footnote,1Addressee’s wife
libtech_31_footnote,"3Purushottam 	Gandhi’s wife, daughter-in-law of Narandas Gandhi"
libtech_32_footnote,1C. Rajagopalachari
libtech_33_footnote,2Balibehn Adalaja
libtech_34_footnote,1Harilal Gandhi’s 	daughter
libtech_35_footnote,1Maitri Giri
libtech_36_footnote,"2Prabhudas’s wife, 	Amba. Gandhiji has humorously compared her to the goddess 	Ambabhavani."
libtech_37_footnote,
libtech_38_footnote,"1A Harijan worker; 	vide also 	“Letter to Lrod Ampthill”, 29-7-1909"
libtech_39_footnote,1Also “ Help From 	Natal”
libtech_40_footnote,"1This letter is 	written on the back of a letter to Gandhiji dated April 29,"
libtech_41_footnote,"1President, 	Reception Committee, Hindi Sahitya Sammelan"
libtech_42_footnote,2This sentence is 	not clear in the original.
libtech_43_footnote,1As supplied by the 	addressee
libtech_44_footnote,"1The addressee 	had suggested 	to Gandhiji 	that someone should go to 	England “to 	help people 	understand the situation 	better”. Vide 	also “Letter 	to Swami Shankeranand”, 30-8-1909"
libtech_45_footnote,"2Chhotelal Jain, 	manager of the Wardha Ashram"
libtech_46_footnote,"1Kanwar Shumsher 	Singh, addressee’s brother"
libtech_47_footnote,"2Regarding guava 	seeds and use of coal as toothe powder. The information appeared 	under the title “Useful Hints” in Harijan, 	18-5-1935."
libtech_48_footnote,1Vide the 	preceding item
libtech_49_footnote,1Vide the 	preceding two items.
libtech_50_footnote,2A social worker and 	medical practitioner of Ahmedabad
