footnote_no,footnote
libtech_1_footnote,"1Gandhiji started 	writing in Gujarati the historty of Satyagraha in South Africa on 	November 26, 1923, when he was in the Yeravda Central Jail; vide 	“Jail Diary, 1923.” 	By the time he was released, on February 5, 1924, he had completed 	30 chapters."
libtech_2_footnote,"1Customs duties were levied at Viramgam and elsewhere from persons entering British India from Kathiawar, ostensibly to prevent smuggling of goods from foreign countries. The customs cordon was abolished in November 1917; also, An Autobiography, Pt. V, Ch. III."
libtech_3_footnote,"1Vide “Speech at Anti-Indenture Meeting, Bombay”, February 9 & February 11, 1917."
libtech_4_footnote,"2Passed on March 18, 1919, in the teeth of vehement popular opposition, this Act placed in the hands of the Executive vast emergency powers “for the purpose of dealing with anarchical and revolutionary movements”. For details vide “Summary of Rowlatt Bills”, Beore February 26, 1919 and “Congres Report on the Punjab Disorders - Chapter III - The Rowlatt Bills”, Before March 25, 1920."
libtech_5_footnote,3Arising out of the hardships inflicted on the ryots by indigo planters
libtech_6_footnote,"4The report of the Champaran Agrarian Enquiry Committee, in  the deliberations of which Gandhiji had played a prominent part, was signed on October 3, 1917, and the necessary legislation giving effect to its recommendations followed shortly after."
libtech_7_footnote,"1Vide Mahadev Desai, A Righteous Struggle, Navajivan Publishing House, Ahmedabad."
libtech_8_footnote,"2Vide “Speech at Mass Meeting, Ahmedabad”, April 14, 1919."
libtech_9_footnote,1The original adds here “Wednesday”.
libtech_10_footnote,"1This is a rendering of the second part of the preface published in Navajivan, 5-7-1925. It appeared in the original Gujarati edition, but was omitted in the English translation issued in 1928."
libtech_11_footnote,2For 21 days from 17-9-1924 to 8-10-1924
libtech_12_footnote,"1The original here has instead: “Good Hope means auspicious expectation. While on his way from Portugal to discover India, Vasco da Gama had halted at this port and here he took heart that his desire would surely be fulfilled. Hence he named the place “Cape of Good Hope”."
libtech_13_footnote,"1The original has here: “As a result of their labours, there are now to be found   a number of Negroes of character.”"
libtech_14_footnote,"1By the end of the war in 1902, there were 200,000 people confined in concentration camps. Some 4,000 women and 16,000 children had lost their lives through disease and starvation.—Walker in A History of South Africa"
libtech_15_footnote,"2The treaty was signed at Pretoria on May 31, 1902."
libtech_16_footnote,1The original here explains how the agreement under which the laburers served  in Natal became known as “indenture” and they as “indentured labourers”.
libtech_17_footnote,"2Vide “Petition 	to Natal Legislative Assembly”, June 28, 1894."
libtech_18_footnote,1This paragraph is not in the original.
libtech_19_footnote,1 Indian Immigration Commission constituted under Justice Wragg in 1885;
libtech_20_footnote,1The Franchise Law 	Amendment Bill
libtech_21_footnote,"3For the text of the 	memorial, vide 	“Memorial to J. 	Chamberlain”, May 22,"
libtech_22_footnote,"10,000 free Indians.1The Europeans had no solid grounds for their apprehensions, but it is impossible to convince by argument men who have been seized with vague terrors. As they were ignorant of the helpless condition of India and of the manners and customs of the Indian people, they were under the impression that the Indians were as adventurous and resourceful as themselves. They could scarcely be blamed if they thus created a bugbear of the vast population of India in comparison with their own small numbers. However that may be, the result of the successful opposition to the disfranchising bill was that in two other laws passed by the Natal Legislature it had to avoid racial distinction and to attain its end in an indirect manner. The position, therefore, was not as bad as it might have been. On this occasion too Indians offered a strenuous resistance, but in spite of this two laws were enacted.2   One of these imposed severe restrictions on Indian trade and the other on Indian immigration in Natal. The substance of the first Act was that no one could trade without a licence issued by an official appointed in accordance with its provisions. In practice any European could get a licence while the Indian had to face no end of difficulty in the matter. He had to engage a lawyer and incur other expenditure. Those who could not afford it had to go without a Licence. The chief provision of the other Act was that only such immigrants as were able to pass the education test in a European language could enter the Colony. This closed the doors of Natal against crores of Indians. Lest I should inadvertently do the Government of Natal an injustice, I must state that the Act further provided that an Indian resident in Natal for three years before the passing of that Act might obtain a certificate of domicile enabling him to leave the Colony and return at any time with his wife and minor children without being required to pass the education test."
libtech_23_footnote,"4Cf. ibid 	, where the figure 	mentioned is 9,000."
libtech_24_footnote,"2The Dealers’ Licenses Act and the Immigration Restriction Act, 1897, vide “Petition to Natal Legislative Assembly”, March 26, 1897 and “Circular Letter”, March 27, 1897."
libtech_25_footnote,5The refusal of the 	Imperial Government to give assent to the Bill was
libtech_26_footnote,"3The fifth caste among Hindus, traditionally regarded as untouchables"
libtech_27_footnote,"1Cf. “Notes on the Indian Question”, May 6, 1902, where the figures are “60,000 whites and an equal number of British Indian settlers”."
libtech_28_footnote,
libtech_29_footnote,"1For the full report of the interview between the Indian deputation and Lord Morley, vide “Deputation to Morley”, November 22, 1906 and “Deputation Notes - III”, November 23, 1906."
libtech_30_footnote,
libtech_31_footnote,"1Vide “Open Letter”, before December 19, 1894."
libtech_32_footnote,"1Vide “Notes on the Grievances of the British Indians in South Africa - The Transvaal or the South African Republic”, September 22, 1896."
libtech_33_footnote,"2Vide “Petition to Lord Ripon”, before May 5 1895."
libtech_34_footnote,"2Vide “The grievances of the British Indians in South Africa : An Appeal to the Indian Public - The Transvaal”, August 14, 1896."
libtech_35_footnote,"1Vide “Notes on the Grievances of the British Indians in South Africa”, September 22, 1896."
libtech_36_footnote,1Tayob Hajee Khan Mahomed
libtech_37_footnote,2ibid .
libtech_38_footnote,"2For the text, vide “Petition to Natal Legislative Assembly”, June 28, 1894."
libtech_39_footnote,"3Abdulla, Haji Adam"
libtech_40_footnote,"1The original adds here, “and even the case came to a conclusion”."
libtech_41_footnote,1The original has: “Or June”.
libtech_42_footnote,1British Indian Association
libtech_43_footnote,"2Cf. “Report of the Natal Indian Congress”, August, 1895, where the date given is 22nd August, 1894."
libtech_44_footnote,"1Vide “The Grievances of the British Indians in South Africa : Appeal to the Indian Public”, August 14, 1896 & “Notes on the Grievances of the British Indians in South Africa”, September 22, 1896. The pamphlet later became known as the Green Pamphlet because of the colour of its cover."
libtech_45_footnote,2The original has here: “The year 1894 came to an end”.
libtech_46_footnote,"1 Vide “A Confession of Faith”, July 13, 1921. This appeared in the issue of"
