chapter_no,date,title,content
1,"January 	12, 1924",INTERVIEW TO V. S. SRINIVASA SASTRI,"
       [SASSOON HOSPITAL,  POONA,  January 	12, 1924]  . 	. . Dr. V. B. Gokhale came to me about 8-45 p.m. just as I was 	finishing my dinner; he told me how the Yeravda authorities had 	removed Mr. Gandhi to the Sassoon Hospital, where he was in charge. 	He was about to be operated for appendicitis.  . 	. . On my entering the room, we greeted each other and I enquired 	how he felt as to the operation. 	He answered 	firmly that the doctors 	had come 	to a definite 	conclusion and 	he was content to abide by it, and in reply to further inquiry, he 	said that he had full confidence 	in the 	medical men 	about him and that they had been very kind and very 	careful. Should there 	arise any public 	agitation, he added 	that it should 	be made 	known that 	he had no complaint 	whatever to make 	against the authorities 	and that 	so far as the 	care of his body went, 	their treatment left nothing to be desired. Then I enquired if Mrs. 	Gandhi had 	been informed of 	his condition. 	He said 	that she did not know the latest 	development, but 	she knew that for 	sometime he 	had not been 	well and he 	expected to 	hear from her. He 	then made inquiries of 	my wife and 	of my colleagues in 	the Servants of India Society, viz., Messrs Devadhar, Joshi, Patwardhan and Kunzru. He asked: Have 	your frequent journeys out of India benefited your health?  Doctor 	Phatak then read a draft statement to be signed by Mr. Gandhi 	conveying his consent 	to the 	operation. After 	hearing it 	once, Mr. Gandhi 	put on 	his spectacles 	and read it 	himself. Then 	he said 	he would 	like the wording 	to be changed 	and asked 	Col. Maddock who 	was in the 	room what he 	thought. The 	Colonel said 	Mr. Gandhi 	knew best how 	to put 	it in appropriate 	language. His own 	suggestion would [not] be 	of much value.  Then 	he dictated a lengthy statementlibtech_1_footnotewhich I took down 	in pencil.  When 	it was finished, I read it out to him once. Then he called Col. 	Maddock to his side and I read it again at his desire. Col. Maddock 	was quite satisfied and remarked: “Of course you know best how to 	put in proper language.” He then drew up his proper posture for 	signing the paper, which he did in pencil. His hand shook very much 	and I noticed that he did not dot the “i”. At the end he 	remarked to the doctor: See 	how my hand trembles. You will have to put this right.  Col. Maddock answered: “Oh ! We will put tons and tons of strength into you.”  As 	the operation 	room was being got ready, 	the doctors 	went out and I 	found myself nearly alone 	with the Mahatma. 	After a 	remark or 	two of 	a purely 	personal nature, 	I asked 	him whether 	he had 	anything particular to 	say. I 	noticed a 	touch of 	eagerness as he replied as though he was waiting for an opportunity to say something.      
 If there is an agitation for my release after the operation, which I do not wish, let it be on proper lines. My quarrel with the Govern-ment is there and will continue so long as the originating causes exist. Of course, there cannot be any conditions. If the Government think they have kept me long enough, they may let me go, that would be  honorable if they think I am an innocent man and that my motives have been good. While I have a deep quarrel with the Government, I love the Englishmen and have many friends amongst them. They may release me. But it must not be on false issues. Any agitation must be kept on proper, non-violent lines. Perhaps, I have not expressed myself quite well, but you had better put it in your own inimitable style.
 I then pressed him again for a message to his people, his followers or the country. He was surprisingly firm on this subject. He said he was a prisoner of Government and he must observe the prisoner’s code of honour scrupulously. He was supposed to be civilly dead. He had no knowledge of outside events and he could not have anything to do with the public. He had no message.
 “How is it then that Mr. Mahomed Ali communicated a message as from you the other day?” The words were scarcely out of my mouth when I regretted them, but recall was impossible.
 He was obviously astonished at my question, and exclaimed.:
Mr. Mahomed Ali ! A message from me !libtech_2_footnote
 Briskly, at this point, the nurse came in with some articles of apparel for him, and signalled to me to depart. In a few minutes, he was shifted to the operation room. I sat outside marvelling at the exhibition I had witnessed of high-mindedness, forgiveness, chivalry and love transcending ordinary human nature, and what a mercy  it was that the non-co-operation movement should have had a leader of such serene vision and sensitiveness to honour. . .
 . . . I have read out this statement to Dr. Phatak who approves of it and adds that  his inquiry as to a message elicited the same sort of answers.
 The Hindu, 14-1-1924
 
 
 
 
 
 
 
 "
2,"January 12,1924",LETTER TO COL. MADDOCK libtech_3_footnote,"
  
 SASSOON HOSPITAL,
 Poona,
 9.45 p. m., January 12,1924libtech_4_footnote
 DEAR COL. MADDOCK,
 I know that you know the history of my illness during the past 6 months. You have been extraordinarily kind to me. You, the Surgeon- General and other medical gentlemen have come to the conclusion that any delay in performing the operation described by you to me involves considerable risk. You were kind enough to tell me that Government had authorized you to send for any of my special medical friends. I therefore suggested the names of Dr. Dalal and Dr. Jivraj Mehta. You have tried your utmost to secure their presence. But then you have not been able to get at either of them. I have the fullest confidence in you and regard being had to the serious nature of the case I would ask you please to go on with the operation without delay.
 I am, Yours sincerely
 From a photostat: S.N. 8121
 "
3,"January 14, 1924","3 . MESSAGE TO THE
COUNTRY libtech_5_footnote","
 January 14, 1924
 I am deeply touched by manifestation of deep affection shown to me by my countrymen during the critical period of my health. They need have no anxiety because every possible attention is being given me by medical authorities here.
 Young India, 17-1-1924
 
 
 over the country, was first published in The Bombay Chronicle, 15-1-1924. Young India reproduced it with a short editorial note under the caption, “The Nation in Agony”.
 operated upon for appendicitis on January 12.
  "
4,"January 19, 1924","INTERVIEW TO “ THE
	BOMBAY CHRONICLE”","
  
 POONA,
 January 19, 1924 The jail authorities cannot be blamed. Our fight must be clean. Appendicitis is a  difficult disease to diagnose. Col. Murray is one  of
the  best  men  I   have   met.  He   has   been   very   kind   to   me.  He is
 conscientious, considerate and kind. I hold the highest opinion about him.
 The Searchlight, 27-1-1924
 "
5,"February 2, 1924","INTERVIEW TO DILIP KUMAR
ROYlibtech_6_footnote","
  
 February 2, 1924
 Our conversation having that morning centered round music, Mahatmaji told me in passing how fond he really was of music even though he could not boast of the power of any expert for analytic appreciation. He had said:
I am so found of music that once, while I was in a South African
 Hospital and ailing from a bruise on my upper lip, I  felt  greatly soothed as the daughter of a friend of mine sang the song ‘Lead, Kindly Light’ at my request.
 On my asking him if he knew any of the beautiful songs of Mirabai, he said:
 Yes, I have heard a good many of them. They are so beautiful. It’s because they come from the heart and not from any desire to compose or to please a public.
 I called the same evening at his request. After the music, I saw that it had affected him visibly. For I thought I saw his eyes glisten even in that none-too-bright light of the hospital.
 “I feel” said I after a short pause, “that our beautiful music has been sadly neglected in the schools and colleges.” Mahatmaji replied:
Yes, it has, I have always said so.
 Srijut Mahadeo Desai who was present throughout our conversation
 
 7-2-1924, and later, featured in Roy’s book Among the Great, Jaico Publishing House, Bombay. According to the author, Gandhiji had revised the reports of the talks and authorized him to publish them in the book.
 corroborated this. “I am glad to hear you say so. Because I have been all along under the impression that you would be against all arts such as music.”
 I ! Against music! Well, I know, I know. . . There are so many superstitions rife about me that it has become now almost impossible for me to overtake those who have set them afloat. As a result, my friends only smile at me when I try to lay any claim to being an artist myself.
 “I am glad to hear this; because I have been given to understand that in your philosophy of life, which is one of unqualified asceticism, arts like music can hardly aspire to any place.” Mahatmaji emphatically said:
But I maintain that asceticism is the greatest art in life.
 “What I however meant by art just now is a somewhat different activity such as music or painting or sculpture for the matter of that. And I had thought that you would be rather opposed to them than otherwise.” Mahatma said:
I, opposed to arts like music! Why, I cannot even conceive of an
 evolution of the religious life of India without music. I do say I am a lover of music as well as the other arts. Only, my values may be different from the accepted ones, that’s all. I am doubtless against much that passes for art in these days. I do not for instance call that art which demands an intimate knowledge of its technique for its appreciation. If you go to the Satyagraha Ashram, you will find the walls bare. And my friends object to this. I admit I don’t  have  paintings on the walls of my Ashram. But that is because I think that the walls are meant for sheltering us, and not because I am opposed to art as such. For have I not gazed and gazed at the wonderful vault of the starry skyhardly ever tiring of the same? And I do say that I can never conceive of any painting superior to the star-studded sky in its satisfying  effect  on   the   mind.  It   has   bewildered  me,  mystified me
  sent 	me into 	the most wonderful 	ecstatic thrills imaginable. Side 	by side 	with this wondrous 	mystery of God’s 	artistic handiwork, does 	not that 	of man 	appear to 	be the merest tinsel? 
 I said: “ I agree with you when you say that Nature is a great artist, as also when you inveigh against the regrettable prostitution of art, which unhappily so often passes for art. I differ also from those artists who have acquired the habit of saying that art is even greater than life.”
 Exactly. Life is and must always be greater than all the arts put together. I go still further. For I say that he is the greatest artist who leads the best life. For what is art without the background and setting of a worthy life? An art is to be valued only when it ennobles life. I object emphatically only when people say that art is everything, that it does
 not matter even if life has to be held subservient to its (i.e., art’s ) fulfilment. I have then to say that my values are different, that is all. But fancy people saying that I am opposed to all arts on that account !
 The Bombay Chronicle, 5-2-1924
 "
6,"February 5, 1924","INTERVIEW TO “
YUGA DHARMA”libtech_7_footnote","
  
 [Before February 5, 1924]
 Dr. Sumant enquired of Mahatmaji how it was that such a disease could attack a man like him who was self-restricted sanyams. Mahatmaji replied that though he was moderate in food for many year, he had not yet been abstemious as he ought to have been. Mahatmaji said:
 I am sure that my body does not need much food. In fact, very little food is required when one has to undergo mental work and a good deal of concentration. Perhaps my weight might have been decreased by being abstemious. But my body would have been surely improved.
 Mahatmaji was of opinion that there was no necessity of pulse as food for those who were used to brain work. As regards the amelioration of the depressed classes, Mahatmaji expressed the necessity of working in the villages by encamping there. He did not at all believe the rumour that there was a depression in the workers of Gujarat.
 In a further conversation Mahatmaji said:
 I have plunged into politics simply in search of Truth. When I went to jail, I had fixed my programme for full six years. I have dictated a little about South Africa to Indulal, but my thoughts about the Gita are still to be dictated and I want to show how to epitomize the Mahabharata. I also think of writing my autobiography. Still I have to do much.
 On Dr. Sumant commenting on the new Labour Government in England by saying that there were still people who hoped to get sweets from the  Labour Government, Mahatmaji answered with a rather grave voice:
 People do not leave off the hope of getting help from outside. Who can give swaraj? We have to take it. What about the depressed classes and what about solving the problem of Hindu-Muslim unity? What help can the Labour Government give you as regards these questions? Your future lies in your own hands. If you get sweet-balls, they will be made of stones.
 The Hindu, 18-2-1924
 
 
  "
7,"February 5, 1924","ANSWERS TO DREW PEARSON’S
QUESTIONSlibtech_8_footnote","
  
 [After February 5, 1924]libtech_9_footnoteMr. Gandhi is recuperating in the mountain air of Poona, just a few miles from Yeravda prison in which two years of confinement so broke his health that
 unconditional release by the British Government was necessary.
 His first statement, when interviewed,  was:
 I shall resume my activities for the attainment of swaraj just as soon as I am restored to complete health.
 What course would he take? He answered quietly:
 I still believe it possible for India to remain within the British Empire. I still put implicit faith in non-violence, which, if strictly followed by India, will invoke the best in the British people. My hope for the attainment of swaraj by non-violence is based upon an immutable belief in the goodness which exists deep down in all human nature.
I have always maintained that India had no quarrel with the
 
 Earlier, Drew Pearson had sought Sir George Lloyd’s permission to  visit Gandhiji in jail, which was refused. For an account of his interview with the Gover-nor, vide Appendix “Drew Pearson’s Interview with Sir George Lloyd”, 22-11-1923.
 English. Jesus denounced the wickedness of the Scribes and Pharisees, but he did not hate them. So we need not hate Englishmen, though we hate the system they have established. They have given India a system based upon force, by which they can feel secure only in the shadow of their forts and guns. We Indians, in turn, hope by our conduct to demonstrate to every Englishman that he is as safe in the remotest corner of India as he professes to feel behind the machine gun.
 What do yon mean by swaraj?
 A full partnership for India with other parts of the Empire, just the same as Canada, South Africa and Australia enjoy. Nor shall we be satisfied until we obtain full citizens’ rights throughout the British Dominions for all the King’s subjects, irrespective of caste, colour or creed.
 I asked Mr. Gandhi if he still believed in boycotting the Councils.
 Yes, I still believe that we should not participate in the Councils until Britain suffers a change of heart and acts squarely with us. However, I do not wish to express any opinion on the action of the Nationalist party in participating in the Councils, until I have talked with the leaders. This I have already started to do.
 When asked if imprisonment had changed his views on politics and religion, Mr. Gandhi replied:
They have undergone no change, but have been confirmed by
 two years of solitude and introspection. I have been experimenting with myself and friends by introducing religion into politics, and now I believe they cannot be divorced. Let me explain what I mean by religion. It is not Hinduism, which I prize most highly, but the religion which transcends Hinduismthe basic truth which underlies all the religions of the world. It is the struggle for truthfor self-expression. I call it the truthforce the permanent element in human nature, constantly struggling to find itself, to know its Maker. This is religion.
 I believe that politics cannot be divorced from religion. My politics can be summed up in two wordsnon-violent non-co- operation. And the roots of non-co-operation are buried  in  the religions of the world. Christ refused to co-operate with the Scribes and Pharisees. Buddha fearlessly refused to co-operate with the arrogant priesthood of his day. Mahomed, Confucius, most of our great prophets have been non-co-operators. I simply and humbly follow in their footsteps.
Non-co-operation means nothing less than training in self
 sacrifice. And this again was practiced by the great teachers of the world. Strength does not come from physical capacity. It comes from indomitable will. I have ventured to place before India the ancient law of self-sacrifice-the obedience to the strength of the spirit.
 By non-violence I do not mean cowardice. I do believe that, where there is only a choice between cowardice and violence, I would advise violence. But I believe that forgiveness adorns a soldier. And so  I am not pleading for India to practise non-violence because she is weak, but because she is conscious of her power and strength. The rishis, who discovered the law of non-violence, were greater geniuses than Newton. Having themselves known the use of arms, they realized their uselessness and taught a weary world that its salvation lay not through violence, but through non-violence.
 Therefore, I respectfully invite Americans to study carefully the Indian National Movement and they will therein find an effective substitute for war.
 Before his imprisonment Mr. Gandhi was a most severe critic of modern civilization and I asked if his views had suffered any change.
They remain unchanged. My opinion of modern civilization is
 that it is a worship of materialism, resulting in the exploitation of the weak by the strong. American wealth has become the standard. The United States is the envy of all other nations. Meanwhile, moral growth has become stunted and progress measured in pounds, shillings and pence.
 This land of ours, we are told, was once the abode of the gods. But it is not possible to conceive of gods inhabiting a land which is made hideous by the smoke and din of mill chimneys and factories, and whose roadways are traversed by rushing engines, dragging cars crowded with men who know not for the most part what they are after, do not care, and whose tempers do not improve by being uncom- fortably packed together like sardines in boxes. Factories have risen on the corpses of men, women and children to create what we call civilization.
 When asked for his opinion on the action of the Supreme Court in barring Indians from United States citizenship, Mr. Gandhi replied that he deplored the decision, and considered it due to American ignorance of India’s civilization and its possibilities.
 Finally, when reminded of the fact that all India worshipped him as a “saint”, that thousands of children were being named “Gandhidas”, that wreaths were daily
 freshened over his pictures in millions of homes throughout India, Mr. Gandhi replied simply:
I think that word “saint” should be ruled out of present life. It is
 too sacred a word to be lightly applied to anybody, much less to one like myself, who claims only to be a humble searcher after Truth.libtech_10_footnote
 From a newspaper cutting: S.N. 8956
 "
8,"February 6, 1924",MESSAGE TO GUJARAT VIDYAPITH,"
  
 [On or before February 6, 1924]libtech_11_footnote
 The message was to the effect that the release from imprisonment was no cause for rejoicing but rather for greater humility. The burden of responsibility would be now heavier than ever to bear, and they must prepare themselves and get ready to be strong enough to bear it when the time came.
 The Bombay Chronicle, 9-2-1924
 "
9,"February 6, 	1924",TELEGRAM TO LAJPAT RAI libtech_12_footnote,"
        POONA, 
  [On 	or before February 6, 	1924]  THANKS		I		WILL	NOT	TROUBLE	YOU	WHILE	YOU 	ARE	ILL.		WRITING.libtech_13_footnote  From 	a photostat: S.N. 8264   "
10,"February 7, 1924",INTERVIEW TO “THE BOMBAY CHRONICLE”,"
         POONA, 
  [Before 	February 7, 1924] Interviewed by 	Mr. S. 	  A.   Brelvi, 	  joint editor  of	The Bombay Chronicle, Mahatma Gandhi 	said that he had 	been preparing 	in his 	mind a message to his countrymen on his release. The message would take the form of a letter addressed to the       
 President of the Congress, Maulana Mahohmed Ali, just as, soon after his conviction, he had wished to speak to his countrymen through a letter addressed to the then President, Hakim Ajmal Khan Saheb. The letter to the Hakim Saheb, however, never reached him, because the Government, of Bombay asked the Mahatma to alter and amend certain passages which he refused to do. The Mahatma intended to take the earliest opportunity of publishing that letter.
 He was grieved to find, he said, that the decision of the Government to release him was based on considerations of his health. He would be very glad to believe that his release indicated a change in the attitude of Government towards him and his activities and a realization on their part that his preaching of non-violence was not a cover for violence as was represented by his misguided critics. He would heartily welcome any indication that the Government had grasped the fact that non-violence was the essence of the non-co-operation movement.
 The Hindu, 8-2-1924
 "
