footnote_no,footnote
libtech_1_footnote,1This is extracted 	from “The Decision and After-III” by Mahadev Desai. Gandhiji was 	speaking at the Executive Committee meeting.
libtech_2_footnote,"1The talk is extracted from “The Decision and After-III”. Mahadev Desai explains that Gandhiji was “speaking on another occasion”, and includes this after his report of the speech at Executive Committee meeting of Kathiawar Political Conference; vide the preceding item."
libtech_3_footnote,2ibid
libtech_4_footnote,3Here Mahadev Desai has omitted “instances” given by Gandhiji.
libtech_5_footnote,"1According to the 	source, the third session of the Conference was held some time in 	“May, 1939”."
libtech_6_footnote,2By which Gandhiji 	travelled to Bombay.
libtech_7_footnote,1Kathiawar Political Conference.
libtech_8_footnote,"1Vide “Clearing the Issue”, 30-1-1930."
libtech_9_footnote,"2The discussion is extracted from “The Decision and After—IV”. According to The Bombay Chronicle, 2-6-1939, the deputationists, Pattom Thanu Pillai, Verghese and Philipose, were travelling with Gandhiji from Rajkot to Bombay. Vide also “Statement on Travancore”, 4-6-1939."
libtech_10_footnote,"1This and the following item are extracted from “The Anti-Prohibition Deputations” by Mahadev Desai, who explains that “the first deputation consisted of representatives of toddy, country liquor and foreign liquor dealers”. Their representation addressed itself mainly to the hardships and sufferings that would be the result of several thousand Parsi families being thrown out of employment; their being reduced to poverty and even bankruptcy; illicit sales and clandestine breaches of the law; impossibility of disposing of 50 to 60 lakhs of rupees worth of material by August 1; the loss on having to dispose of costly furniture. The Bombay chronicle, 3-6-1939, reports that the deputation, which met Gandhiji in the afternoon, was led by M. B. Baria. It included R. R. Patel, R. D. Shroff, Phirozeshaw Shroff, J. D. Crawford and M. M. Surve."
libtech_11_footnote,"1Vide Appendix “Extracts from the Congress Election Manifesto”, 22-8-1936."
libtech_12_footnote,"2From The Bombay Chronicle, 3-6-1939; also Gandhi—1915–1948"
libtech_13_footnote,"1Mahadev Desai explains:“The deputation was headed by Sir Cowasji Jehangir and its other members were Sir J. C. Koyaji, Sir H. P. Modi, Messrs Khareghat, A. D. Shroff and Saklatwala.” Vide also the preceding item."
libtech_14_footnote,2Then Gandhiji offered them a plate of palm-juice and date-palm juice.
libtech_15_footnote,1Vide the preceding item.
libtech_16_footnote,"2From The Bombay Chronicle, 3-6-1939"
libtech_17_footnote,"1This was in 	response to a telegram from Sir Sayed Raza Ali, received on June   	3, 1939, 	which read: “Indians 	meeting Johannesburg 	tomorrow to consider 	civil resistance. 	Am advising 	them against 	it as premature 	India too weak to 	help them. 	Please cable your advice Congress care Gabaco Johannesburg.”"
libtech_18_footnote,"2In Harijan, 	this appeared under 	the title “New Technique in Action”. The state-ment was also 	publised in the The 	Hindu, 4-6-1939, and 	The Bombay Chronicle, 	5-6-1939."
libtech_19_footnote,1The reformed Aundh constitution became law on January 21. It aimed at total transfer of power to the people.
libtech_20_footnote,2Vide the preceding item.
libtech_21_footnote,"3Vide “Discussion 	with Travancore State Congress Deputation”, 1-6-1939."
libtech_22_footnote,"1In “The Decision and After—IV”, Mahadev Desai explains that the Working Committee of the Travancore State Congress passed the following resolution: “We accept Gandhiji’s advice, and our acceptance fully warranted by the circumstances; but the responsibility for acceptance is entirely our own.”"
libtech_23_footnote,"1Vide letter 	to the addressee, “Speech at Gandhi Seva Sangh Meeting, Hudli- 	III”, 20-4-1937."
libtech_24_footnote,1Sir Girjashanker 	Bajpai
libtech_25_footnote,2Omission as in the 	source
libtech_26_footnote,1The reference is to 	the postponement of visit to the Frontier Province; vide
libtech_27_footnote,"1S. E. Stokes, 	Christian missionary, social worker and close associate of C."
libtech_28_footnote,"2Vide “Statement 	on Travancore”, 4-6-1939."
libtech_29_footnote,1Mridula Sarabhai
libtech_30_footnote,2ibid
libtech_31_footnote,"1Vide “Letter 	to Chandan Parekh”, 24-5-1939."
libtech_32_footnote,"1The letter 	was in 	reply to 	a joint 	letter dated June 9 	from Binode 	Kanungo and 	Gurchandra Das 	who had protested against 	the appointment 	of Gobinda 	Misra, Bansidhar 	Ratha and Godassi 	Mahapatra as Inspectors 	of Orissa 	Pradesh Congress 	Committee."
libtech_33_footnote,"1The letter dated 	June 1, from T. D. Roberts, the Archbishop, was published separately 	in the same issue of Harijan."
libtech_34_footnote,"1Vide”Interview to Parsi Deputation”, 2-6-1939."
libtech_35_footnote,"2Vide “Letter 	to Amrit Kaur”, 26-5-1939, “28-5-1939, and 10-6-1939."
libtech_36_footnote,"1Dr. D. D. Gilder, Health and Excise Minister of Bombay"
libtech_37_footnote,1The Archbishop had 	said: “. . . I would gladly promise—as so many thousands of 	priests have done—never to drink alcoholic liquor except at the 	times when we believe its use enjoined by God in His own temple . . 	.”
libtech_38_footnote,1The name is 	illegible in the source.
libtech_39_footnote,"2Kailash Narain 	Haksar, Personal Adviser to the Maharaja of Jammu and Kas- hmir. 	Gandhiji was to visit Kashmir as Haksar’s guest. The visit was, 	however, cancelled; vide“Statement 	to the Press”, 22-7-1939."
libtech_40_footnote,"1The interview is 	extracted from Mahadev Desai’s “The Decision and After— IV” 	in Harijan. The Hindu 	reported: “H. C. 	Dasappa, President, Mysore Congress, acquainted Gandhiji with the 	present political situation, struggles undergone, agreements entered 	into at Sardar Patel’s and Mr. Kripalani’s intercession, 	Government’s recent denial of agreement itself and how the State 	Congress had to withdraw from Reforms Committee and constitutional 	bodies. He referred to uncontradicted forecasts of reforms 	recom-mended by Reforms Committee which contemplates introducing a 	very dilute diarchical form of government and which is quite 	disappointing and unacceptable. Mr. Dasappa said: ‘Considering all 	circumstances, it is impossible to achieve responsible government 	without struggle and the country (State subjects) was prepared for 	carrying the struggle on strictly peaceful lines.’ ”"
libtech_41_footnote,"1Referring to “this middle course” which is neither violence  nor  non-  violence, Mahadev Desai explains: “Mr. Case gave the appropriate word for it—Non- violent Coercion—which he made the title of his book.       In fact there is a school of"
libtech_42_footnote,3The superscription 	is in Urdu.
libtech_43_footnote,"2Vide”Statement 	of Travancore”, 4-6-1939."
libtech_44_footnote,"1This paragraph is reproduced from The Hindu, which added: “It is understood that Gandhiji received an invitation also from Sir Mirza Ismail, Dewan of Mysore, to take a trip to Mysore for health, which also Gandhiji found impossible to accept.”"
libtech_45_footnote,"1This is 	extracted from “Bengal 	Political Prisoners”. According to 	the source 	the statement 	was given 	“in releasing 	the letter” 	dated May 31, 1939, 	from Sarat Chandra 	Bose, Leader 	of the Opposition, 	Bengal Legislative 	Assembly; vide 	Appendix “Letter 	from Sarat Chandra Bose”, 31-5-1939."
libtech_46_footnote,2Appointed by the 	Bengal Government; it started working from December
libtech_47_footnote,"1Vide “Statement 	to the Press”, 13-4-1938 and 4-10-1938; also “Statement on 	Bengal Government’s Communique”, 21-11-1937."
libtech_48_footnote,3Lakshmidas Asar
libtech_49_footnote,1Lilavati Asar
libtech_50_footnote,"2The postmark is 	illegible in the source. Vide, 	however, the 	following item."
libtech_51_footnote,"1For Gandhiji’s 	article on the resistance of the Parsi community to the liquor 	policy of the Congress; ibid., 	pp. 387-9."
libtech_52_footnote,1The superscription 	is in Urdu.
libtech_53_footnote,"1Vide, however, 	“Letter to Amrit Kaur”, 15-6-1939."
libtech_54_footnote,2Vide the 	preceding item.
