chapter_no,date,title,content
1,"September 	2, 1927",LETTER TO BAL KALELKAR,"
         ARNI, 
     CHI. 	BAL, September 	2, 1927 
  	I got your letter and liked it very much. I could not reply 	immediately for want of time. I shall answer two of your questions. 	A brahmachari sacrifices all pleasures merely through faith 	or in obedience to his parents or a custom. There is obedience in 	his sacrifice, but not knowledge. And if he cannot bring himself to 	make for ever that sacrifice, he has freedom to enjoy pleasures 	within limits after completing his studies. A sannyasi makes the 	same sacrifice knowingly and willingly. He does not and cannot keep 	it open for him to return to pleasures after having abjured them. 	Both types  of  sacrifice are very essential to individuals as well 	as to society.  	Now the second question. Non-violence means not harming anyone in 	thought, word or action out of ill will or selfishness. If we wish 	or do ill to any stranger in the interests of our parents, that is 	violence. We can see and prove with the help of our know ledge that 	wishing or doing ill benefits neither the world nor our parents. 	Hence I had written that it was my belief we dis cover nonviolence 	the moment we realize that its root is to be found in wishing well 	to the world as much as to ourselves. You will thus see that we can 	of course prove independently that one should wish well to the 	world, but if we abide by the dharma of non-violence the 	responsibility to wish well to the world as well devolves on us even 	in pursuance of that dharma. If we understand this from our very 	childhood, our reason would admit it and the heart too would like 	it. That is to say, if we continue for ever the sacrifice which we 	have undertaken in good faith during the stage of brahmacharya we 	become sannyasis. Shankaracharya did this in the past. Dayanada did 	it in our own age. That we all cannot do so is due to our 	shortcoming and that constitutes an obstacle to doing good to the 	world. But we cannot do such things merely by exercising our 	reasoning. But if, with the help of our intellect, we imprint it day 	after day on our hearts and if it gets so imprinted, the whole world 	will not, even if it tried, be able to stop us from sacrificing our 	all. If any special problems arise, do tell me. Read this to all the 	pupils if you can. [From 	Gujarati]  From 	the manuscript of Mahadev Desai’s Diary. Courtesy: Narayan Desai 
  "
2,"September 2, 1927",SPEECH AT ARNIlibtech_1_footnote,"
  
 September 2, 1927
 You love to get a little bit of a rag, or cocoanut, or anything that you can get as prasadam from temples from which, alas, all holiness has fled. I would ask you to transfer that spirit of humility and devotion to khaddar which is spun and woven in the living temple of Daridranarayana. Our temples have their proper place in our religion and society only in so far they enable us to reach out the hand of fellowship to the starving millions of India. But these very temples will be the instruments of forging our shackles if they become impassable barriers between the masses and us. If you will wear khaddar in true spirit you will purify yourselves and the temples. I need not explain to you now, how the removal of untouchability necessarily follows from this proposition.
 Young India, 8-9-1927
 "
3,"September 2, 1927",SPEECH AT ARCOT,"
  
 September 2, 1927
 I am very thankful for the cordial reception and for the purse you have given me, but I am not satisfied with this amount. I know that there are many in this gathering who have not contributed to the Fund which is intended for our poor brethren. You must encourage spinning by wearing khaddar. I am very glad to find here that the Hindus and the Mussalmans have met together in mutual co-operation unlike in the North where communal hatred is prevailing.
 Yesterday when I had been to a Hindu temple on my way I was given the  prasad by the  gurukkallibtech_2_footnote. I told him that I am a pariah and asked him whether he would allow a pariah inside the temple. He laughed at me and said that he would do it gradually. I appeal to all men and women who have assembled here to treat the so-called pariah as our equal and move with him freely.
 Since I find no place to have this silver plate, I shall have it auctioned. Volunteers will come in your midst for collection and you
 
 can give whatever you please. As I have to go to another place I shall conclude my speech, once more thanking you for your gifts and addresses.
 The Hindu, 5-9-1927
 "
4,"September 2, 1927",LETTER TOBALWANTRAI MEHTA,"
  
 [After September 2, 1927]libtech_3_footnoteI have your letter. You may rest assured that I shall not take a decision hastily. I am now conveying all my doubts to everyone who
should know them and am seeking assistance in coming to a decision.
 I make no distinction between K and Devdas. It is no pleasure to me to entertain any suspicion about K. K. and K are in fact related to me as children. Hence it is not at all possible that I shall decide anything in haste.
 Your argument does not appeal to me. You may know that I myself am a proof before you that sex does not discriminate  bet  ween the young and the old. Even today I have to erect all sorts of walls around me for the sake of safety.
 Despite this, I was in danger of succumbing a few years ago. Moreover, sexual desire does not bother about time either. Despite our belief that Bhai K’s ideas about brahmacharya, etc., were pure it is no wonder if ultimately he succumbed to desire. A young man whose case was almost similar confessed to me in Bangalore. He is regarded as a brahmachari. He is a darling of his family. No one can suspect him as things stand. He studies in the intermediate class. He has not been able to save himself from a widow who is related to him. He came to me saying, “Save me from this fever.” Despite having sworn to a friend, he fell again. Hence he sought refuge in me. What refuge could I provide? But that is a digression.
 What I have learnt is this: K had closer relations with K and her family than warranted. Both were reprimanded and both were convinced. Both agreed not to have such intimacy. In spite of this, they were seen secretly meeting each other. So Maganlal went on a fast. Notwithstanding this, they again met secretly. If my information is correct, I cannot get over my doubt. And if K has committed this slip such a man can in no time succumb to temptations of money. But
 
 these are all my inferences based on a single premise. I cannot but have all sorts of doubt about a person who acts with deliberate dishonesty. I am still investigating. I am not unaware of Maganlal’s opinion which you quote. You are also aware that I have great confidence in his judgment. I shall write to him too.
 Now the question that either you or his father should reimburse the amount, if K has embezzled any, does not arise at all. I am considering only the ethical aspect of this question.
 Whatever I shall now write for Navajivan cannot but reflect my doubt; hence if you let me have some draft I shall consider and publish it, if I can.
 I have not made light of suicides. I know of only two occasions when suicide becomes a duty. There are many grounds for that opinion. A man who is helpless against indulgence and cannot control himself but has sense enough to bring about his end ought to do so. That would be his dharma. Likewise, when a beast of a man attempts to criminally assault a woman, it is her duty to save herself by committing suicide. Indeed I have very often quoted these two instances in the Ashram. And I think it is only proper. Even if K has committed all the three faults mentioned above, as far as the tenets of the Ashram are concerned the duty to commit suicide cannot be established nor that of running away. Atonement is the only duty in such a case but I know from the many letters K wrote to me that he has always opposed a number of rules observed in the Ashram.
 Blessings from
 MOHANDAS
[From Gujarati]
 From the manuscript of Mahadev Desai’s Diary. Courtesy: Narayan Desai
 "
5,"September 	3, 1927",TELEGRAM TO MIRABEHN,"
        MADRAS, 
   MIRABEHN SATYAGRAHA 	ASHRAM, 	WARDHA September 	3, 1927 
  YOU	MAY	GO	BOMBAY	FOR	EXAMINATION	APPENDIX	AND 	EYES.		WIRE		CONDITION. 
   From 	the original: C.W. 5266. Courtesy: Mirabehn  BAPU 
  "
6,"September 	3, 1927",TELEGRAM TO MIRABEHN,"
         MADRAS, 
     TO MIRABEHN SAYTAGRAHA 	ASHRAM, 	WARDHA September 	3, 1927 
  WIRE	RECEIVED.		DISTRESSED.	GOD	BE	WITH	YOU. 	EXPECT 	DAILY	REPORTS.	LOVE.	ANDREWS		JOINS. 
   From 	the original: C.W. 5267. Courtesy: Mirabehn  BAPU "
7,"September 	3, 1927","SPEECH TO LABOUR, PERAVALLUR","
       September 	3, 1927 FRIENDS,  	I thank you for the address and the two purses. I congratulate you 	on having the clublibtech_4_footnotewhose 	main object is to advance the cause of khadi. The ingenious manner 	in which you are advocating its cause is worthy of imitation by all 	of us. For a poor man it is the most convenient form of getting a 	loan free of interest. But as in most things in this also the 	honesty on the part of all members is an indispensable condition. As 	you know, having myself become a labourer and having worked with 	them in their midst and for them for over 35 years I am deeply 	interested in everything connected with labour. I do not propose 	just now to deal with the disabilities that labour is labouring 	under in India and here in particular. As a matter of fact I know 	noth ing of your special hardship and  special conditions. At the 	present moment what I wish to lay the greatest stress upon is what 	labour can do for itself.  	The one curse with which it is afflicted from within is the terrible 	drink habit. If labourers do not get rid of it betimes they will be 	digging their own graves. When the drink habit possesses a man it 	turns him into a beast. He knows no distinction between the sister 	and his wife. I therefore advise you all to give up drink. I know 	what a    
 severe temptation it is for a man who is once given to drink; but God has given man the capacity, if he will only use it, for conquering such defects and temptations. The other defect which I have found amongst the labourers is that they have no consciousness of the strength which is possessed by combination. Labourers must learn to consider that the welfare of all is the welfare of the individual. You must therefore cultivate amongst yourselves a real brotherly spirit. I have known that in many parts of India labourers squander their money in gambling. It is a vicious habit and you should give it up. The morale amongst the labourers in some parts of India is also not all as it should be. If as labourers we want to become a recognized force in the Indian society and in the political world also, it is absolutely necessary for us to recognize the binding tie of marriage and all the obligations that that tie imposes upon us. I have congratulated you upon having this club for the advancement of khadi. But instead of there being a hundred members in that club every one of you should belong to it. Remember that khadi binds us to those who are much poorer than yourselves. To throw away the foreign cloth or even your millmade cloth costs you nothing but the simple thought on behalf of the starving millions of people who are living in our villages. It has given me great pleasure to lay the foundation-stonelibtech_5_footnotewhich I have just laid over the place there. May God help you to do the things I have suggested to you. If you will but do these things, you will find that the majority of your difficulties will disappear without any further efforts.
 The Hindu, 5-9-1927
 "
8,"September 3, 1927","SPEECH TOSTUDENTS, MADRAS","
  
 September 3, 1927
 You have called your purse a small purse, much smaller than you had expected to raise. I also endorse the sentiment that this purselibtech_6_footnoteis all too small for the students of Madras to present to me. And for what purpose? Not for buying a few collars or neckties for distribution among the modern students who may be in need—not intended for any small work. It is intended for the starving millions in 7,00,000 villages. And I am positive that you, the students, if you could  possibly
 
 realize the meaning of the starvation of these millions, you could raise a far larger sum. If you knew the conditions of these starving millions, as I do expect you to know, you would have raised a much larger sum. However, for your comfort, let me tell you that you have done no less than the students elsewhere. Not only does your purse not suffer in comparison with purses received by me from students elsewhere, but it comes to me with assurance that your Chairman has given, that your purse is a token of your association with the khadi work I am doing. And, coming as it does with that assurance, I hold your purse very precious indeed, and it has given me additional joy to know that the largest amount collected by any single worker was by a lady student.libtech_7_footnotelibtech_8_footnoteI wish indeed that all the young ladies of India will beat  all the young men of India in the competition of service of the motherland. Why should not women be the first in the field in matters of service? Your purse should carry with it a lesson to you as it does to me. The lesson that the purse carries to me is, that taking all these moneys from the student world, I should realize more fully my responsibility not only to you but to the starving millions. The lesson that it should carry to you is that having given your mite to this purse, you should study the condition of these millions of villagers, in order to fit you all the better for their service. And if you do so, you will make this painful discovery that your education is paid for out of the life-blood of these millions. I hope that every student here also knows that the fees he pays for his education do not, in any way whatsoever, pay for the cost of his education. I hope that the students also know and realize that the education is paid for out of the drink and drug revenue.
 Now, consider for yourselves what you owe to these men who pay for your education. I suggest then that you should render ceaseless service to these starving millions and that you should not be satisfied till this gnawing poverty is banished from our land. And, I have told you that khaddar is the easiest and the only way. I ask you not to allow your minds to be befogged by all kinds of specious reasoning that will be advanced against the spinning-wheel and against khadi in these days of rush for machinery. I do not propose to go into all the arguments for the spinning-wheel and khadi, but I commend to your attention a small book that has been published by the All-India Spinners’ Association and which has been written by two students,
 
 Professor Puntambekar and Mr. N. S. Varadachari. You will find in that little book most of the arguments carefully marshalled, in order to show that khadi and khadi alone can become the only means of alleviating this universal misery of starving India. I want you to bear in mind the qualifications that I have introduced into the proposition with great care. Do not dismiss from your minds the words “universal” and “alleviation” and then raise an argument, which nobody has ever advanced, and then proceed to demolish it. And if you have understood this message of khadi, then you will not rest until you have discarded every inch of foreign cloth and substituted it by hand-woven and handspun cloth.
 But, I have said that khadi is really the least part of your performance. It is the beginning of the service and the centre round which all other things can be built up. You will have to bring to bear, on this question of removing the awful distress among the villagers of India, an irreproachable character. You will never be able to put together the shattered fragments of society unless you have got this binding cement of character. I am sure that it will do your soul good to hear from me that students in Gujarat are, at the present moment, working wonders in those flood-stricken areas. They could not do so, if they had not love overflowing and outgoing to those people in distress, and character at the back of their service. Some of them have left off their studies and have gone into villages with pickaxes, shovels and baskets and have restored villages which were stinking with dead cattle and rotten grain to a habitable condition. They did not wait for the Panchama brethren to go to their assistance to remove these carcasses, but removed them themselves. And, I know, what has been possible for the few Gujarati students to do, it also possible of every one of you, boys and girls, to do, given the occasion. But I must not take up much of your time, nor tax myself unduly the very first day of my coming to Madras. There are many other things of which I should like to talk to you. I wish I had the time to give you that conversation. But I would like to make a little request to you. I gave to students in Vellore a fairly considered address,libtech_9_footnotelibtech_10_footnoteand I understand that it has been reported almost verbatim in The Hindu. Probably some of you have already read it. But even if you have done so, I commend it to you for reading again carefully and I ask those who have not read it to get a loan of the paper or buy it and read it. You are the hope of
 
 the future and I should love to think that students all over  India should realize their duty to the country to which they owe not only their birth, but also their education, derived as it is from the life-blood of the downtrodden villagers. Whenever the devil presses you and you simply think of yourselves and not of your country, just remember this thing, which I have told you this evening. Remember the debt you are incurring from day to day whilst you are receiving  your education, and may the memory of that debt keep you from every temptation.
 The Hindu, 5-9-1927
 "
9,,AFTER THE FLOODS,"
  
 From the letters which I received regarding the flood-relief work and from the reports in Navajivan I observe that volunteers are doing their work conscientiously showing no signs of exhaustion. But I have formed the impression that all of us are not accustomed to doing physical work, that we feel aversion against certain types of work and that certain things are left undone or delayed or done with too much expense because we do not know how to do them. For example, I read the following in reports by some volunteers which are lying with me.
 The wells in this place stink.
 The basin at the top of the well in this place is about to crumble.
 A buffalo has fallen into the well here and the water stinks with the smell of her rotting body. But the poor Bhangis still use it.
 The grain which is rotting in this place gives off foul smell. The people dig up even that and eat it.
 We found the Bhangis here lazy. They do not work even when asked.
 I have given these statements from different letters and all of them are not in the words of the writers themselves. I have not,  however, twisted the writer’s meaning in any of them.
 I think that in our work we should not have one set of people to do the actual work and another to supervise. Our poor country can progress only if the supervisors and the workers are the same persons. The number of persons who issue orders should be the smallest possible. Of course we cannot do without overseerslibtech_11_footnotealtogether, but we should bear in mind that their function is largely to keep watch
 
 against possible malpractices. Volunteers, too, need supervision. If no supervisor is appointed over a volunteer’s work, he should ask for one to be appointed. Even so, our aim should be to  get  out of this unhappy condition of supervisors having to be appointed. In any case, supervisors and others, all should carry hoes and spades wih them. If these are not available, they should use their hands as much as  possible.
 I would, therefore, expect to receive reports as follows: ‘In village ‘A’, the well emitted a foul smell. A bucket and rope were procured from the villagers and the well was cleaned up with the latter’s   help.   Some   potassium   permanganate   was    obtained from a hospital nearby and mixed with the well-water. We then tasted the water and satisfied ourselves that it was pure.
 ‘In village ‘B’ the basin platform round the mouth of the well was unusable, and so a hedge of thorny plants was put up round it with the help of villagers. This notice was put up on the hedge. ‘The platform is in bad repair. No one should go near it.’ There is another well in the village, and, therefore, there will be no hardship.
 ‘We found only one well in village ‘C’. Its basin was quite unusable. The village mason, therefore, was brought along and the basin repaired and made strong enough so that is could be used for the time being. The people have been advised to get it made stronger.
 ‘In village ‘D’ a buffalo had fallen into the well. We saw that she could not be pulled out even if we tried. There was not much water in the well. With the consent and help of the village people, the well was filled up. As I had never lifted a weight or held a spade, my shoulders are aching and the palms are sore. But the foul smell which could be felt even at a distance of several hundred yards has ceased. When I see now boys playing on the spot where the well stood, I completely forget my pain. And the experience of real appetite is an additional benefit.
 ‘We saw two wells in village ‘E’, the second being for the use of Bhangi friends. There was hardly any water in it. On inquiry, I was told that it usually contained only a small quantity of water, and that too full of dirt and mud. So I pleaded with the elders of the village. They agreed to let the Bhangis draw water [from the other well], but insisted on these conditions. ‘The women in our families will not yet accept your idea of mixing [with Bhangis]. You may, therefore, fix certain hours when they may draw water from the well.’ I welcomed
 even this, little as it was. I thanked them. I got together Bhangi boys and, with their help, filled up the well in a little while and left the place.
 ‘I found the Bhangis in village ‘F’ very lazy. I saw ankledeep slush mud round their wells. The refuse-heap was right near their dwellings. I tried hard to explain things to them, but in vain. I then asked for a spade. ‘There it is’, said one of them, and went away. Another said: ‘Why do you waste your labour, dear Sir? We don’t mind all this dirt and mud. We have always lived thus.’ I said: ‘I can’t bear the sight of these things. Persons like me work hard for you, plead with people not to treat you as untouchables. But what can we do if this is how you behave?’ The man said: ‘Yes, that is certainly true. But we cannot help the slowness in our improvement.’ I made no reply to this, but removed the mud, covered the ground with dry sand and single handed cleared out the refuse-heaps from near the dwellings. Occasionally a boy would come along, remove two spadefuls of the refuse and walk away. I called to mind the Gita teaching of disinterested service and left the place.’
 The reader may think up more such imaginary reports, and should cherish the ambition to act in the manner suggested and demonstrate that these things can be done.
 The substance of what one volunteer writes may be stated as follows :
 You were alone so far, but you are two now, for Kakasaheb has joined you. Should we not get some benefit of your being together? Will not one of you write and explain how to create a new world after the pralaya?
 I have been trying to see that Kakasaheb’s pen is active and dancing. Staying here, I cannot think of any suggestions to make about creating a new world. Those which occur to me do not seem worth putting down on paper. My appeal, therefore, to workers who are already active is this :
 Instead of expecting us, invalids, to make suggestions from this distance, you who are on the spot should yourselves think out plans and execute them, limiting them to your villages. You should not wait for the whole of Gujarat to undertake reconstruction before you do so, but should effect what reforms you can in your own village if you can carry the local people with you. I give here a miscellaneous list of do’s and dont’s.
  Do 	not build houses which 	look like slums. Do 	not use tin-sheets.  Do 	not imitate 	America or England, 	for the climate 	there is 	different from ours. Use 	only a minimum 	of stone 	and mortar.  In 	our country, 	we can 	build fine houses with 	straw, stalks, 	reeds and 	finely powdered, 	moistened earth. The 	site must be 	cleaned and 	made level before a 	house is 
 built.    There 		must be proper 		provision for ventilation. If there is enough space, a separate shed should be pro vided  
  	for cattle. I saw an inexpensive and very hygienic arrange ment for 	them, which consisted of an enclosure in which they were not tied 	but were left free. A strong fence of sticks or wire could be put up 	for the purpose. There should be a small shed in the enclosure where 	the cattle can rest when they feel inclined to do so.  MISCELLANEOUS    Do 			not give 			people black, foreign 			caps, even if 			received as 			gifts for 			them. A 			thing which is 			unacceptable in 			itself should not 			be received 			even as a gift. A vegetarian 			would not accept 			meat because 			it was 			offered to 			him free.  Our 			aim in life 			is not 			to live 			merely for 			the sake of living. 			It should 			be, rather, 			to live 			for a good 			end, to awaken 			the soul sleeping in this 			body which is its 			house. The 			difference between 			dharma and adharma 			is this: 			One who follows 			dharma will refuse to 			live if 			he has to 			violate certain 			restraints for that 			purpose. One who 			follows adharma 			accepts no 			such restraints. 			He will 			sell himself, his 			wife and children and 			his country in 			order that he 			may 			live.  A 			trader may 			save and 			may also destroy. 			The merchants 			of Gujarat 			are doing 			both without knowing it. 			I have 			been observing that 			there is a 			shower of 			foreign and 			mill cloth. Now 			that the 			immediate shock 			of the 			heavy floods is 			over, I 			caution them 			and the people. It 			is Gujaratis 			and Marwaris 			who are responsible 			for the 			presence  of 			 foreign cloth 			among us. 			Both these classes of 			merchants should 			consider. If 			I were 			asked to 			choose between the 			destruction caused by 			foreign cloth and 			that caused by 			excessive floods, 			I know 			which I should 			choose. Let the reader 			know that one kills 			the body; 			this can be 			borne and is inescapable. The other kind of destruction kills the soul   
 and we can always escape it. Who will explain to Gujarat this profound difference between the two kinds of destruction? Man is always helpless in saving his body from destruction, and he is always free concerning the saving of his soul. That is why the various religions proclaim in the most emphatic words: “The atman is its own friend and its own foe.”libtech_12_footnote
[From Gujarati]
 Navajivan, 4-9-1927
 "
10,"September 4, 1927","SPEECH AT Y.M.C.A., MADRAS libtech_14_footnote","
       FRIENDS,libtech_13_footnote     September 4, 1927libtech_15_footnote 
  	The Chairman has asked me to give you a religious discourse. I do 	not know that I have ever given a religious discourse, or to put it 	the other way, I do not know a single speech of mine or a talk of 	mine, within my own recollection, which has not been a religious 	discourse. I think, if I am not deceived, that at the back of every 	word that I have uttered since I have known what public life is, and 	of every act that I have done, there has been a religious 	consciousness and a downright religious motive. My acts may have 	appeared to my audiences, or to the readers of the words that I have 	written, political, economic and many other things. But I ask you to 	accept my word that the motive behind every one of them has been 	essentially and predominantly religious. And so is it to be this 	morning.  	When I asked what I was expected to speak about, I was told that I 	was to speak what I liked. Well, the message came to me this morning 	as I was on my way to this meeting and I propose now to think before 	you aloud.  	I had very precious moments with a missionary friend in Vellore. I 	had a heart-to-heart talklibtech_16_footnotewith the students of that place, and the next morning 	I was told something like this: ‘Your speech was very nice. You 	talked of the things of the spirit. But how is it that in       
 the middle of the speech like King Charles’ head with the renowned Mr. Dick, khadi came up? Can you explain what connection khadi can possibly have with spirituality? Then he went on, ‘You spoke about temperance; that delighted us and it was certainly spiritual. You spoke about untouchability, a very fine subject for an audience spiritually inclined or for a spiritually inclined man to speak about. But both these came in your speech after your message of khadi. It seemed to jar on some of us.’ I have given you the substance of the conversation in my own words but faithfully. I gave the answer that came to me at the time and this morning I want to amplify that answer.
 It is quite true that I place khaddar  first and then only untouchability and temperance. All these came at the end of  the speech I gave to the students of Vellore, in which I made a fervent appeal for purity of life and told them that without purity of life all their learning would be as dust and probably a hindrance to the true progress of the world. Then I took up these three things and a few more by way of illustration. Throughout  35 years’ unbroken experience of public service in several parts of the world, I have not yet understood that there is anything like spiritual or moral value apart from work and action. I have often repeated to audiences like this that great verse which has always remained with me ever since I read it: “Not every-one that says unto me Lord, Lord, shall enter the Kingdom of Heaven but he who doeth the will of my Father who is in Heaven.”libtech_17_footnotelibtech_18_footnoteI have not reproduced that verse correctly but you know what that verse is and it is so true. I recall to my mind two brilliant instances of men in English public life who, in their own times, were regarded as very great reformers, and as pillars of spirituality. I am now talking to you of about 1889 and 1890 when many of you were not born. I used to attend temperance meetings in those days. I was interested in that reform. Those two pillars of spirituality were supposed to be great temperance workers, but they were workers with their speeches. They were always in demand when a harangue was required on temperance. I am sorry to have to inform you that I was a witness to their fall. Both of them were found out. They were no workers. The words God, Lord, Jehovah were on their lips always, but they simply adorned their lips, they were not in their hearts. They used the temperance platform for their own base ends. One of them was a speculator and the other was a moral leper. Perhaps you now
 
 understand what I want to say. In India also, I am not able to say that the temperance platform is always a spiritual platform or that the platform of untouchability must necessarily be a spiritual platform. I have known, I know now as I am talking to you, that both these platforms are being abused today in this very land by several people. Others are using them aright. The moral I want to submit to you is that every act may be done, conceived and presented from a spiritual standpoint or it may have none of it at all. I want to claim before you today that the message of the spinning-wheel and khadi is supremely a spiritual message; and it is supremely a spiritual message for this land that it has got tremendous economic consequences as also political consequences.
 Only the other day,an American friend, Prof.Sam Higginbottom, writing to me upon a subject in which both he and I are deeply inter- ested, said,—I give you the substance of the letter—“I don’t believe in a religion bereft of economics. Religion to be worth anything must be capable of being reduced when necesssary to terms of economics."" I entirely endorse that remark with a big mental reservation. Not that Mr. Higginbottom also had not that reservation. But I must not claim to speak for him. The mental reservation is this, that whereas religion to be worth anything must be capable of being reduced to terms of economics, economics, to be worth anything, must also be capable of being reduced to terms of religion or spirituality. Therefore in this scheme of religion cum economics there is no room for exploitation and for Americanization as the technical term is known. As a distinguished son of India put it— he is no other than Sir M. Vishveshvarayya—whereas an Englishman owns 30 slaves, or is it 36,—I speak subject to correction—an American owns 33 slaves. Personally, I think there is no room in true economics which is convertible with religion for the owning of slaves whether they are human beings, cattle or machinery. There is no room for slavery in economics. Then I suggest to you that you cannot escape khadi and it has the largest limit. Temperance takes in its orbit a certain number of people. It blesses the man who converts the drunkard to teetotalism, and it undoubtedly blesses the drunkard who is so converted by the word of the reformer. Untouchability takes in its orbit at the most seven crores of people of this unhappy land, and not every one of us can do untouchability work. You may certainly give the untouchable education; you may dig wells for him and build temples. But these would not make him touchable unless the so-called touchables will
 come down from their insolent heights and brother the untouchable. So you will see it is a somewhat complex problem for the man and woman in the street to handle. And as a man whose sole occupation in life is, be it ever so humble, to find out truth, I was searching for something that everyone can do without exception—everybody in this room—that something which would also remedy the most deepseated disease of India.
 And the most deep-seated disease of India is undoubtedly not drunkenness, undoubtedly not untouchability, great as those diseases are and greater perhaps for those who are suffering from them; but when you examine the numerical content of this disease, you will find with me, if you take any census returns, or any authentic book on history, such for instance as Sir William Hunter’s history, or take the evidence of Mr. Higginbottom given before a Commission only two years ago—he said that the largest number of people in India were poverty-stricken, and Sir William Hunter says that one-tenth of the population in India is living barely on one meal a day consisting of a stale roti and a pinch of dirty salt which perhaps you and I will not touch—that state of things persists in India today. If you were to go into the interior, outside the railway track, you will find as I have found that the villages are being reduced to dungheaps, the villagers are not there, vultures are to be seen because they could not support themselves, and were reduced to carcasses.
 India is suffering from meningitis, and if you will perform the necessary operation and make some return to those starving millions today, I say there is nothing but khadi for you. And if, as men spiritually inclined, you will think of those less fortunate than you are and who have not even enough to support themselves or clothe themselves, if you will have an indissoluble bond between them and yourselves, I say once more there is nothing for you but khadi. But it jars, and the reason why it jars is that this is a new thing and is a visionary thing, a day-dream as it appears to many. The missionary friend of Vellore, whom I spoke about, told me at the end of our conversation, “Yes, but can you stem the march of modern progress? Can you put back the hands of the clock, and induce people to take to your khadi and make them work on a mere pittance?” All I would say is that this friend did not know his India. From  the  Vellore meeting I went to two places, Arcot and Arni. I did not see much of the people there, I assure you, but saw the villagers less well clad than I am. I saw them not in their tens but in their tens of thousands. They
 were in their rage and their wages were practically nil for four months in the year. They gave me of their substance; I was hungrily looking at the thing they gave me. They gave me not pice; they gave pies.
 Come with me to Orissa in November, to Puri, a holy place, and a sanatorium, where you will find soldiers and the Governor’s residence during summer months. Within ten miles’ radius of Puri you will see skin and bone. With this very hand I have collected soiled pies from them tied tightly in their rags, and their hands were more paralysed than mine were at Kolhapur. Talk to them of modern progress. Insult them by taking the name of God before them in vain. They will call you and me fiends if we talk about god to them. They know, if they know any God at all, a God of terror, vengeance, a pitiless tyrant. They do not know what love is. What can you do for them? You will find it difficult to change these delightful sisters (pointing to the ladies present) from their silk saris to coarse khadi woven by those paralytic and crude hands. Khadi is rough! It is too heavy! Silk is soft to be touched and they can wear nine yards of silk, but they cannot wear 9 yards of khadi. The poor sisters of Orissa have no saris; they are in rags. But they have not lost all sense of decency, but I assure you we have. We are naked in spite of our clothing, and they are clothed in spite of their nakedness. It is because of these that  I wander about from place to place, I humour my people, I humour my American friends. I humoured two stripling youths from Harvard. When they wanted my autograph, I said, “No autograph for Americans”. We struck a bargain, “I give you my autograph; and you take to khadi”. They have promised and I rely on the word of an American gentleman. Many of them are doing this work—make no mistake about it, and they like it also.
 But I cannot be satisfied, not till every man and woman in India is working at his or at her wheel. Burn that wheel if you find a better substitute. This is the one and only work which can supply the needs of the millions without disturbing them from their homes. It is a mighty task and I know that I cannot do it. I know also that God can do it. The mightiest and strongest matter is but a tiny affair for Him, when it pleases Him. He can destroy them all in the twinkling of an eye, as He has destroyed now thousands of homes in Gujarat and as He had destroyed thousands of homes a few years ago in South India. I carry this message of khadi and the spinning-wheel with the fullest faith in God, and therefore in His creation, man. You may laugh at me today. You may call this a sordid thing. If you like you may distrust
 me and say this is some political schemer who has come to place his khaddar before us, but he has got many things up his sleeve. You may misinterpret me and my message. You may say: ‘We are too weak to do these things and too poor’. I know it is possible for you to repel me by your arguments and make me speechless. But I shall not lose faith in you so long as I cannot lose faith in God. It is impossible for me to lose that faith, and therefore I cannot lose faith in the message of khadi and the spinning-wheel.
 If I have not succeeded in opening out my heart to you, and if I have not succeeded in showing to you the rock-bottom spiritua- lity of the message of khaddar, I don’t think I shall ever succeed in doing so. All I can say is I mean to succeed. My lips may not deliver the true message. God will do it all, in whose name I have delivered this message to you. God bless you.
 Young India, 15-9-1927
 "
